gene,logFC,padj,scores
Camk1d,0.921883,2.8612552028441443e-74,18.760477
Gm42418,0.35491133,2.3770473302119673e-54,16.097849
H2-D1,1.7505168,2.902297309857325e-31,12.350558
B2m,0.9258545,2.614198924506848e-27,11.570568
H2-K1,1.613608,1.4078929233558612e-22,10.557432
Cmss1,0.7656472,4.202193683941478e-16,9.035384
Stat1,1.976753,5.002795910818966e-13,8.209367
Lars2,0.8409814,7.242248752318184e-10,7.2547617
Ly6e,0.84540516,5.8833729523046033e-08,6.6198516
Ly86,0.48321387,3.780905839064022e-07,6.313338
E230029C05Rik,0.5066656,1.006073983819582e-06,6.148428
Nlrc5,3.3716154,1.0190665024367075e-06,6.135434
mt-Nd4,0.35747272,2.446492534031988e-05,5.542002
Dhx9,0.6750821,2.6904290180559237e-05,5.5175304
Cd74,2.2276273,3.1663878247572714e-05,5.4813013
Ccl12,1.8020403,0.0004973104176203361,4.9284377
Fkbp5,0.49513158,0.000959006514246512,4.7879066
B4galt1,0.56993693,0.000959006514246512,4.785574
Rnf213,1.1671586,0.0012918410879231717,4.719134
Ifi27l2a,3.0890539,0.008739194441344201,4.277081
Wdfy4,0.6140203,0.008743006379096228,4.2713423
Irf2,0.51924723,0.008750185108956227,4.2656503
Nav3,0.3085522,0.012234954121836672,4.1741557
Hck,0.51573014,0.013553432349448457,4.1455317
4933406I18Rik,0.31157756,0.013553432349448457,4.1406093
Lgals3bp,2.0350382,0.013932136292785224,4.1293416
Gm19951,0.9771711,0.015048494173926397,4.1044965
Herc6,0.841306,0.015048494173926397,4.1019535
Lrmda,0.37978178,0.02603669667172207,3.9591362
Maml2,0.37840614,0.030443563114829503,3.912526
Ints6l,0.36651924,0.034393470741574735,3.8785129
Parp14,0.93202263,0.0361389445943588,3.8609698
Mycbp2,0.19777364,0.04704347268158462,3.7841954
Vrk2,0.462785,0.04903337563470622,3.769685
Pou2f2,0.3967351,0.06673459345321528,3.683696
Ptprj,0.32808635,0.06737335800227714,3.6771874
Zfc3h1,0.49257767,0.0675067295357745,3.6726615
Mir99ahg,0.21009022,0.0921148695595586,3.5884454
Dock4,0.1160524,0.0936770100109468,3.5800705
Eif2ak2,0.94568264,0.09403256017044102,3.575148
9930111J21Rik2,0.5628675,0.11534184394093498,3.5043461
Epsti1,0.5460448,0.11534184394093498,3.5022233
Nlrp1b,0.5426363,0.130061954460677,3.4627278
H2-Ab1,2.7518458,0.13719487671640904,3.4411256
Ifitm3,2.553762,0.16215719647076796,3.3850205
Samhd1,0.6189027,0.18830346233119738,3.3402762
AU020206,0.49681577,0.20236086063230668,3.316761
Kcnk6,0.5785808,0.21473342452491656,3.2966986
Il27,1.3676722,0.23177538179655804,3.2717602
Gm26917,0.47339118,0.24206468398895545,3.2560601
Ralgps1,0.60047317,0.24558354073449626,3.248595
Enox2,0.6117637,0.26431895916962406,3.2234
Mitf,0.37638226,0.26431895916962406,3.2203674
Ncf1,0.49278364,0.26431895916962406,3.2176847
Btg1,0.3819389,0.27044002473091855,3.2078633
Slc1a3,0.41341412,0.282133676741195,3.1924431
Cdk8,0.42386737,0.28830056847744934,3.182995
Phyhd1,0.40302265,0.30068386087163657,3.1676216
Lyn,0.14296736,0.3302466370691032,3.1370845
Sdk1,0.55079293,0.348103575139433,3.1153424
Gsap,0.4172944,0.3614713042089886,3.101112
Psap,0.21966632,0.3673021131021199,3.0932968
Trpm2,0.5785952,0.37736525954691585,3.0822158
App,0.47669658,0.38664120091796045,3.0719512
Nos1ap,0.52870053,0.3918156927481215,3.064976
Sppl2a,0.41951483,0.3919188961254449,3.06192
Rpl41,0.48251188,0.40856011136472165,3.0403876
Btaf1,0.3974351,0.40856011136472165,3.0384514
Pld4,0.37250587,0.40856011136472165,3.0347188
Ecpas,0.40353048,0.40856011136472165,3.0324793
Fus,0.31248748,0.40856011136472165,3.0264606
Cacnb2,0.30006304,0.40856011136472165,3.0209782
Irf1,1.6066644,0.43596130804432753,2.9985363
Wrn,0.75859946,0.472838558540438,2.9602773
Kitl,0.73046815,0.48006515893221957,2.9529755
Dock2,0.17234853,0.48389601004617727,2.9479132
Trim30a,0.45975623,0.5722713756882521,2.8878422
Gphn,0.3103616,0.5737101041902954,2.8844829
Diaph2,0.21533674,0.6255285125133929,2.8545756
Etv6,0.30913004,0.6275490503790793,2.8487668
Tut7,0.383169,0.6317898681586404,2.841465
Laptm5,0.25823075,0.6406105833193885,2.8321335
Lrrk1,0.3764984,0.6406105833193885,2.8319237
Rsrc1,0.4129501,0.657612526405338,2.815034
Plac8,3.6499114,0.657612526405338,2.8136806
Gm4951,1.4919381,0.657612526405338,2.8114178
Gbp7,0.7668569,0.6686648366975582,2.8036728
Zzef1,0.49260065,0.6947195343592951,2.7873662
Capn3,0.3131423,0.6999168235274976,2.7818372
Nampt,1.160672,0.7328322373587315,2.764551
Serinc3,0.1117127,0.818426022930722,2.7236326
Pik3r1,0.2692717,0.8264091965103906,2.7181036
Rnf180,0.30606738,0.9058009535122236,2.6829708
Mpeg1,0.3111497,0.9147071492989584,2.6773953
Pabpc1,0.4119301,0.9416100649079353,2.6646812
Kmt2a,0.42340288,0.9416100649079353,2.663095
Fam117b,0.3528168,0.9643597248692015,2.6505208
A830008E24Rik,0.39409322,0.9899036100631522,2.6390898
Bmp2k,0.23969519,0.9899036100631522,2.6345174
Capza2,0.2872974,0.9899036100631522,2.6321845
Ank2,0.2986492,0.9899036100631522,2.6305516
Nf1,0.26455948,1.0,2.612192
Aif1,0.48552442,1.0,2.6096492
Tasor,0.31395274,1.0,2.5890267
Acin1,0.41602215,1.0,2.5886536
Casp4,1.3116337,1.0,2.5857608
Rnaset2b,0.4932494,1.0,2.5850608
Psmd14,0.61024255,1.0,2.5788555
Ddx60,0.6414986,1.0,2.5782256
Pvt1,0.41068703,1.0,2.5701306
Prkca,0.30773276,1.0,2.561079
Slc29a3,0.4229226,1.0,2.5502315
Parp9,0.7312967,1.0,2.5401301
Plcl1,0.18492663,1.0,2.5129757
Ppp2r2a,0.5182374,1.0,2.505417
Bank1,0.36270007,1.0,2.5023146
Ext1,0.37560487,1.0,2.4916534
Fbxo11,0.35144565,1.0,2.481762
Gm17066,1.6032819,1.0,2.4724538
Iqsec2,0.52489334,1.0,2.4632392
Tdrd7,0.6139779,1.0,2.4627726
Dst,0.15265004,1.0,2.4596932
Plcl2,0.16833466,1.0,2.4527645
Srrm1,0.3818102,1.0,2.430649
Etnk1,0.42401576,1.0,2.4208746
