gene,logFC,padj,scores
Camk1d,0.921883,2.8612552028441443e-74,18.760477
Gm42418,0.35491133,2.3770473302119673e-54,16.097849
H2-D1,1.7505168,2.902297309857325e-31,12.350558
B2m,0.9258545,2.614198924506848e-27,11.570568
H2-K1,1.613608,1.4078929233558612e-22,10.557432
Cmss1,0.7656472,4.202193683941478e-16,9.035384
Stat1,1.976753,5.002795910818966e-13,8.209367
Lars2,0.8409814,7.242248752318184e-10,7.2547617
Ly6e,0.84540516,5.8833729523046033e-08,6.6198516
Ly86,0.48321387,3.780905839064022e-07,6.313338
E230029C05Rik,0.5066656,1.006073983819582e-06,6.148428
Nlrc5,3.3716154,1.0190665024367075e-06,6.135434
mt-Nd4,0.35747272,2.446492534031988e-05,5.542002
Dhx9,0.6750821,2.6904290180559237e-05,5.5175304
Cd74,2.2276273,3.1663878247572714e-05,5.4813013
Ccl12,1.8020403,0.0004973104176203361,4.9284377
Fkbp5,0.49513158,0.000959006514246512,4.7879066
B4galt1,0.56993693,0.000959006514246512,4.785574
Rnf213,1.1671586,0.0012918410879231717,4.719134
Ifi27l2a,3.0890539,0.008739194441344201,4.277081
Wdfy4,0.6140203,0.008743006379096228,4.2713423
Irf2,0.51924723,0.008750185108956227,4.2656503
Nav3,0.3085522,0.012234954121836672,4.1741557
Hck,0.51573014,0.013553432349448457,4.1455317
4933406I18Rik,0.31157756,0.013553432349448457,4.1406093
Lgals3bp,2.0350382,0.013932136292785224,4.1293416
Gm19951,0.9771711,0.015048494173926397,4.1044965
Herc6,0.841306,0.015048494173926397,4.1019535
Lrmda,0.37978178,0.02603669667172207,3.9591362
Maml2,0.37840614,0.030443563114829503,3.912526
Ints6l,0.36651924,0.034393470741574735,3.8785129
Parp14,0.93202263,0.0361389445943588,3.8609698
Vrk2,0.462785,0.04903337563470622,3.769685
Cd9,-0.40382144,0.0361389445943588,-3.857727
Dapp1,-0.37402526,0.025676850064682167,-3.9670913
Mtdh,-0.29562885,0.015358580496060516,-4.092552
Man2b1,-0.3823464,0.011544201890765698,-4.192585
Apoe,-0.7882553,0.011544201890765698,-4.1943583
Tpt1,-0.43308765,0.007387128879229492,-4.320099
Slc15a2,-1.0581312,0.006343482199875863,-4.359431
Arhgap45,-0.31617558,0.0040500716102064484,-4.4685388
Tyrobp,-0.4053437,0.0033183173114493445,-4.5171323
Trem2,-0.37456602,0.0004674649004087573,-4.947124
Rps29,-0.4273573,0.0004674649004087573,-4.950693
Sparc,-0.2674131,0.00013811490239524818,-5.192774
Mir142hg,-0.59877914,8.168979965597906e-05,-5.2965627
Gpr34,-0.35191673,3.7972888783579315e-05,-5.4418063
C1qb,-0.29338822,2.392511186752799e-05,-5.55404
Atp6v0b,-0.38529432,2.0998380817628975e-05,-5.5852766
C1qc,-0.26091346,2.0388366299308606e-05,-5.599297
Hpgd,-0.634208,4.831775317559457e-06,-5.852855
Rpl10,-0.8610562,3.228080653986385e-06,-5.938891
Fcrls,-0.56905484,9.441032959436986e-11,-7.539417
Cst3,-0.34974033,5.5730429414673135e-25,-11.081182
