gene,scores,logFC,pvals,padj
Stat1,30.13166,3.1172974,1.8654273095728473e-199,3.357582614500168e-195
Nlrc5,27.157097,3.3914163,2.0876632158318442e-162,1.878792511087868e-158
Rnf213,27.011986,3.0102801,1.0687292978319017e-160,6.412019543892133e-157
Trim30a,23.121824,2.20302,2.7932626604879037e-118,1.2568983656530445e-114
Ly86,22.85825,1.4358052,1.2098248114628343e-115,4.355127356303911e-112
Ifi204,22.785852,3.5107245,6.333819274159169e-115,1.9000402185931814e-111
Parp14,22.203087,2.5280962,3.2065778063134074e-109,8.245027705119289e-106
Stat2,21.364286,2.994146,2.8720782423873784e-101,6.461817035591303e-98
Gm4951,20.993324,3.19449,7.547647780689798e-98,1.509445693384841e-94
Ccl12,20.201048,2.9149776,9.58402372786372e-91,1.7250284307781907e-87
Herc6,19.798,2.1911435,3.09751107481218e-87,5.068372894140403e-84
Samhd1,17.48046,1.9150597,2.0186838861747256e-68,3.027857605604907e-65
Atp8a1,16.960016,1.1474934,1.6229699419362085e-64,2.2470643065315245e-61
AU020206,16.674076,1.5852734,2.0231568206307896e-62,2.6010571153238274e-59
Eif2ak2,16.463276,2.1260755,6.735439658143668e-61,8.082078560461859e-58
Pik3ap1,15.614222,1.2545093,5.8251313924672105e-55,6.552908745813583e-52
Sp100,15.421793,2.4020708,1.1681522735730844e-53,1.2367983983554084e-50
Trim30d,15.253926,1.8735964,1.550231749531176e-52,1.550145625545091e-49
Etv6,15.22483,1.1364313,2.419881917254675e-52,2.2923923488772054e-49
Nav3,14.704065,1.0190399,6.070292256852431e-49,5.4629595165543446e-46
Gbp7,14.673184,1.9833558,9.574361962134777e-49,8.206140045545897e-46
Parp9,13.905815,1.9123434,5.83974878951669e-44,4.777710839205041e-41
Irf8,13.63437,1.2287012,2.50140546549506e-42,1.9575129118889386e-39
Nampt,13.23354,2.051563,5.617780939503396e-40,4.2131016304217335e-37
Gbp2,13.187736,3.0623548,1.032397401747175e-39,7.432848333618961e-37
H2-D1,13.118546,1.2087052,2.5783471336672226e-39,1.7849103868798592e-36
Epsti1,13.011962,1.2883078,1.046215206507914e-38,6.974380556272571e-36
Zup1,12.943551,1.1495119,2.555382881500104e-38,1.6426548744328702e-35
