gene,logFC,padj,scores
Camk1d,0.68946296,4.560681202057758e-49,15.371712
Gm42418,0.34682027,1.6631412288142874e-43,14.470986
H2-K1,1.7183083,2.1070865037703327e-24,11.007609
H2-D1,1.4245182,3.134888920294101e-21,10.301089
B2m,0.7979974,5.708102491410394e-20,9.996069
Btg1,0.7295139,2.611675606021571e-11,7.737274
Stat1,1.7285231,3.416531192800174e-11,7.68596
Cmss1,0.5270666,5.065006956702138e-09,6.986711
Ly6e,0.7810618,4.27891439146981e-07,6.3065753
Nlrc5,3.3370874,4.7639416757858705e-07,6.27749
4933406I18Rik,0.33442727,2.0170036266084023e-06,6.0371222
E230029C05Rik,0.40013677,7.2046109010072625e-06,5.795674
Cacnb2,0.4871703,2.7540168406691733e-05,5.5563865
Ly86,0.37575722,2.8380411178628688e-05,5.5416775
Lars2,0.62732095,4.981713155827808e-05,5.43319
Ccl12,1.9264998,0.0003957832247139086,5.0080895
Epsti1,0.6282692,0.0006856548472410153,4.886098
Parp14,1.0172533,0.0021611554564668267,4.640121
Lgals3bp,1.9827262,0.003112274738009491,4.557062
Fkbp5,0.4059134,0.0057323490738848265,4.3757367
Nlrp1b,0.6231205,0.007815256833830189,4.290808
Cd74,1.6978585,0.008410102183245848,4.269119
Mitf,0.41822773,0.014257339488841897,4.139191
Samhd1,0.7556512,0.01813092510949516,4.0784864
Hspa1b,0.6489335,0.023044101496624666,4.0172
AU020206,0.5076069,0.023183348049016412,4.005732
Lrmda,0.23182453,0.026707308000773144,3.9599438
Ptprj,0.25138536,0.029191732286592578,3.9317312
Maml2,0.29452664,0.03825653164549253,3.857024
Rnf213,0.8220867,0.04084448391555927,3.8320522
Herc6,0.72425824,0.0425080425712701,3.8160553
Mctp1,0.32527587,0.0425080425712701,3.8135624
Trim30a,0.53662264,0.051585414417938895,3.7487855
Gab2,0.23609069,0.07414825736866376,3.6292455
Zeb1,0.3617254,0.07587383801719283,3.6186087
Lyn,0.16426642,0.07587383801719283,3.615908
Picalm,0.14881289,0.07939925040264932,3.6004927
Tns3,0.32641256,0.1136362537252259,3.5025175
H2-T23,1.0184016,0.12380216775579472,3.4700665
Ifi27l2a,2.6419861,0.12380216775579472,3.469859
Stat3,0.5152703,0.12380216775579472,3.46882
Kcnk6,0.61592597,0.14728656568667464,3.414805
Dnajc13,0.3484207,0.15382512894696806,3.3994727
Gm12185,0.57305866,0.2751853910993322,3.2028573
mt-Nd4,0.20406345,0.2913356097907406,3.1831625
Nav3,0.20195177,0.29796515129383055,3.1640077
H2-Ab1,2.239515,0.29796515129383055,3.1640077
Btaf1,0.35349786,0.3132255591539468,3.146349
March1,0.31213558,0.3374726707262334,3.118344
B4galt1,0.32362625,0.4225794097327018,3.0483735
Apobec3,0.5921497,0.44797422448489915,3.0134714
Ppp1r9a,0.2489907,0.45197832147520206,3.0071971
Gm19951,0.65053874,0.4853258855393312,2.9768655
Gm4951,1.7596542,0.5559231223061091,2.932116
Psap,0.19184928,0.6100349778186909,2.8863275
Eif2ak2,0.7156616,0.6208411921161288,2.8753583
Pou2f2,0.25112608,0.63837682107057,2.8599017
Dhx9,0.2993018,0.6642158729135594,2.84324
Rassf2,0.33953705,0.6642158729135594,2.8396251
Hsp90aa1,0.48418415,0.6642158729135594,2.8380463
Aim2,0.30081728,0.6787675005729288,2.8285313
Mertk,0.10491759,0.6851862784196494,2.8226311
Adar,0.9851834,0.6851862784196494,2.8203874
Fyb,0.12365208,0.7711118906414169,2.769613
Etv6,0.24672318,0.7731151545974655,2.766289
Jmjd1c,0.15613851,0.8092530091142391,2.743104
Ppp1r21,0.3157315,0.8349731827939525,2.7239494
Psme2,1.1071408,0.9257080738733289,2.6722193
Ifitm3,2.3923779,1.0,2.631043
Irf2bp2,0.41756195,1.0,2.627345
Smchd1,0.32084104,1.0,2.601127
Supt3,0.35727856,1.0,2.5983431
Irf2,0.27387354,1.0,2.5798116
Cd2ap,0.26220948,1.0,2.5770693
Pde3b,0.090346605,1.0,2.5751579
Gm47283,0.92564267,1.0,2.5708783
