gene,logFC,padj,scores
Camk1,-0.57195663,0.04635393215194039,-3.7836876
Ulk2,-0.28531724,0.043558072638908,-3.8032994
Hpgd,-0.43453458,0.038386329372289855,-3.8517053
Tyrobp,-0.3966767,0.030947474714318298,-3.913075
Plekho1,-0.47308457,0.026707308000773144,-3.9577
Slc15a2,-0.85800076,0.026707308000773144,-3.967049
Itm2b,-0.25301692,0.023183348049016412,-4.0094714
Slc12a6,-0.29748443,0.014200253402177159,-4.1453824
Ltc4s,-0.6338897,0.0073059799175416345,-4.311209
Arhgap45,-0.3569034,0.007007638870643771,-4.326001
Rps29,-0.44567782,0.005175911554594669,-4.403742
Selplg,-0.28571558,0.005175911554594669,-4.4084783
Otulinl,-0.36430413,0.004440192776364191,-4.4488235
Selenop,-0.39448377,0.003900503738289485,-4.48277
Trem2,-0.4350683,0.003581390622957895,-4.5072846
Mir142hg,-0.4827396,0.0032682165375358717,-4.539611
Atp6v0b,-0.35751975,0.0007582141135606666,-4.859049
Gpr34,-0.41086954,0.0006856548472410153,-4.888508
mt-Co1,-0.32916433,0.0003145168084140219,-5.059944
Apoe,-1.0176831,0.00017768470726227067,-5.175703
Man2b1,-0.53808194,0.00017040925992999493,-5.191783
P2ry12,-0.25707927,8.71847520446941e-05,-5.3236217
Fcrls,-0.45175904,5.536077968481645e-06,-5.849814
AY036118,-0.26075718,2.0539796673788065e-06,-6.023037
Rpl10,-1.0514288,8.018474180647084e-09,-6.9084306
Sparc,-0.45735866,2.4643973066497547e-10,-7.4132657
Cst3,-0.30849802,5.7370071534459855e-12,-7.946895
