gene,logFC,padj,scores
Camk1d,0.68946296,4.560681202057758e-49,15.371712
Gm42418,0.34682027,1.6631412288142874e-43,14.470986
H2-K1,1.7183083,2.1070865037703327e-24,11.007609
H2-D1,1.4245182,3.134888920294101e-21,10.301089
B2m,0.7979974,5.708102491410394e-20,9.996069
Btg1,0.7295139,2.611675606021571e-11,7.737274
Stat1,1.7285231,3.416531192800174e-11,7.68596
Cmss1,0.5270666,5.065006956702138e-09,6.986711
Ly6e,0.7810618,4.27891439146981e-07,6.3065753
Nlrc5,3.3370874,4.7639416757858705e-07,6.27749
4933406I18Rik,0.33442727,2.0170036266084023e-06,6.0371222
E230029C05Rik,0.40013677,7.2046109010072625e-06,5.795674
Cacnb2,0.4871703,2.7540168406691733e-05,5.5563865
Ly86,0.37575722,2.8380411178628688e-05,5.5416775
Lars2,0.62732095,4.981713155827808e-05,5.43319
Ccl12,1.9264998,0.0003957832247139086,5.0080895
Epsti1,0.6282692,0.0006856548472410153,4.886098
Parp14,1.0172533,0.0021611554564668267,4.640121
Lgals3bp,1.9827262,0.003112274738009491,4.557062
Fkbp5,0.4059134,0.0057323490738848265,4.3757367
Nlrp1b,0.6231205,0.007815256833830189,4.290808
Cd74,1.6978585,0.008410102183245848,4.269119
Mitf,0.41822773,0.014257339488841897,4.139191
Samhd1,0.7556512,0.01813092510949516,4.0784864
Hspa1b,0.6489335,0.023044101496624666,4.0172
AU020206,0.5076069,0.023183348049016412,4.005732
Ptprj,0.25138536,0.029191732286592578,3.9317312
Maml2,0.29452664,0.03825653164549253,3.857024
Rnf213,0.8220867,0.04084448391555927,3.8320522
Herc6,0.72425824,0.0425080425712701,3.8160553
Mctp1,0.32527587,0.0425080425712701,3.8135624
