"DCC_file","Slide","ROI","ROI_name","condition","antigen","infected_region","side_of_slide","region","GenesDetected","GeneDetectionRate"
"DSP-1001660019915-A-A02.dcc","5_WTA","001","HSV_001","HSV","HSV1 positive","Infected","top","tract",2847,0.142613835595852
"DSP-1001660019915-A-A03.dcc","5_WTA","002","HSV_002","HSV","HSV1 positive","Infected","top","tract",2668,0.133647247407704
"DSP-1001660019915-A-A04.dcc","5_WTA","003","HSV_003","HSV","HSV1 positive","Infected","top","nuclei",3063,0.153433852627361
"DSP-1001660019915-A-A05.dcc","5_WTA","004","HSV_004","HSV","HSV1 positive","Infected","top","tract",1788,0.0895656965385964
"DSP-1001660019915-A-A06.dcc","5_WTA","005","HSV_005","HSV","HSV1 negative","Infected","top","nuclei",2182,0.109302209086811
"DSP-1001660019915-A-A07.dcc","5_WTA","006","HSV_006","HSV","HSV1 negative","Infected","top","nuclei",1398,0.0700295546761509
"DSP-1001660019915-A-A08.dcc","5_WTA","007","HSV_007","HSV","HSV1 negative","Uninfected","bottom","tract",1235,0.0618644492310775
"DSP-1001660019915-A-A09.dcc","5_WTA","008","HSV_008","HSV","HSV1 negative","Uninfected","bottom","tract",1181,0.0591594449732004
"DSP-1001660019915-A-A10.dcc","5_WTA","009","HSV_009","HSV","HSV1 negative","Uninfected","bottom","tract",1339,0.067074087061063
"DSP-1001660019915-A-A11.dcc","5_WTA","010","HSV_010","HSV","HSV1 negative","Uninfected","bottom","nuclei",2424,0.121424635575815
"DSP-1001660019915-A-A12.dcc","5_WTA","011","HSV_011","HSV","HSV1 negative","Uninfected","bottom","nuclei",1489,0.0745879877773882
"DSP-1001660019915-A-B01.dcc","5_WTA","012","HSV_012","HSV","HSV1 negative","Uninfected","bottom","nuclei",607,0.030406251565396
"DSP-1001660019915-A-B02.dcc","5_WTA","013","HSV_013","HSV","HSV1 positive","Infected","top","tract",3098,0.155187096127836
"DSP-1001660019915-A-B03.dcc","5_WTA","014","HSV_014","HSV","HSV1 positive","Infected","top","tract",2367,0.118569353303612
"DSP-1001660019915-A-B04.dcc","5_WTA","015","HSV_015","HSV","HSV1 negative","Infected","top","tract",2339,0.117166758503231
