"Gene","DSP-1001660019915-A-A02.dcc","DSP-1001660019915-A-A03.dcc","DSP-1001660019915-A-A04.dcc","DSP-1001660019915-A-A05.dcc","DSP-1001660019915-A-A06.dcc","DSP-1001660019915-A-A07.dcc","DSP-1001660019915-A-A08.dcc","DSP-1001660019915-A-A09.dcc","DSP-1001660019915-A-A10.dcc","DSP-1001660019915-A-A11.dcc","DSP-1001660019915-A-A12.dcc","DSP-1001660019915-A-B01.dcc","DSP-1001660019915-A-B02.dcc","DSP-1001660019915-A-B03.dcc","DSP-1001660019915-A-B04.dcc","DSP-1001660019915-A-B05.dcc","DSP-1001660019915-A-B06.dcc","DSP-1001660019915-A-B07.dcc","DSP-1001660019915-A-B08.dcc","DSP-1001660019915-A-B09.dcc","DSP-1001660019915-A-B10.dcc","DSP-1001660019915-A-B11.dcc","DSP-1001660019915-A-B12.dcc","DSP-1001660019915-A-C01.dcc","DSP-1001660019915-A-C02.dcc","DSP-1001660019915-A-C03.dcc","DSP-1001660019915-A-C04.dcc","DSP-1001660019915-A-C05.dcc","DSP-1001660019915-A-C07.dcc","DSP-1001660019915-A-C08.dcc","DSP-1001660019915-A-C09.dcc","DSP-1001660019915-A-C10.dcc","DSP-1001660019915-A-C11.dcc","DSP-1001660019915-A-C12.dcc","DSP-1001660019915-A-D02.dcc","DSP-1001660019915-A-D03.dcc","DSP-1001660019915-A-D04.dcc","DSP-1001660019915-A-D05.dcc","DSP-1001660019915-A-D06.dcc","DSP-1001660019915-A-D07.dcc","DSP-1001660019915-A-D08.dcc","DSP-1001660019915-A-D11.dcc","DSP-1001660019915-A-D12.dcc"
"0610009B22Rik",0,1.58496250072116,0,1,0,1,0,1.58496250072116,1.58496250072116,0,0,5,1,2,0,0,1,1.58496250072116,3.4594316186373,2.32192809488736,1,1,4.16992500144231,1,0,2.58496250072116,0,2.32192809488736,0,1.58496250072116,1.58496250072116,1.58496250072116,0,0,0,2.32192809488736,0,1,0,1,0,1,0
"Sanbr",0,0,0,0,1.58496250072116,0,1.58496250072116,0,0,1,1.58496250072116,4.4594316186373,1,0,0,1.58496250072116,0,0,1,0,1,1,3.70043971814109,0,1.58496250072116,0,0,1,1,1,0,1,1.58496250072116,1,0,0,0,0,1.58496250072116,0,0,1.58496250072116,0
"0610010K14Rik",0,0,1,0,0,0,0,1,0,0,1,4.4594316186373,0,1,0,1,1,0,0,0,2,1,3.70043971814109,0,1.58496250072116,1,0,0,1,1.58496250072116,0,0,1,1.58496250072116,0,1.58496250072116,0,1.58496250072116,2.32192809488736,1,2,0,0
"0610012G03Rik",1.58496250072116,1,0,1.58496250072116,0,0,1.58496250072116,1,2,2.32192809488736,0,4.39231742277876,2.32192809488736,1.58496250072116,1.58496250072116,1,0,0,1.58496250072116,0,1.58496250072116,2,3.70043971814109,0,0,0,0,1,0,1,1.58496250072116,0,1,0,0,0,0,2.8073549220576,2,2,1,0,0
"0610030E20Rik",0,0,0,1.58496250072116,1,0,0,0,1.58496250072116,1.58496250072116,2.32192809488736,4.75488750216347,0,0,0,0,1,1,1,1,1.58496250072116,0,3.32192809488736,1,0,1,0,1,0,0,2,0,0,1.58496250072116,0,1.58496250072116,1.58496250072116,1.58496250072116,1,1,0,0,0
"0610040J01Rik",0,0,0,0,0,0,0,1,1,1,0,4.24792751344359,0,0,0,1,0,0,1,0,0,0,3.32192809488736,0,1.58496250072116,1,0,1,1,1,1.58496250072116,0,0,2,0,0,0,1,0,0,0,1,0
"1110002E22Rik",0,0,0,1.58496250072116,0,0,0,0,0,0,0,4.4594316186373,0,1.58496250072116,0,0,0,1,0,1.58496250072116,0,1,4.16992500144231,1.58496250072116,0,1.58496250072116,1,1,1,2,2,0,0,0,1,1.58496250072116,0,2.58496250072116,0,1.58496250072116,1,0,0
"1110004F10Rik",2,0,0,1,1.58496250072116,0,1.58496250072116,1,0,1,1,4.95419631038687,2.32192809488736,1.58496250072116,1,1,0,1.58496250072116,0,1.58496250072116,0,1.58496250072116,3.58496250072116,0,0,0,0,1.58496250072116,0,0,0,1.58496250072116,2,0,0,0,0,1,1,1.58496250072116,0,0,1
"Bbln",0,0,0,0,0,0,1,2,1,0,0,4.70043971814109,1,0,0,0,0,0,0,0,0,1.58496250072116,3.70043971814109,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"Eola1",0,1,0,2.58496250072116,0,1.58496250072116,1.58496250072116,0,1.58496250072116,1.58496250072116,1,4.32192809488736,1,0,0,2,1.58496250072116,0,0,0,1.58496250072116,2,3.32192809488736,1,0,2.32192809488736,1,0,1,0,1,0,0,2,0,0,1.58496250072116,1.58496250072116,2,1.58496250072116,1,1.58496250072116,0
"1110017D15Rik",0,1,0,0,1,0,0,0,1,0,1.58496250072116,4.70043971814109,0,0,0,0,0,0,0,0,0,0,3.8073549220576,2.58496250072116,1.58496250072116,0,1,1.58496250072116,0,1,1,1.58496250072116,0,2,0,0,0,2,1,0,1.58496250072116,0,0
"1110025L11Rik",0,0,0,0,0,1,1.58496250072116,0,0,0,0,4.16992500144231,0,0,0,0,0,0,0,0,0,0,3.16992500144231,0,0,1.58496250072116,1,0,0,0,0,0,0,0,1,1.58496250072116,1,0,0,0,0,1.58496250072116,0
"1110032A03Rik",0,2,0,0,2,2.58496250072116,1,0,2,0,1.58496250072116,4.24792751344359,2.8073549220576,1,1,1,2.8073549220576,2,1.58496250072116,1,2.32192809488736,2,4.16992500144231,0,2,1.58496250072116,2.58496250072116,1.58496250072116,0,2.8073549220576,1,2,1,2.32192809488736,0,2,1.58496250072116,1.58496250072116,1.58496250072116,2,1.58496250072116,2.32192809488736,0
"1110032F04Rik",0,0,0,2,0,0,0,0,0,0,0,4.16992500144231,1.58496250072116,0,0,1.58496250072116,0,0,0,0,0,0,3.90689059560852,0,0,0,1.58496250072116,0,0,0,0,0,0,1.58496250072116,1.58496250072116,0,0,1,0,0,0,0,0
"1110038F14Rik",1.58496250072116,1.58496250072116,0,0,0,0,2,0,1.58496250072116,0,0,4.85798099512757,3,2,0,2,0,0,1.58496250072116,1,1.58496250072116,1,3.70043971814109,1,1.58496250072116,2,0,0,1.58496250072116,1.58496250072116,0,1.58496250072116,0,0,0,2,1,2,1,1,0,0,2
"1110051M20Rik",1.58496250072116,1,2,1.58496250072116,0,1,1,2,1.58496250072116,2.32192809488736,1,5.20945336562895,1.58496250072116,2.32192809488736,1.58496250072116,2.32192809488736,1.58496250072116,2.8073549220576,2,1.58496250072116,2.8073549220576,3,3.90689059560852,2.58496250072116,1,1.58496250072116,1,3.4594316186373,1,2.8073549220576,2,1.58496250072116,2.32192809488736,2,1,1.58496250072116,1,3.58496250072116,2.32192809488736,2.58496250072116,3,0,1.58496250072116
"1110059E24Rik",0,1,0,0,1,0,1.58496250072116,0,1,1,0,4.8073549220576,0,0,1,0,1,0,1.58496250072116,1,0,0,3,0,0,0,1,0,1,1,0,1,0,1,0,1,2,1.58496250072116,0,0,1.58496250072116,0,0
