"","condition","antigen","infected_region","side_of_slide","region","NegGeoMean_Mm_R_NGS_WTA_v1.0","NegGeoSD_Mm_R_NGS_WTA_v1.0","Slide","ROI_number","sample_id","infection_region","infection_region_simple","ROI (Label)","region_annotation","segment"
"DSP-1001660019915-A-A02.dcc","Mock","HSV1 negative","Uninfected","top","tract",1.02566133962412,2.15378786837078,"11_WTA",1,"DSP-1001660019915-A-A02.dcc","Uninfected","Uninfected","001","TG","mock negative"
"DSP-1001660019915-A-A04.dcc","Mock","HSV1 negative","Uninfected","top","tract",1.17197483056172,2.11245518217336,"11_WTA",2,"DSP-1001660019915-A-A04.dcc","Uninfected","Uninfected","002","TG","mock negative"
"DSP-1001660019915-A-A05.dcc","Mock","HSV1 negative","Uninfected","top","tract",1.29084635913932,2.15069868621202,"11_WTA",3,"DSP-1001660019915-A-A05.dcc","Uninfected","Uninfected","003","TG","mock negative"
"DSP-1001660019915-A-A06.dcc","Mock","HSV1 negative","Uninfected","top","nuclei",1.23233535989112,2.14325129857493,"11_WTA",4,"DSP-1001660019915-A-A06.dcc","Uninfected","Uninfected","004","TG","mock negative"
"DSP-1001660019915-A-A07.dcc","Mock","HSV1 negative","Uninfected","top","nuclei",1.51288064237563,2.20071759136069,"11_WTA",6,"DSP-1001660019915-A-A07.dcc","Uninfected","Uninfected","006","TG","mock negative"
"DSP-1001660019915-A-A08.dcc","Mock","HSV1 negative","Uninfected","bottom","tract",1.44721615992262,2.34090905616205,"11_WTA",7,"DSP-1001660019915-A-A08.dcc","Uninfected","Uninfected","007","TG","mock negative"
"DSP-1001660019915-A-A09.dcc","Mock","HSV1 negative","Uninfected","bottom","tract",1.51154638475781,2.24920863459762,"11_WTA",8,"DSP-1001660019915-A-A09.dcc","Uninfected","Uninfected","008","TG","mock negative"
"DSP-1001660019915-A-A10.dcc","Mock","HSV1 negative","Uninfected","bottom","tract",1.64610055327036,2.05874045050215,"11_WTA",9,"DSP-1001660019915-A-A10.dcc","Uninfected","Uninfected","009","TG","mock negative"
"DSP-1001660019915-A-A11.dcc","Mock","HSV1 negative","Uninfected","bottom","nuclei",1.32668772708568,2.22163352460413,"11_WTA",10,"DSP-1001660019915-A-A11.dcc","Uninfected","Uninfected","010","TG","mock negative"
"DSP-1001660019915-A-A12.dcc","Mock","HSV1 negative","Uninfected","bottom","nuclei",1.52431190439076,2.21206375061425,"11_WTA",11,"DSP-1001660019915-A-A12.dcc","Uninfected","Uninfected","011","TG","mock negative"
"DSP-1001660019915-A-B01.dcc","Mock","HSV1 negative","Uninfected","top","tract",26.9004117568315,1.24483923103792,"11_WTA",13,"DSP-1001660019915-A-B01.dcc","Uninfected","Uninfected","013","TN","mock negative"
"DSP-1001660019915-A-B02.dcc","Mock","HSV1 negative","Uninfected","top","tract",1.47959077331585,2.08296807697846,"11_WTA",14,"DSP-1001660019915-A-B02.dcc","Uninfected","Uninfected","014","TN","mock negative"
