"Slide","ROI_number","condition","antigen","infected_region","side_of_slide","region"
"11_WTA","001","Mock","HSV1 negative","Uninfected","top","tract"
"11_WTA","002","Mock","HSV1 negative","Uninfected","top","tract"
"11_WTA","003","Mock","HSV1 negative","Uninfected","top","tract"
"11_WTA","004","Mock","HSV1 negative","Uninfected","top","nuclei"
"11_WTA","006","Mock","HSV1 negative","Uninfected","top","nuclei"
"11_WTA","007","Mock","HSV1 negative","Uninfected","bottom","tract"
"11_WTA","008","Mock","HSV1 negative","Uninfected","bottom","tract"
"11_WTA","009","Mock","HSV1 negative","Uninfected","bottom","tract"
"11_WTA","010","Mock","HSV1 negative","Uninfected","bottom","nuclei"
"11_WTA","011","Mock","HSV1 negative","Uninfected","bottom","nuclei"
"11_WTA","013","Mock","HSV1 negative","Uninfected","top","tract"
"11_WTA","014","Mock","HSV1 negative","Uninfected","top","tract"
"11_WTA","015","Mock","HSV1 negative","Uninfected","top","tract"
"11_WTA","016","Mock","HSV1 negative","Uninfected","top","nuclei"
"11_WTA","017","Mock","HSV1 negative","Uninfected","top","nuclei"
"11_WTA","018","Mock","HSV1 negative","Uninfected","top","nuclei"
"11_WTA","019","Mock","HSV1 negative","Uninfected","bottom","tract"
"11_WTA","022","Mock","HSV1 negative","Uninfected","bottom","nuclei"
"11_WTA","023","Mock","HSV1 negative","Uninfected","bottom","nuclei"
"5_WTA","001","HSV","HSV1 positive","Infected","top","tract"
"5_WTA","002","HSV","HSV1 positive","Infected","top","tract"
"5_WTA","003","HSV","HSV1 positive","Infected","top","nuclei"
"5_WTA","004","HSV","HSV1 positive","Infected","top","tract"
"5_WTA","005","HSV","HSV1 negative","Infected","top","nuclei"
"5_WTA","006","HSV","HSV1 negative","Infected","top","nuclei"
"5_WTA","007","HSV","HSV1 negative","Uninfected","bottom","tract"
"5_WTA","008","HSV","HSV1 negative","Uninfected","bottom","tract"
"5_WTA","009","HSV","HSV1 negative","Uninfected","bottom","tract"
"5_WTA","010","HSV","HSV1 negative","Uninfected","bottom","nuclei"
"5_WTA","011","HSV","HSV1 negative","Uninfected","bottom","nuclei"
"5_WTA","012","HSV","HSV1 negative","Uninfected","bottom","nuclei"
"5_WTA","013","HSV","HSV1 positive","Infected","top","tract"
"5_WTA","014","HSV","HSV1 positive","Infected","top","tract"
"5_WTA","015","HSV","HSV1 negative","Infected","top","tract"
"5_WTA","016","HSV","HSV1 negative","Infected","top","nuclei"
"5_WTA","017","HSV","HSV1 positive","Infected","top","nuclei"
"5_WTA","018","HSV","HSV1 positive","Infected","top","nuclei"
"5_WTA","019","HSV","HSV1 negative","Uninfected","bottom","tract"
"5_WTA","020","HSV","HSV1 negative","Uninfected","bottom","tract"
"5_WTA","021","HSV","HSV1 negative","Uninfected","bottom","tract"
"5_WTA","022","HSV","HSV1 negative","Uninfected","bottom","nuclei"
"5_WTA","023","HSV","HSV1 negative","Uninfected","bottom","nuclei"
"5_WTA","024","HSV","HSV1 negative","Uninfected","bottom","nuclei"
