"Slide","ROI_number","condition","antigen","infected_region","side_of_slide","region","Sample_ID"
"11_WTA",1,"Mock","HSV1 negative","Uninfected","top","tract","DSP-1001660019915-A-A02.dcc"
"11_WTA",2,"Mock","HSV1 negative","Uninfected","top","tract","DSP-1001660019915-A-A04.dcc"
"11_WTA",3,"Mock","HSV1 negative","Uninfected","top","tract","DSP-1001660019915-A-A05.dcc"
"11_WTA",4,"Mock","HSV1 negative","Uninfected","top","nuclei","DSP-1001660019915-A-A06.dcc"
"11_WTA",6,"Mock","HSV1 negative","Uninfected","top","nuclei","DSP-1001660019915-A-A07.dcc"
"11_WTA",7,"Mock","HSV1 negative","Uninfected","bottom","tract","DSP-1001660019915-A-A08.dcc"
"11_WTA",8,"Mock","HSV1 negative","Uninfected","bottom","tract","DSP-1001660019915-A-A09.dcc"
"11_WTA",9,"Mock","HSV1 negative","Uninfected","bottom","tract","DSP-1001660019915-A-A10.dcc"
"11_WTA",10,"Mock","HSV1 negative","Uninfected","bottom","nuclei","DSP-1001660019915-A-A11.dcc"
"11_WTA",11,"Mock","HSV1 negative","Uninfected","bottom","nuclei","DSP-1001660019915-A-A12.dcc"
"11_WTA",13,"Mock","HSV1 negative","Uninfected","top","tract","DSP-1001660019915-A-B01.dcc"
"11_WTA",14,"Mock","HSV1 negative","Uninfected","top","tract","DSP-1001660019915-A-B02.dcc"
"11_WTA",15,"Mock","HSV1 negative","Uninfected","top","tract","DSP-1001660019915-A-B03.dcc"
"11_WTA",16,"Mock","HSV1 negative","Uninfected","top","nuclei","DSP-1001660019915-A-B04.dcc"
"11_WTA",17,"Mock","HSV1 negative","Uninfected","top","nuclei","DSP-1001660019915-A-B05.dcc"
"11_WTA",18,"Mock","HSV1 negative","Uninfected","top","nuclei","DSP-1001660019915-A-B06.dcc"
"11_WTA",19,"Mock","HSV1 negative","Uninfected","bottom","tract","DSP-1001660019915-A-B07.dcc"
"11_WTA",22,"Mock","HSV1 negative","Uninfected","bottom","nuclei","DSP-1001660019915-A-B08.dcc"
"11_WTA",23,"Mock","HSV1 negative","Uninfected","bottom","nuclei","DSP-1001660019915-A-B09.dcc"
"5_WTA",1,"HSV","HSV1 positive","Infected","top","tract","DSP-1001660019915-A-B10.dcc"
"5_WTA",2,"HSV","HSV1 positive","Infected","top","tract","DSP-1001660019915-A-B11.dcc"
"5_WTA",3,"HSV","HSV1 positive","Infected","top","nuclei","DSP-1001660019915-A-B12.dcc"
"5_WTA",4,"HSV","HSV1 positive","Infected","top","tract","DSP-1001660019915-A-C01.dcc"
"5_WTA",5,"HSV","HSV1 negative","Infected","top","nuclei","DSP-1001660019915-A-C02.dcc"
"5_WTA",6,"HSV","HSV1 negative","Infected","top","nuclei","DSP-1001660019915-A-C03.dcc"
"5_WTA",7,"HSV","HSV1 negative","Uninfected","bottom","tract","DSP-1001660019915-A-C04.dcc"
"5_WTA",8,"HSV","HSV1 negative","Uninfected","bottom","tract","DSP-1001660019915-A-C05.dcc"
"5_WTA",9,"HSV","HSV1 negative","Uninfected","bottom","tract","DSP-1001660019915-A-C07.dcc"
"5_WTA",10,"HSV","HSV1 negative","Uninfected","bottom","nuclei","DSP-1001660019915-A-C08.dcc"
"5_WTA",11,"HSV","HSV1 negative","Uninfected","bottom","nuclei","DSP-1001660019915-A-C09.dcc"
"5_WTA",12,"HSV","HSV1 negative","Uninfected","bottom","nuclei","DSP-1001660019915-A-C10.dcc"
"5_WTA",13,"HSV","HSV1 positive","Infected","top","tract","DSP-1001660019915-A-C11.dcc"
"5_WTA",14,"HSV","HSV1 positive","Infected","top","tract","DSP-1001660019915-A-C12.dcc"
"5_WTA",15,"HSV","HSV1 negative","Infected","top","tract","DSP-1001660019915-A-D01.dcc"
"5_WTA",16,"HSV","HSV1 negative","Infected","top","nuclei","DSP-1001660019915-A-D02.dcc"
"5_WTA",17,"HSV","HSV1 positive","Infected","top","nuclei","DSP-1001660019915-A-D03.dcc"
"5_WTA",18,"HSV","HSV1 positive","Infected","top","nuclei","DSP-1001660019915-A-D04.dcc"
"5_WTA",19,"HSV","HSV1 negative","Uninfected","bottom","tract","DSP-1001660019915-A-D05.dcc"
"5_WTA",20,"HSV","HSV1 negative","Uninfected","bottom","tract","DSP-1001660019915-A-D06.dcc"
"5_WTA",21,"HSV","HSV1 negative","Uninfected","bottom","tract","DSP-1001660019915-A-D07.dcc"
"5_WTA",22,"HSV","HSV1 negative","Uninfected","bottom","nuclei","DSP-1001660019915-A-D08.dcc"
"5_WTA",23,"HSV","HSV1 negative","Uninfected","bottom","nuclei","DSP-1001660019915-A-D12.dcc"
