"Protein","delta_logFC","logFC_raw","logFC_centered","FDR_raw","FDR_centered"
"MSR1",-0.38233853988339,1.25585233788094,1.63819087776433,0.00318568859092341,0.0447491173146897
"SPP1",0.0539313885035978,0.0480307713645177,-0.0059006171390801,0.820691259188062,0.978167395421503
"Mertk",0.081332541944649,0.303668185957269,0.22233564401262,0.273556434012784,0.515455769014432
"GPNMB",0.160552065586809,0.259860927436111,0.0993088618493026,0.327035981581586,0.747159960356439
"Ki-67",0.199073544961648,0.429008684343662,0.229935139382013,0.214606813107882,0.480556628177673
"CD163",0.233257347625608,0.201026492978358,-0.0322308546472499,0.430491464818233,0.936198675051627
"Rt IgG2b",0.239671656044669,0.269436388191456,0.029764732146787,0.427813042761827,0.920878571717574
"S6",0.261440831834172,0.542764779755979,0.281323947921807,0.127674818029534,0.384574022643669
"ITGAX",0.280226467882364,0.200365620700806,-0.079860847181558,0.358449909699573,0.80307097156699
"Ctsd",0.290054461652605,0.738599813126993,0.448545351474389,0.0326534104759274,0.197448376299771
"IBA1",0.339048776889246,0.79014466722582,0.451095890336575,0.0567052641945963,0.197448376299771
"CD9",0.454224675792407,0.754346729984091,0.300122054191683,0.0722579856969031,0.302634760925239
"GAPDH",0.611074293603102,0.985495015836046,0.374420722232944,0.0194260316647312,0.197448376299771
"Rb IgG",0.704474453431769,0.484941533238762,-0.219532920193007,0.289530606938751,0.542678629132131
"Histone H3",0.708272937539321,1.23705423161107,0.528781294071747,0.0180197261457782,0.0941069331222578
"Rt IgG2a",0.727395606485936,0.526012052780768,-0.201383553705168,0.184595099142012,0.447552563714357
"Olig2",0.730482589244439,0.564896972781001,-0.165585616463438,0.26409603371902,0.480556628177673
"NeuN",0.803696944349753,0.586566473787486,-0.217130470562267,0.132620060161679,0.447552563714357
"Aldh1l1",0.816605186343895,1.40427563516365,0.587670448819752,0.00190947518864131,0.0447491173146897
"Synaptophysin",0.955730283689259,2.08786180645053,1.13213152276127,4.97480890150956e-05,0.00236587093015253
"TMEM119",0.955797989961614,1.40682617402583,0.45102818406422,0.00676163781415686,0.0473850094434266
"CD45",0.998719929053921,1.48451157776101,0.485791648707085,0.00440560567985712,0.0447491173146897
"CD39",1.02976249137422,0.660598681472443,-0.369163809901773,0.0677186311135851,0.219340082421262
"Neurofilament light",1.12703067440451,0.736197363496252,-0.390833310908258,0.0881151350554396,0.331491962493481
"Myelin basic protein",1.21863103125883,0.923499429042009,-0.295131602216816,0.0881151350554396,0.331491962493481
"CD31",1.28883494044098,0.875869436507702,-0.41296550393328,0.0346505028751542,0.197448376299771
"CD11b",1.37954789745867,0.94982966655018,-0.429718230908491,0.0194260316647312,0.179208988596301
"S100B",1.52582789598906,1.05503914553856,-0.470788750450498,0.025082368572428,0.197448376299771
"CD40",1.71238702241687,1.18566542307127,-0.526721599345597,0.0230999729827528,0.197448376299771
"MHC II",1.86435982319968,1.17806592770188,-0.686293895497804,0.0127927150622421,0.0941069331222578
"MAP2",2.08551566891066,1.3301510059222,-0.755364662988454,0.00254170457061548,0.0447491173146897
"CD68",2.195462830241,1.54340073250901,-0.65206209773199,0.00190947518864131,0.0447491173146897
"CSF1R",2.19622572310725,1.44152193239634,-0.754703790710902,0.00190947518864131,0.0447491173146897
"Vimentin",2.31445798007822,1.40675846775348,-0.907699512324742,0.00135921342286001,0.0269352214980904
"GFAP",3.28979051770674,2.59392116145359,-0.695869356253148,0.00953756115839865,0.0518091768082007
