p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
4.053912924733753e-57,0.4533835415989267,0.744,0.589,7.296637873228282e-53,Homeostatic Microglia,Gpr34
2.5601811237593444e-56,0.3419840817066264,0.935,0.845,4.608070004654444e-52,Homeostatic Microglia,P2ry12
3.747673566356219e-53,0.2978598389530154,0.991,0.918,6.745437652084559e-49,Homeostatic Microglia,Tgfbr1
1.0898196742858228e-49,0.3091882359946201,0.954,0.874,1.9615664317470524e-45,Homeostatic Microglia,Ctsd
2.559036388965802e-48,0.34546923199131463,0.859,0.748,4.606009596499547e-44,Homeostatic Microglia,Selplg
2.18214523893732e-46,0.25322289459995684,0.967,0.892,3.927643215563282e-42,Homeostatic Microglia,Csf1r
2.566659944868659e-38,0.29165749583423217,0.874,0.752,4.619731234769099e-34,Homeostatic Microglia,Ivns1abp
4.0562410290059773e-38,0.3793435359172306,0.75,0.632,7.3008282281078585e-34,Homeostatic Microglia,Fcrls
2.494458663430441e-37,0.2896135889692335,0.888,0.782,4.489776148308451e-33,Homeostatic Microglia,Siglech
1.4277392920029878e-31,0.2643866929465002,0.873,0.771,2.569787951676178e-27,Homeostatic Microglia,Sparc
2.8251948723622005e-30,0.25096561214021307,0.869,0.778,5.0850682507647245e-26,Homeostatic Microglia,Cx3cr1
3.0580859659963384e-29,0.2526646924342577,0.952,0.853,5.50424893019681e-25,Homeostatic Microglia,Csmd3
3.7495066230275275e-27,0.3491313777781122,0.675,0.576,6.748736970787247e-23,Homeostatic Microglia,Gm10790
6.674673778233531e-27,0.2564062793391182,0.863,0.757,1.2013745333442532e-22,Homeostatic Microglia,Itgb5
1.3238999459017716e-26,0.25191444508275085,0.83,0.72,2.3828875126285987e-22,Homeostatic Microglia,Abca9
1.3251929112628374e-26,0.44111964138144266,0.506,0.411,2.3852147209819812e-22,Homeostatic Microglia,8030442B05Rik
3.987791875257372e-26,0.2718816324501443,0.807,0.705,7.177626596275744e-22,Homeostatic Microglia,Dip2b
6.838323345864223e-26,0.26217561346450013,0.817,0.724,1.2308298190221015e-21,Homeostatic Microglia,Ccnd3
3.1702029659267655e-24,0.31343066472889447,0.604,0.52,5.706048318371585e-20,Homeostatic Microglia,Ifngr1
3.3327359855608387e-21,0.31187113240715725,0.589,0.494,5.998591500410953e-17,Homeostatic Microglia,Ifitm10
5.392703045039321e-21,0.3234191893413312,0.549,0.475,9.706326210766275e-17,Homeostatic Microglia,Scoc
6.859070124163772e-20,0.32234835852833643,0.555,0.471,1.2345640316482373e-15,Homeostatic Microglia,Plxna4
8.032345245623478e-20,0.29406968340263884,0.643,0.56,1.4457418207597699e-15,Homeostatic Microglia,Otulinl
9.248477058410207e-20,0.25744545398703567,0.646,0.572,1.6646333857432533e-15,Homeostatic Microglia,Laptm5
1.1521441874589603e-18,0.2563004485619267,0.582,0.512,2.0737443230073825e-14,Homeostatic Microglia,Trem2
1.0714626541528345e-17,0.25005550671568777,0.685,0.596,1.9285256312096868e-13,Homeostatic Microglia,P3h2
1.5034164726239517e-17,0.2670752748561591,0.549,0.477,2.705999309075851e-13,Homeostatic Microglia,Tmem119
1.516645969718153e-17,0.28790566018966124,0.523,0.451,2.7298110808957036e-13,Homeostatic Microglia,Golm1
2.5285983712088007e-17,0.2612315969331509,0.7,0.617,4.55122420833872e-13,Homeostatic Microglia,Rasgrp3
2.7242146513878423e-16,0.25843584298824673,0.639,0.575,4.903313951032977e-12,Homeostatic Microglia,Usp24
8.642680887267731e-16,0.2861973877275883,0.541,0.477,1.555596132899319e-11,Homeostatic Microglia,Itga9
1.8386478041769933e-14,0.2517699284648902,0.55,0.485,3.3093821827381704e-10,Homeostatic Microglia,Prkca
2.916973184183253e-14,0.2901182558848565,0.509,0.451,5.250260034211437e-10,Homeostatic Microglia,Col27a1
1.2213146885079107e-13,0.2800175625987209,0.497,0.437,2.1982443078453885e-9,Homeostatic Microglia,Slc16a6
2.1216147148905193e-13,0.2587290813388017,0.581,0.525,3.818694325331445e-9,Homeostatic Microglia,Ptgs1
1.4622690748022045e-12,0.2621106522988397,0.491,0.436,2.631938107736488e-8,Homeostatic Microglia,Scamp2
7.193646134389754e-12,0.36535620596060103,0.374,0.318,1.2947843677288118e-7,Homeostatic Microglia,Serpine2
