Gene,Ding_log2FC,Ding_pct_HSV,Ding_pct_Mock,Ding_padj,CurrentStudy_log2FC,CurrentStudy_pct_HSV,CurrentStudy_pct_Mock,CurrentStudy_padj,Homeostatic Microglia,Transiently Activated Microglia,IFN-Responsive Microglia,Primed Microglia,Mitochondrial-Activated Microglia,IEG-High Microglia
Iigp1,0.907272164151844,0.22152777777777777,0.002,0,7.656548677322767,0.055,0,1.0322879269188303e-24,0.107149474356938,0.058930532850672214,2.295571247419985,0.5599796047566437,0.19736043761826594,0.02699041999041498
Gbp2,120153052975414,0.035416666666666666,0.008,0,4.815154423603012,0.099,0.004,6.302046290286193e-44,0.18672480368852037,0.18329444726835384,2.1000343507270007,0.7780355920809146,0.4269929978988128,0.14140253790293236
Zbp1,0.798561050666064,0.26319444444444445,0.003,0,4.743980040725868,0.037,0.001,3.5221390376701923e-14,0.07604245977234171,0.059481754236328156,0.5928762397609753,0.27356148968571836,0.20236106339277787,0.04303022452294842
Ms4a4c,0.253947934936275,0.08125,0.008,1.42456539447804e-99,4.416767312679387,0.021,0.001,5.701977340820042e-6,0.05848773826422984,0.05952516129056721,0.17956629797984913,0.2822459595381954,0.13400613864859653,0.0657590555282686
Ifit3,0.378181996160274,0.11666666666666667,0.012,1.59883277362661e-156,4.218216967298076,0.024,0.001,1.225098657488589e-7,0.0520868267609512,0.03319967734109347,0.413497640482187,0.15500275510367442,0.03923661641591709,0.019282051810439772
Plac8,116544198580043,0.29097222222222224,0.003,0,4.176805820563426,0.073,0.005,7.998191291234551e-29,0.2853374816480846,0.19026933703063448,0.5149476707305007,1.2175264499966683,0.5140175880918431,0.1799134416746076
Oasl2,0.327518873889868,0.11944444444444445,0.009,6.60421833067945e-169,4.115158991249651,0.06,0.003,1.1069557103999388e-24,0.09463126525696877,0.08361683350471841,1.5603369512502476,0.2983584972119444,0.12586483368171184,0.10429753085601619
Ifi207,0.30455859573677,0.10902777777777778,0.003,9.91694800416292e-166,3.977816205141411,0.057,0.005,2.6119916320977135e-21,0.05756165554463817,0.07445033593558212,2.137275356243201,0.36138562069622343,0.1032600816265708,0.13956030740661943
H2-Q7,0.895602667991218,0.27569444444444446,6.944444444444445e-4,0,3.8964714407538654,0.052,0.004,2.2729173871991283e-19,0.14744295495482843,0.1368460230200335,0.5028627950779297,0.20479121879228535,0.25422750770977454,0.19556163849448222
Ifi27l2a,272235337260303,0.6291666666666667,0.066,0,3.3396656369111293,0.118,0.018,1.1912945359124914e-40,0.494303304062344,0.34112573401748425,0.844197444067395,1.7656724147839853,0.8241715735364253,0.27902555589242395
