Ding_signature,Gene
"Homeostatic
cluster 0",Malat1
"Homeostatic
cluster 0",Cx3cr1
"Homeostatic
cluster 0",P2ry12
"Homeostatic
cluster 0",Maf
"Homeostatic
cluster 0",Zfhx3
"Homeostatic
cluster 0",Serinc3
"Homeostatic
cluster 0",Selplg
"Homeostatic
cluster 0",Tgfbr1
"Homeostatic
cluster 0",Hexb
"Homeostatic
cluster 0",Siglech
"Homeostatic
cluster 0",Mef2a
"Homeostatic
cluster 0",Fcrls
"Homeostatic
cluster 0",Mef2c
"Homeostatic
cluster 0",Mbnl1
"Homeostatic
cluster 0",Vsir
"Homeostatic
cluster 0",Qk
"Homeostatic
cluster 0",Arhgap5
"Homeostatic
cluster 0",Cst3
"Homeostatic
cluster 0",Mtdh
"Homeostatic
cluster 0",Tmem119
"Homeostatic
cluster 0",Epb41l2
"Homeostatic
cluster 0",Trem2
"Homeostatic
cluster 0",Plxdc2
"Homeostatic
cluster 0",Gpr183
"Homeostatic
cluster 0",Ifngr1
"Homeostatic
cluster 0",Hpgds
"Homeostatic
cluster 0",Srgap2
"Homeostatic
cluster 0",Hpgd
"Homeostatic
cluster 0",Dleu2
"Homeostatic
cluster 0",Rnase4
"Homeostatic
cluster 0",Pmepa1
"Homeostatic
cluster 0",P2ry13
"Homeostatic
cluster 0",Ssh2
"Homeostatic
cluster 0",Cd33
"Homeostatic
cluster 0",Rsrp1
"Homeostatic
cluster 0",Nrip1
"Homeostatic
cluster 0",Sparc
"Homeostatic
cluster 0",Kctd12
"Homeostatic
cluster 0",Rhob
"Homeostatic
cluster 0",Ivns1abp
"Homeostatic
cluster 0",Arglu1
"Homeostatic
cluster 0",Selenop
"Homeostatic
cluster 0",Scoc
"Homeostatic
cluster 0",Lair1
"Homeostatic
cluster 0",Ddx5
"Homeostatic
cluster 0",Pou2f2
"Homeostatic
cluster 0",Golm1
"Homeostatic
cluster 0",Son
"Homeostatic
cluster 0",Smap2
"Homeostatic
cluster 0",Sall1
"Homeostatic
cluster 0",Tmcc3
"Homeostatic
cluster 0",Luc7l2
"Homeostatic
cluster 0",Basp1
"Homeostatic
cluster 0",Mafb
"Homeostatic
cluster 0",Unc93b1
"Homeostatic
cluster 0",Sirpa
