names,scores,logfoldchanges,pvals,pvals_adj,cluster,comparison
Camk1d,18.760477,0.921883,1.5896745390544722e-78,2.8612552028441443e-74,Homeostatic Microglia,HSV1_vs_Mock
Gm42418,16.097849,0.35491133,2.6413104397043917e-58,2.3770473302119673e-54,Homeostatic Microglia,HSV1_vs_Mock
H2-D1,12.350558,1.7505168,4.837430929258278e-35,2.902297309857325e-31,Homeostatic Microglia,HSV1_vs_Mock
B2m,11.570568,0.9258545,5.809653701887544e-31,2.614198924506848e-27,Homeostatic Microglia,HSV1_vs_Mock
H2-K1,10.557432,1.613608,4.693237146583237e-26,1.4078929233558612e-22,Homeostatic Microglia,HSV1_vs_Mock
Cmss1,9.035384,0.7656472,1.6342772258231207e-19,4.202193683941478e-16,Homeostatic Microglia,HSV1_vs_Mock
Stat1,8.209367,1.976753,2.223588381940759e-16,5.002795910818966e-13,Homeostatic Microglia,HSV1_vs_Mock
Lars2,7.2547617,0.8409814,4.0236950676805296e-13,7.242248752318184e-10,Homeostatic Microglia,HSV1_vs_Mock
Ly6e,6.6198516,0.84540516,3.59559433720488e-11,5.8833729523046033e-08,Homeostatic Microglia,HSV1_vs_Mock
Ly86,6.313338,0.48321387,2.730805928542268e-10,3.780905839064022e-07,Homeostatic Microglia,HSV1_vs_Mock
E230029C05Rik,6.148428,0.5066656,7.825454621631285e-10,1.006073983819582e-06,Homeostatic Microglia,HSV1_vs_Mock
Nlrc5,6.135434,3.3716154,8.492692669898667e-10,1.0190665024367075e-06,Homeostatic Microglia,HSV1_vs_Mock
mt-Nd4,5.542002,0.35747272,2.990323670687468e-08,2.446492534031988e-05,Homeostatic Microglia,HSV1_vs_Mock
Dhx9,5.5175304,0.6750821,3.437961409816448e-08,2.6904290180559237e-05,Homeostatic Microglia,HSV1_vs_Mock
Cd74,5.4813013,2.2276273,4.2220849932871e-08,3.1663878247572714e-05,Homeostatic Microglia,HSV1_vs_Mock
Ccl12,4.9284377,1.8020403,8.288967458531076e-07,0.0004973104176203361,Homeostatic Microglia,HSV1_vs_Mock
Fkbp5,4.7879066,0.49513158,1.685299964034645e-06,0.000959006514246512,Homeostatic Microglia,HSV1_vs_Mock
B4galt1,4.785574,0.56993693,1.7049951917266727e-06,0.000959006514246512,Homeostatic Microglia,HSV1_vs_Mock
Rnf213,4.719134,1.1671586,2.368506911576458e-06,0.0012918410879231717,Homeostatic Microglia,HSV1_vs_Mock
Ifi27l2a,4.277081,3.0890539,1.893597328809511e-05,0.008739194441344201,Homeostatic Microglia,HSV1_vs_Mock
