names,scores,logfoldchanges,pvals,pvals_adj
Apoe,7.7179728,2.525811,1.1819457479567226e-14,5.318460379368263e-11
Stab1,7.150581,2.2261086,8.64113783290205e-13,1.7281315539378222e-09
Cst3,6.467476,0.74418443,9.965358825746281e-11,1.1957766233640488e-07
Fcrls,6.3543916,1.890539,2.0925286083075992e-10,2.35396390130803e-07
Slc9a9,6.323491,1.5196791,2.557191216689998e-10,2.707463806423722e-07
Abca9,6.2353907,1.5744071,4.50651677408829e-10,4.19417288376715e-07
Pde4d,5.7554417,2.0899842,8.641544368150571e-09,6.2215662832936854e-06
Snx29,5.703502,1.5442815,1.1737051012284184e-08,7.824265969263074e-06
AC149090.1,5.506263,1.3931243,3.665309413125666e-08,2.12812593957577e-05
Sbf2,5.442489,1.4072899,5.254123022002553e-08,2.865726068879514e-05
Mrc1,5.387262,1.901154,7.153914401531741e-08,3.576758480921384e-05
Wwp1,5.3333497,1.5638595,9.641729026751081e-08,4.566881072434019e-05
Dab2,5.2491946,1.4019412,1.527657704172527e-07,6.706417321317394e-05
Itm2b,5.1288786,1.0731192,2.9147341009326615e-07,0.00011404847626671082
Csf1r,5.103237,0.9822962,3.338917618782936e-07,0.00012520245462598764
Ssh2,5.093375,1.1610105,3.5174422941710696e-07,0.00012920498745466345
Mctp1,5.00396,1.409162,5.616433599852282e-07,0.0001907362044598891
Cd163,4.9211197,1.8813748,8.605044266661229e-07,0.00026250868489029433
Gm5086,4.9119153,1.9730777,9.019102320781967e-07,0.0002661226601176305
Ctsd,4.891534,1.117692,1.0005316098958699e-06,0.0002842178419988373
C1qa,4.8908763,0.9482995,1.0038797692563977e-06,0.0002842178419988373
Selenop,4.8455114,1.3032967,1.2628596323605774e-06,0.00034439712913421263
Lrp6,4.804091,1.3331789,1.554560049420217e-06,0.000411478328375213
Hpgds,4.777135,1.2270436,1.778103033527813e-06,0.0004552023194144208
Cfh,4.7751627,1.0923723,1.7956200165800253e-06,0.0004552023194144208
C1qc,4.7659583,1.0118493,1.879582058793495e-06,0.0004698694093920016
F13a1,4.757411,1.7752627,1.9609148281473394e-06,0.0004834863834496433
Zfp36l1,4.730455,1.3845954,2.2401701148635666e-06,0.0005448759715868829
Hpgd,4.630521,1.6216131,3.647475072799549e-06,0.0008638276820436723
Qk,4.5910726,0.79650235,4.409736110446022e-06,0.000982978725949791
Siglech,4.5904155,1.5027652,4.423650025108787e-06,0.000982978725949791
Rnf150,4.4674697,1.321093,7.915030624919794e-06,0.0016188935933855837
Trf,4.4549775,1.331461,8.39019385298281e-06,0.0016779455462204178
Mertk,4.3997507,1.1517222,1.0837533708464907e-05,0.0021202692306376072
Lyz2,4.3852863,1.2293142,1.1583325645603056e-05,0.0022418094440345097
St3gal6,4.339264,1.3693757,1.4296074169519027e-05,0.0026527323605894117
Jund,4.303761,1.4498122,1.67922912424046e-05,0.0030529742431519235
Abca1,4.303761,1.3497988,1.67922912424046e-05,0.0030529742431519235
Atxn1,4.222235,1.4520473,2.4189139041936034e-05,0.004268434447213791
Hexb,4.216318,0.9620234,2.4832338830463367e-05,0.004339390937956409
Prkn,4.2071137,1.3126086,2.5865310873169194e-05,0.004476439715443965
C1qb,4.199224,0.69540095,2.6783120525906767e-05,0.004591137012817104
Agmo,4.1380796,1.337265,3.502244482654239e-05,0.005836749855860523
Zdhhc14,4.1183558,1.2921271,3.8158497281131715e-05,0.0062437708414826345
Ints6l,4.070361,1.2273297,4.694032904832857e-05,0.007476805155228902
P2rx7,4.04472,1.3015807,5.238570457848328e-05,0.008199046058331484
Jun,4.00067,1.222713,6.316342980301927e-05,0.0096345641781741
Ulk2,3.9875205,1.1005825,6.676741675528118e-05,0.010014556118152551
Maf,3.9750288,1.1963004,7.03707545528678e-05,0.010383264879615616
Cd14,3.9743712,1.80132,7.056541065796798e-05,0.010383264879615616
Atp6v0b,3.924404,0.9657312,8.694471991476085e-05,0.01222592198238891
Slc12a6,3.888901,0.8965925,0.00010069920781846034,0.013880478401469854
Pf4,3.842221,1.5227703,0.00012192598697875386,0.016255895108374746
Fli1,3.8363037,0.83924687,0.00012489989165949102,0.016529949632199843
Mir99ahg,3.825127,1.1487895,0.0001307047399362982,0.01692485333894555
Btg2,3.752806,1.2038387,0.00017486629206916378,0.0220099188178523
Fgd4,3.7357118,1.1327442,0.00018718497513561447,0.023235464603213275
Ivns1abp,3.7153304,1.0291605,0.00020293836366075,0.02484821501720979
Colec12,3.6844296,1.5745949,0.00022921540199082757,0.02787600013806017
Zfp644,3.6804848,1.3507383,0.00023279095992917976,0.02812083548835776
Kctd12,3.6719377,1.156163,0.0002407183341216155,0.028693306595065946
Wdfy3,3.6574736,0.6986937,0.0002547135581287252,0.029770060602330683
Rhob,3.6193407,0.9547072,0.00029535467789205727,0.033817495900773646
Otulinl,3.6180258,1.0863622,0.00029685895618213433,0.033817495900773646
Hdac9,3.6055338,0.9666367,0.00031151187831487053,0.035043139361183466
Ccnd3,3.5904121,0.88484776,0.00033015546358647465,0.03668190240180838
Kansl1,3.5424173,0.74965495,0.0003964777420337901,0.042477398088489215
Tbc1d5,3.5404449,0.5079824,0.0003994530456536563,0.04254293117585893
Sh3kbp1,3.5233507,0.903382,0.0004261269042533277,0.04511681264503321
Serinc3,3.5174336,0.6251807,0.00043574128017140475,0.0455982982663088
Nfia,3.5069141,1.1942,0.00045333526613349645,0.04716521072333412
Rnase4,3.5016544,1.3851889,0.0004623787919023206,0.0478296314681027
Sirpa,3.4746985,0.91107947,0.0005114278776837889,0.05230221801380975
Map3k5,3.4490573,0.92137074,0.000562547181395265,0.05625159287740763
Pla2g7,3.363587,1.2054514,0.0007693657849016203,0.07326886117695378
Ddx3x,3.35241,1.0374429,0.0008011124806987901,0.07589065021103959
Tmcc1,3.3458354,0.7737892,0.0008203505431573359,0.07611077023860252
Cd33,3.3425481,1.4600304,0.0008301294924737454,0.0766230806924869
Lpar6,3.3287413,1.5209218,0.0008723936258454355,0.079706664322802
Bmpr2,3.3247967,1.0101825,0.0008848305395353205,0.0800304767894283
Ctsa,3.2820613,1.0469068,0.0010305114525409771,0.09002347135040467
Ltc4s,3.2675972,1.6312727,0.0010846460028775284,0.09385838175861844
Dmxl1,3.2518182,0.8295899,0.0011466938406759222,0.09828258303964725
Smyd3,3.2268345,1.0591881,0.0012516785475838697,0.10626868951868901
AY036118,3.2150002,0.4105323,0.00130444477865366,0.10996510795626108
Gpr183,3.1985636,1.0969402,0.0013811411650730607,0.11508870291736119
Nfxl1,3.1926463,1.00921,0.0014097550383513596,0.11692641292930847
Slc16a7,3.1564858,1.0993521,0.0015968267270278847,0.13093702544001157
Rb1,3.1558282,0.9068377,0.0016004303348409658,0.13093702544001157
C5ar1,3.153856,1.3852396,0.0016112861223493032,0.13122868287857514
Fos,3.151226,1.2920891,0.0016258659453058206,0.13181964481783542
4933406I18Rik,3.1479387,1.0663137,0.0016442614490323585,0.13271328170911847
Ms4a4a,3.0966566,1.2134156,0.0019571649717507007,0.15518507632837383
Myo5a,3.0808773,0.6787787,0.0020639161572502895,0.16081570092791325
P2ry12,3.0565512,0.7274935,0.002238992250723279,0.16932614084356426
Adgre1,3.034855,0.84822154,0.0024065143593985654,0.18012184763577863
Hnrnph1,3.03091,0.7728464,0.00243817820937029,0.1813420231010572
Gas6,3.0190759,1.1517465,0.002535471224934841,0.18780224929054404
Pde3b,3.0092137,0.77393466,0.0026192473124397593,0.19321242777296405
Zfhx3,2.9934347,0.64597136,0.0027585657697077634,0.20101791614967623
Klf2,2.9921198,1.4536902,0.0027704758975720147,0.20107175677580116
Herc4,2.9888325,0.70307946,0.0028004569908990544,0.202431427225671
Ctsl,2.9829152,0.98296845,0.0028551706793256163,0.20556086822872707
Dock1,2.9802854,1.0107294,0.0028797997008900944,0.20650802715665662
Cx3cr1,2.9789705,0.854285,0.0028921868000514497,0.2065732945005002
Smim14,2.9631913,1.9236786,0.003044672875164235,0.21368964400258303
Rps29,2.962534,0.6883972,0.003051182760634693,0.21368964400258303
Arsb,2.9421525,1.3455408,0.0032593943392654153,0.22477332840014638
Pard3b,2.930318,1.3836851,0.0033861519243282177,0.23173896762731405
Prpsap2,2.8810084,1.4020495,0.003964052425138508,0.268229246616797
Zbtb20,2.8625994,0.7326089,0.004201816145816715,0.28114679854481434
Fnip1,2.8573396,0.74920964,0.004272085537577358,0.2832820086550433
Eps15,2.8514223,0.8083751,0.004352411160972832,0.2869562215617216
Rgs2,2.842218,1.1008924,0.004480086292262383,0.29216330860300954
Slc15a2,2.8389306,1.272491,0.00452650066482105,0.29266948544605337
Chd6,2.8376157,1.0441568,0.004545188067185139,0.29266948544605337
Evi5,2.8336709,1.0936241,0.0046016703361982944,0.29266948544605337
Arhgef12,2.810002,1.1033143,0.004954117205551542,0.3085437909436754
2610203C22Rik,2.8073723,1.3045113,0.004994748292346524,0.3089363385358938
Itsn1,2.8021126,0.8568209,0.005076915678093154,0.3118751033788351
Gna12,2.7777865,1.2342783,0.005473058637135865,0.3350666068360831
Scoc,2.7725267,1.3870529,0.005562296141651759,0.3393754856053899
Ier2,2.7712116,1.4297569,0.0055848096889149395,0.3395979378066892
Snx24,2.7652946,0.82738996,0.0056871414969366105,0.34465609361401367
Mef2c,2.7567475,0.73712367,0.005837940813387009,0.35025698900050917
