"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","gene_set_db","cluster","direction","cluster_dir","Pathway","logp"
"Human Diseases","Infectious disease: viral","mmu05168","Herpes simplex virus 1 infection - Mus musculus (house mouse)","18/61","159/6346",2.98764653347647e-15,6.12467539362677e-13,4.74878554268366e-13,"20846/14972/20847/16149/78781/14964/21354/14961/12010/20684/20293/21356/19106/14960/15040/71586/23797/54123",18,"KEGG","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","Herpes simplex virus 1 infection - Mus musculus (house mouse) [KEGG]",12.2129169238602
"Organismal Systems","Immune system","mmu04612","Antigen processing and presentation - Mus musculus (house mouse)","10/61","63/6346",2.69201727834752e-10,2.75931771030621e-08,2.13944531068671e-08,"14972/16149/14964/21354/14961/12010/21356/14960/15040/19188",10,"KEGG","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","Antigen processing and presentation - Mus musculus (house mouse) [KEGG]",7.55919829158716
"Human Diseases","Infectious disease: viral","mmu05169","Epstein-Barr virus infection - Mus musculus (house mouse)","14/61","183/6346",1.15147634969668e-09,7.86842172292732e-08,6.10080451944557e-08,"20846/14972/20847/14964/21354/14961/12010/21356/19106/14960/15040/23797/15945/54123",14,"KEGG","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","Epstein-Barr virus infection - Mus musculus (house mouse) [KEGG]",7.10411237129567
"Human Diseases","Infectious disease: viral","mmu05164","Influenza A - Mus musculus (house mouse)","11/61","132/6346",3.58257074407975e-08,1.83606750634087e-06,1.42360047988432e-06,"20846/20847/14961/20293/11461/19106/14960/71586/23797/15945/54123",11,"KEGG","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","Influenza A - Mus musculus (house mouse) [KEGG]",5.73611135521954
"Organismal Systems","Immune system","mmu04621","NOD-like receptor signaling pathway - Mus musculus (house mouse)","11/61","152/6346",1.54666715434991e-07,6.34133533283461e-06,4.91677348014391e-06,"20846/20847/229900/229898/14469/59027/16438/15951/20293/15944/54123",11,"KEGG","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","NOD-like receptor signaling pathway - Mus musculus (house mouse) [KEGG]",5.19781928050662
"Human Diseases","Infectious disease: viral","mmu05170","Human immunodeficiency virus 1 infection - Mus musculus (house mouse)","11/61","185/6346",1.12648286850366e-06,3.84881646738752e-05,2.9841914586676e-05,"56045/14972/16438/14964/21354/12010/21356/209387/15040/80287/23797",11,"KEGG","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","Human immunodeficiency virus 1 infection - Mus musculus (house mouse) [KEGG]",4.41467279794705
"Human Diseases","Immune disease","mmu05320","Autoimmune thyroid disease - Mus musculus (house mouse)","5/61","34/6346",1.56076593020723e-05,0.000399946269615603,0.000310099546659595,"14972/14964/14961/14960/15040",5,"KEGG","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","Autoimmune thyroid disease - Mus musculus (house mouse) [KEGG]",3.39799834961411
"Human Diseases","Immune disease","mmu05330","Allograft rejection - Mus musculus (house mouse)","5/61","34/6346",1.56076593020723e-05,0.000399946269615603,0.000310099546659595,"14972/14964/14961/14960/15040",5,"KEGG","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","Allograft rejection - Mus musculus (house mouse) [KEGG]",3.39799834961411
"Human Diseases","Immune disease","mmu05332","Graft-versus-host disease - Mus musculus (house mouse)","5/61","35/6346",1.80752492448733e-05,0.000411714010577669,0.000319223700114136,"14972/14964/14961/14960/15040",5,"KEGG","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","Graft-versus-host disease - Mus musculus (house mouse) [KEGG]",3.38540435376268
"Human Diseases","Endocrine and metabolic disease","mmu04940","Type I diabetes mellitus - Mus musculus (house mouse)","5/61","37/6346",2.39153736946935e-05,0.000462921762630151,0.000358927785145843,"14972/14964/14961/14960/15040",5,"KEGG","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","Type I diabetes mellitus - Mus musculus (house mouse) [KEGG]",3.33449240191751
