"Pathway","Infiltrating_Macrophages_UP","Homeostatic_Microglia_UP","Transiently_Activated_Microglia_UP","Infiltrating_Macrophages_DOWN","Homeostatic_Microglia_DOWN","Transiently_Activated_Microglia_DOWN","IFN_Responsive_Microglia_UP"
"'de novo' post-translational protein folding [GO_BP]",0,0,1.8481360254879,0,0,0,0
"'de novo' protein folding [GO_BP]",0,0,1.83260273692872,0,0,0,0
"AGE-RAGE signaling pathway in diabetic complications - Mus musculus (house mouse) [KEGG]",0,0,0,0,0,0,1.49681249536558
"Acute myeloid leukemia - Mus musculus (house mouse) [KEGG]",0,0,0,0,0,0,1.73699607248053
"Allograft rejection - Mus musculus (house mouse) [KEGG]",3.39799834961411,1.84029939434213,1.41126329091661,0,0,0,1.70533091080703
"Antigen Presentation: Folding, assembly and peptide loading of class I MHC [Reactome]",3.76867121654164,0,0,0,0,0,4.45194242090176
"Antigen processing and presentation - Mus musculus (house mouse) [KEGG]",7.55919829158716,3.84788972337021,4.42024370601547,0,0,0,8
"Antigen processing-Cross presentation [Reactome]",3.76867121654164,0,0,0,0,0,3.92382967963739
"Autoimmune thyroid disease - Mus musculus (house mouse) [KEGG]",3.39799834961411,1.84029939434213,1.41126329091661,0,0,0,1.70533091080703
"B cell activation [GO_BP]",0,0,0,0,0,0,3.44453590214387
"B cell differentiation [GO_BP]",0,0,0,0,0,0,2.08725538850986
"B cell mediated immunity [GO_BP]",4.44310178467793,1.86389402634815,1.86420645238016,0,1.72095286174281,0,2.65903798592786
"B cell proliferation [GO_BP]",0,0,0,0,0,0,2.04311318065703
"B cell receptor signaling pathway - Mus musculus (house mouse) [KEGG]",0,0,0,0,0,0,1.96046155509905
"Binding and Uptake of Ligands by Scavenger Receptors [Reactome]",0,0,0,0,1.70602587883526,1.71198237908566,0
"Biosynthesis of DHA-derived SPMs [Reactome]",0,0,0,0,0,1.96958885194733,0
"Biosynthesis of specialized proresolving mediators (SPMs) [Reactome]",0,0,0,0,0,1.96958885194733,0
"C-terminal protein amino acid modification [GO_BP]",0,0,0,0,0,0,1.70394056869901
"C-type lectin receptor signaling pathway - Mus musculus (house mouse) [KEGG]",1.57893116928396,0,0,0,0,0,1.34545046387823
"CAMKK-AMPK signaling cascade [GO_BP]",1.90391855372944,0,0,0,0,0,3.39151157419201
"CD8-positive, alpha-beta T cell activation [GO_BP]",4.15789618061726,2.76282535558453,1.81757483691117,0,0,0,3.90194112208138
"CD8-positive, alpha-beta T cell differentiation [GO_BP]",0,0,0,0,0,0,1.46110497833039
"CD8-positive, alpha-beta T cell proliferation [GO_BP]",4.2099918407904,2.23361216644567,2.22910316954744,0,0,0,2.54277063417518
"Cell adhesion molecule (CAM) interaction - Mus musculus (house mouse) [KEGG]",2.67863118943538,0,0,0,0,0,1.77807827445286
"Chemokine signaling pathway - Mus musculus (house mouse) [KEGG]",1.47375395546722,1.7361428439041,0,0,0,0,2.80283602807798
"Complement and coagulation cascades - Mus musculus (house mouse) [KEGG]",0,0,0,2.22572744108399,1.39128242826201,0,0
"Complement cascade [Reactome]",0,0,0,1.33911058931864,1.68219342581148,0,0
"Coronavirus disease - Mus musculus (house mouse) [KEGG]",0,0,0,0,1.92574691231103,0,0
"Cytokine Signaling in Immune system [Reactome]",0,0,0,0,0,0,2.1600604417787
"Cytosolic DNA-sensing pathway - Mus musculus (house mouse) [KEGG]",1.57893116928396,0,0,0,0,0,0
"DAP12 interactions [Reactome]",1.76381188023265,0,0,0,1.40998605589458,0,0
"DAP12 signaling [Reactome]",0,0,0,0,1.68219342581148,1.48440646173608,0
"ER-Phagosome pathway [Reactome]",3.89871992237537,1.33880440010526,0,0,0,0,4.45194242090176
"ER-nucleus signaling pathway [GO_BP]",0,0,0,0,0,0,2.08187220597516
"ERK1 and ERK2 cascade [GO_BP]",0,0,0,0,0,0,1.36791290832556
"Efferocytosis - Mus musculus (house mouse) [KEGG]",0,0,0,1.65964743104275,0,0,0
"Endosomal/Vacuolar pathway [Reactome]",3.76867121654164,1.57087583052793,1.51286510597491,0,0,0,2.22590648592428
"Epstein-Barr virus infection - Mus musculus (house mouse) [KEGG]",7.10411237129567,2.32183393282791,1.59646306586613,0,0,0,4.87283821640107
"Erythropoietin activates RAS [Reactome]",0,0,0,0,0,0,1.44624713338828
"FCGR activation [Reactome]",0,0,0,0,0,0,3.34262261581867
"Fc epsilon RI signaling pathway - Mus musculus (house mouse) [KEGG]",0,0,0,0,0,0,1.40521333339167
"Fc gamma R-mediated phagosome formation - Mus musculus (house mouse) [KEGG]",0,0,0,0,0,0,3.96901349881723
"Fc receptor mediated stimulatory signaling pathway [GO_BP]",1.51340886755958,0,0,0,0,0,2.54277063417518
"Fc receptor signaling pathway [GO_BP]",1.47280876441052,0,0,0,0,0,1.51898257117518
"Fc-gamma receptor signaling pathway [GO_BP]",1.60278580759947,0,0,0,0,0,1.70394056869901
"Fcgamma receptor (FCGR) dependent phagocytosis [Reactome]",0,0,0,0,0,0,2.05365004429265
"G1/S transition of mitotic cell cycle [GO_BP]",0,0,0,0,0,0,1.35779920948308
"Graft-versus-host disease - Mus musculus (house mouse) [KEGG]",3.38540435376268,1.84029939434213,1.41126329091661,0,0,0,1.67884325150715
"Growth hormone receptor signaling [Reactome]",0,0,0,0,0,0,1.44624713338828
"Hepatitis C - Mus musculus (house mouse) [KEGG]",1.86946809481514,0,0,0,0,0,0
"Herpes simplex virus 1 infection - Mus musculus (house mouse) [KEGG]",8,4.89694518039069,4.04137635894658,0,0,0,8
"Human T-cell leukemia virus 1 infection - Mus musculus (house mouse) [KEGG]",1.50456511762026,1.51374501615146,0,0,0,0,0
"Human cytomegalovirus infection - Mus musculus (house mouse) [KEGG]",2.73844233232651,2.25425774002754,1.5517076580696,0,0,0,4.87283821640107
"Human immunodeficiency virus 1 infection - Mus musculus (house mouse) [KEGG]",4.41467279794705,1.59532779679727,1.59646306586613,0,0,0,5.92753803584528
"Human papillomavirus infection - Mus musculus (house mouse) [KEGG]",1.87716893361877,1.84029939434213,1.37173583626545,0,0,0,1.61721697534487
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell [Reactome]",2.86365776342169,0,0,0,0,0,1.44624713338828
"Influenza A - Mus musculus (house mouse) [KEGG]",5.73611135521954,0,0,0,0,0,4.87283821640107
"Initial triggering of complement [Reactome]",0,0,0,1.83604805118865,1.84637226802912,0,0
"Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse) [KEGG]",3.3091354143364,2.33011559678822,0,0,0,0,5.25419259235075
"Leishmaniasis - Mus musculus (house mouse) [KEGG]",0,0,0,0,0,0,2.3183656594816
"Lipid and atherosclerosis - Mus musculus (house mouse) [KEGG]",0,0,0,0,0,0,4.36578787499236
"MHC protein complex assembly [GO_BP]",4.60866705076107,0,0,0,0,0,2.96298250346101
"Measles - Mus musculus (house mouse) [KEGG]",1.92983717385056,0,0,0,0,0,2.85880805237022
"MyD88-dependent toll-like receptor signaling pathway [GO_BP]",1.71075805889104,0,0,0,0,0,0
"NLRP3 inflammasome complex assembly [GO_BP]",3.03038705828405,0,0,0,0,0,3.96707072245724
"NOD-like receptor signaling pathway - Mus musculus (house mouse) [KEGG]",5.19781928050662,0,0,0,0,0,6.56975408635084
"Natural killer cell mediated cytotoxicity - Mus musculus (house mouse) [KEGG]",0,0,0,0,0,0,1.92337960789053
"Necroptosis - Mus musculus (house mouse) [KEGG]",0,0,0,0,0,0,1.98850107290937
"Neutrophil degranulation [Reactome]",2.27749521772551,0,0,0,0,0,1.49450807394439
"Nicotinamide salvaging [Reactome]",2.22597345552906,0,0,0,0,0,3.23639172287797
"Nicotinate metabolism [Reactome]",1.51277953517799,0,0,0,0,0,2.05365004429265
"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways [Reactome]",0,0,0,0,0,0,1.78848604360172
"Osteoclast differentiation - Mus musculus (house mouse) [KEGG]",0,0,0,0,0,0,3.96901349881723
"Other semaphorin interactions [Reactome]",0,0,0,0,1.84637226802912,1.96958885194733,0
"PD-L1 expression and PD-1 checkpoint pathway in cancer - Mus musculus (house mouse) [KEGG]",0,0,0,0,0,0,1.67884325150715
"Pertussis - Mus musculus (house mouse) [KEGG]",0,0,0,2.22572744108399,1.39024507575189,0,0
"Phagocytosis - Mus musculus (house mouse) [KEGG]",1.42253766793136,0,0,0,0,0,1.66115861935274
