"Pathway","IFN_Responsive_Microglia_UP","Infiltrating_Macrophages_UP","Transiently_Activated_Microglia_UP","Homeostatic_Microglia_UP","Homeostatic_Microglia_DOWN","Transiently_Activated_Microglia_DOWN","Infiltrating_Macrophages_DOWN","Cluster"
"DAP12 interactions [Reactome]",0,1.76381188023265,0,0,1.40998605589458,0,0,6
"negative regulation of peptidyl-tyrosine phosphorylation [GO_BP]",0,1.62552195305961,0,0,0,0,0,6
"positive thymic T cell selection [GO_BP]",0,1.65378731085589,0,0,0,0,0,6
"negative regulation of T cell differentiation [GO_BP]",0,1.64962323852911,0,0,0,0,0,6
"negative regulation of lymphocyte differentiation [GO_BP]",0,1.52596433940668,0,0,0,0,0,6
"adrenal gland development [GO_BP]",0,1.51340886755958,0,0,0,0,0,6
"negative regulation of viral transcription [GO_BP]",0,1.51340886755958,0,0,0,0,0,6
"Cytosolic DNA-sensing pathway - Mus musculus (house mouse) [KEGG]",0,1.57893116928396,0,0,0,0,0,6
"chemokine-mediated signaling pathway [GO_BP]",0,1.54365248495597,0,0,0,0,0,6
"positive regulation of immune response to tumor cell [GO_BP]",0,1.55444827066729,0,0,0,0,0,6
"positive regulation of type 2 immune response [GO_BP]",0,1.55444827066729,0,0,0,0,0,6
"positive regulation of response to tumor cell [GO_BP]",0,1.55444827066729,0,0,0,0,0,6
"regulation of myoblast fusion [GO_BP]",0,1.43970840503457,0,0,0,0,0,6
"positive regulation of type I interferon-mediated signaling pathway [GO_BP]",0,1.43970840503457,0,0,0,0,0,6
"negative regulation of toll-like receptor signaling pathway [GO_BP]",0,1.43970840503457,0,0,0,0,0,6
"deoxyribose phosphate catabolic process [GO_BP]",0,1.43970840503457,0,0,0,0,0,6
"positive regulation of calcium ion transport [GO_BP]",0,1.46722095918032,0,0,0,0,0,6
"pyridine-containing compound biosynthetic process [GO_BP]",0,1.47280876441052,0,0,0,0,0,6
"sphingosine metabolic process [GO_BP]",0,1.47280876441052,0,0,0,0,0,6
"purine deoxyribonucleotide metabolic process [GO_BP]",0,1.47280876441052,0,0,0,0,0,6
"immunoglobulin production involved in immunoglobulin-mediated immune response [GO_BP]",0,1.34013735666989,0,0,0,0,0,6
"regulation of immune response to tumor cell [GO_BP]",0,1.30914268264865,0,0,0,0,0,6
"multicellular organismal-level iron ion homeostasis [GO_BP]",0,1.30914268264865,0,0,0,0,0,6
"negative regulation of cell adhesion [GO_BP]",0,1.40474234905666,0,0,0,0,0,6
"transepithelial transport [GO_BP]",0,1.40641823941878,0,0,0,0,0,6
"deoxyribonucleotide catabolic process [GO_BP]",0,1.40641823941878,0,0,0,0,0,6
"sphingoid metabolic process [GO_BP]",0,1.40641823941878,0,0,0,0,0,6
"response to chemokine [GO_BP]",0,1.38090457828793,0,0,0,0,0,6
"cellular response to chemokine [GO_BP]",0,1.38090457828793,0,0,0,0,0,6
"sphingolipid metabolic process [GO_BP]",0,1.36896359351773,0,0,0,0,0,6
"postsynaptic actin cytoskeleton organization [GO_BP]",0,1.37401895059109,0,0,0,0,0,6
"postsynaptic cytoskeleton organization [GO_BP]",0,1.37401895059109,0,0,0,0,0,6
"stem cell proliferation [GO_BP]",0,2.34391059525316,0,0,0,0,0,6
"regulation of type 2 immune response [GO_BP]",0,2.12480165818156,0,0,0,0,0,6
"positive regulation of release of sequestered calcium ion into cytosol [GO_BP]",0,2.12480165818156,0,0,0,0,0,6
"MyD88-dependent toll-like receptor signaling pathway [GO_BP]",0,1.71075805889104,0,0,0,0,0,6
"negative T cell selection [GO_BP]",0,1.71075805889104,0,0,0,0,0,6
"type 2 immune response [GO_BP]",0,1.7807497960389,0,0,0,0,0,6
"positive regulation by symbiont of entry into host [GO_BP]",0,1.76895189210162,0,0,0,0,0,6
"positive regulation of viral entry into host cell [GO_BP]",0,1.76895189210162,0,0,0,0,0,6
"negative regulation of tyrosine phosphorylation of STAT protein [GO_BP]",0,1.76895189210162,0,0,0,0,0,6
