"Pathway","Cluster"
"'de novo' post-translational protein folding [GO_BP]",1
"'de novo' protein folding [GO_BP]",1
"AGE-RAGE signaling pathway in diabetic complications - Mus musculus (house mouse) [KEGG]",2
"Acute myeloid leukemia - Mus musculus (house mouse) [KEGG]",2
"Allograft rejection - Mus musculus (house mouse) [KEGG]",3
"Antigen Presentation: Folding, assembly and peptide loading of class I MHC [Reactome]",4
"Antigen processing and presentation - Mus musculus (house mouse) [KEGG]",5
"Antigen processing-Cross presentation [Reactome]",4
"Autoimmune thyroid disease - Mus musculus (house mouse) [KEGG]",3
"B cell activation [GO_BP]",2
"B cell differentiation [GO_BP]",2
"B cell mediated immunity [GO_BP]",3
"B cell proliferation [GO_BP]",2
"B cell receptor signaling pathway - Mus musculus (house mouse) [KEGG]",2
"Binding and Uptake of Ligands by Scavenger Receptors [Reactome]",6
"Biosynthesis of DHA-derived SPMs [Reactome]",6
"Biosynthesis of specialized proresolving mediators (SPMs) [Reactome]",6
"C-terminal protein amino acid modification [GO_BP]",2
"C-type lectin receptor signaling pathway - Mus musculus (house mouse) [KEGG]",7
"CAMKK-AMPK signaling cascade [GO_BP]",7
"CD8-positive, alpha-beta T cell activation [GO_BP]",3
"CD8-positive, alpha-beta T cell differentiation [GO_BP]",2
"CD8-positive, alpha-beta T cell proliferation [GO_BP]",3
"Cell adhesion molecule (CAM) interaction - Mus musculus (house mouse) [KEGG]",7
"Chemokine signaling pathway - Mus musculus (house mouse) [KEGG]",7
"Complement and coagulation cascades - Mus musculus (house mouse) [KEGG]",6
"Complement cascade [Reactome]",6
"Coronavirus disease - Mus musculus (house mouse) [KEGG]",6
"Cytokine Signaling in Immune system [Reactome]",2
"Cytosolic DNA-sensing pathway - Mus musculus (house mouse) [KEGG]",6
"DAP12 interactions [Reactome]",6
"DAP12 signaling [Reactome]",6
"ER-Phagosome pathway [Reactome]",4
"ER-nucleus signaling pathway [GO_BP]",2
"ERK1 and ERK2 cascade [GO_BP]",2
"Efferocytosis - Mus musculus (house mouse) [KEGG]",6
"Endosomal/Vacuolar pathway [Reactome]",3
"Epstein-Barr virus infection - Mus musculus (house mouse) [KEGG]",8
