"condition","antigen","infected_region","side_of_slide","region","NegGeoMean_Mm_R_NGS_WTA_v1.0","NegGeoSD_Mm_R_NGS_WTA_v1.0","Slide","ROI_number","Sample_ID","sample_id","infection_region","ROI_label","region_annotation","q3_value","q_norm_factor","UMAP1","UMAP2","Condition","Antigen_status"
"Mock","HSV1 negative","Uninfected","top","tract",1.02566133962412,2.15378786837078,"11_WTA",1,"DSP-1001660019915-A-A02.dcc","DSP-1001660019915-A-A02.dcc","Uninfected","001","tract",2,1.5,-2.25787961702486,0.607828724951407,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","top","tract",1.17197483056172,2.11245518217336,"11_WTA",2,"DSP-1001660019915-A-A04.dcc","DSP-1001660019915-A-A04.dcc","Uninfected","002","tract",2,1.5,-1.97435680361094,-0.213918429503129,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","top","tract",1.29084635913932,2.15069868621202,"11_WTA",3,"DSP-1001660019915-A-A05.dcc","DSP-1001660019915-A-A05.dcc","Uninfected","003","tract",3,1,-2.19010899269326,0.948991393112702,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","top","nuclei",1.23233535989112,2.14325129857493,"11_WTA",4,"DSP-1001660019915-A-A06.dcc","DSP-1001660019915-A-A06.dcc","Uninfected","004","nuclei",3,1,-1.46868652042926,0.700977274992292,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","top","nuclei",1.51288064237563,2.20071759136069,"11_WTA",6,"DSP-1001660019915-A-A07.dcc","DSP-1001660019915-A-A07.dcc","Uninfected","006","nuclei",3,1,-0.964830776480965,0.186766607969475,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","bottom","tract",1.44721615992262,2.34090905616205,"11_WTA",7,"DSP-1001660019915-A-A08.dcc","DSP-1001660019915-A-A08.dcc","Uninfected","007","tract",3,1,0.864537737198093,0.817273173271785,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","bottom","tract",1.51154638475781,2.24920863459762,"11_WTA",8,"DSP-1001660019915-A-A09.dcc","DSP-1001660019915-A-A09.dcc","Uninfected","008","tract",3,1,0.661939496019454,0.517829674491195,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","bottom","tract",1.64610055327036,2.05874045050215,"11_WTA",9,"DSP-1001660019915-A-A10.dcc","DSP-1001660019915-A-A10.dcc","Uninfected","009","tract",3,1,0.0489293351571201,0.302254466141036,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","bottom","nuclei",1.32668772708568,2.22163352460413,"11_WTA",10,"DSP-1001660019915-A-A11.dcc","DSP-1001660019915-A-A11.dcc","Uninfected","010","nuclei",3,1,-1.21154631144499,-0.977845400969638,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","bottom","nuclei",1.52431190439076,2.21206375061425,"11_WTA",11,"DSP-1001660019915-A-A12.dcc","DSP-1001660019915-A-A12.dcc","Uninfected","011","nuclei",3,1,-1.31032847205811,-0.533143438648854,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","top","tract",26.9004117568315,1.24483923103792,"11_WTA",13,"DSP-1001660019915-A-B01.dcc","DSP-1001660019915-A-B01.dcc","Uninfected","013","tract",33,0.0909090909090909,1.85046008153334,1.28177365375158,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","top","tract",1.47959077331585,2.08296807697846,"11_WTA",14,"DSP-1001660019915-A-B02.dcc","DSP-1001660019915-A-B02.dcc","Uninfected","014","tract",3,1,-2.31457388282123,0.13195804445134,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","top","tract",1.24796912559753,2.18642199613174,"11_WTA",15,"DSP-1001660019915-A-B03.dcc","DSP-1001660019915-A-B03.dcc","Uninfected","015","tract",3,1,-2.54434631420304,0.926383043696613,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","top","nuclei",1.37144355790744,2.04319754195492,"11_WTA",16,"DSP-1001660019915-A-B04.dcc","DSP-1001660019915-A-B04.dcc","Uninfected","016","nuclei",3,1,-1.96120937618751,1.1852806032069,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","top","nuclei",1.24596019016769,2.16192748635734,"11_WTA",17,"DSP-1001660019915-A-B05.dcc","DSP-1001660019915-A-B05.dcc","Uninfected","017","nuclei",3,1,-1.22382791226454,0.477098595113742,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","top","nuclei",1.33629631069799,2.06137004525949,"11_WTA",18,"DSP-1001660019915-A-B06.dcc","DSP-1001660019915-A-B06.dcc","Uninfected","018","nuclei",3,1,-1.45427188928604,1.12589942423968,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","bottom","tract",1.1916307273702,2.14209073271175,"11_WTA",19,"DSP-1001660019915-A-B07.dcc","DSP-1001660019915-A-B07.dcc","Uninfected","019","tract",3,1,-1.72371742172291,0.534187305159689,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","bottom","nuclei",1.67529621936082,2.09424744361333,"11_WTA",22,"DSP-1001660019915-A-B08.dcc","DSP-1001660019915-A-B08.dcc","Uninfected","022","nuclei",3,1,-0.492440693671765,-0.552345805115792,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","bottom","nuclei",1.74264655444172,2.21854476502864,"11_WTA",23,"DSP-1001660019915-A-B09.dcc","DSP-1001660019915-A-B09.dcc","Uninfected","023","nuclei",3,1,-0.173397665916729,-0.934805047211235,"Mock","Uninfected"
"HSV","HSV1 positive","Infected","top","tract",1.69252326611917,2.21980622636172,"5_WTA",1,"DSP-1001660019915-A-B10.dcc","DSP-1001660019915-A-B10.dcc","Infected","001","tract",3,1,-0.953148409001112,-1.20856189329334,"HSV-1","Infected"
"HSV","HSV1 positive","Infected","top","tract",1.49673210713681,2.17647090376406,"5_WTA",2,"DSP-1001660019915-A-B11.dcc","DSP-1001660019915-A-B11.dcc","Infected","002","tract",3,1,-1.60660121554328,-1.31941689268765,"HSV-1","Infected"
"HSV","HSV1 positive","Infected","top","nuclei",12.2265628757995,1.34249861083651,"5_WTA",3,"DSP-1001660019915-A-B12.dcc","DSP-1001660019915-A-B12.dcc","Infected","003","nuclei",15,0.2,1.77969942806278,0.801783536598461,"HSV-1","Infected"
"HSV","HSV1 positive","Infected","top","tract",1.7370267145505,2.19864042310913,"5_WTA",4,"DSP-1001660019915-A-C01.dcc","DSP-1001660019915-A-C01.dcc","Infected","004","tract",3,1,-1.58613257029542,-1.15066891871828,"HSV-1","Infected"
"HSV","HSV1 negative","Infected","top","nuclei",1.80453340922983,2.16211952194943,"5_WTA",5,"DSP-1001660019915-A-C02.dcc","DSP-1001660019915-A-C02.dcc","Infected","005","nuclei",3,1,1.21059187372857,0.0162121207194779,"HSV-1","Uninfected"
"HSV","HSV1 negative","Infected","top","nuclei",1.96418056909685,2.20806754852815,"5_WTA",6,"DSP-1001660019915-A-C03.dcc","DSP-1001660019915-A-C03.dcc","Infected","006","nuclei",3,1,1.14835915250792,-0.562529652611942,"HSV-1","Uninfected"
