"condition","antigen","infected_region","side_of_slide","region","NegGeoMean_Mm_R_NGS_WTA_v1.0","NegGeoSD_Mm_R_NGS_WTA_v1.0","Slide","ROI_number","sample_id","infection_region","infection_region_simple","ROI (Label)","region_annotation","segment","UMAP1","UMAP2","Condition","Antigen_status"
"Mock","HSV1 negative","Uninfected","top","tract",1.02566133962412,2.15378786837078,"11_WTA",1,"DSP-1001660019915-A-A02.dcc","Uninfected","Uninfected","001","TG","mock negative",-0.49799091036023,-2.61357635005836,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","top","tract",1.17197483056172,2.11245518217336,"11_WTA",2,"DSP-1001660019915-A-A04.dcc","Uninfected","Uninfected","002","TG","mock negative",-0.219580727860628,-2.0737955901686,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","top","tract",1.29084635913932,2.15069868621202,"11_WTA",3,"DSP-1001660019915-A-A05.dcc","Uninfected","Uninfected","003","TG","mock negative",-0.699288222258365,-2.66850439930351,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","top","nuclei",1.23233535989112,2.14325129857493,"11_WTA",4,"DSP-1001660019915-A-A06.dcc","Uninfected","Uninfected","004","TG","mock negative",0.24473789134416,-1.78271631325849,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","top","nuclei",1.51288064237563,2.20071759136069,"11_WTA",6,"DSP-1001660019915-A-A07.dcc","Uninfected","Uninfected","006","TG","mock negative",0.146729078132256,-1.23752190947751,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","bottom","tract",1.44721615992262,2.34090905616205,"11_WTA",7,"DSP-1001660019915-A-A08.dcc","Uninfected","Uninfected","007","TG","mock negative",-0.291539063469274,-1.00096746012255,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","bottom","tract",1.51154638475781,2.24920863459762,"11_WTA",8,"DSP-1001660019915-A-A09.dcc","Uninfected","Uninfected","008","TG","mock negative",-0.682500929249479,-0.795277856822126,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","bottom","tract",1.64610055327036,2.05874045050215,"11_WTA",9,"DSP-1001660019915-A-A10.dcc","Uninfected","Uninfected","009","TG","mock negative",-0.839534225078755,-0.336892997592209,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","bottom","nuclei",1.32668772708568,2.22163352460413,"11_WTA",10,"DSP-1001660019915-A-A11.dcc","Uninfected","Uninfected","010","TG","mock negative",-0.264513363363421,-0.65819423682458,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","bottom","nuclei",1.52431190439076,2.21206375061425,"11_WTA",11,"DSP-1001660019915-A-A12.dcc","Uninfected","Uninfected","011","TG","mock negative",0.104932736719025,-0.477344730179059,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","top","tract",26.9004117568315,1.24483923103792,"11_WTA",13,"DSP-1001660019915-A-B01.dcc","Uninfected","Uninfected","013","TN","mock negative",0.561716637847847,2.72195800315374,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","top","tract",1.47959077331585,2.08296807697846,"11_WTA",14,"DSP-1001660019915-A-B02.dcc","Uninfected","Uninfected","014","TN","mock negative",0.403310392281813,-2.98142656553692,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","top","tract",1.24796912559753,2.18642199613174,"11_WTA",15,"DSP-1001660019915-A-B03.dcc","Uninfected","Uninfected","015","TN","mock negative",-0.287776982014187,-3.05850069764106,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","top","nuclei",1.37144355790744,2.04319754195492,"11_WTA",16,"DSP-1001660019915-A-B04.dcc","Uninfected","Uninfected","016","TN","mock negative",0.375684781083349,-2.59044485130318,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","top","nuclei",1.24596019016769,2.16192748635734,"11_WTA",17,"DSP-1001660019915-A-B05.dcc","Uninfected","Uninfected","017","TN","mock negative",0.496041737779866,-2.19165066345306,"Mock","Uninfected"
"Mock","HSV1 negative","Uninfected","top","nuclei",1.33629631069799,2.06137004525949,"11_WTA",18,"DSP-1001660019915-A-B06.dcc","Uninfected","Uninfected","018","TN","mock negative",0.122757601404293,-2.30971505736965,"Mock","Uninfected"
