"log2foldchange","p.value","FDR","gene","direction"
0.0260360470177108,0.421369921058457,0.871145270625257,"0610009B22Rik","ns"
0.166395252070896,0.369028566674351,0.852027204813155,"0610012G03Rik","ns"
0.369167268730953,0.120882526467628,0.651103046630605,"1110004F10Rik","ns"
0.0656955904719849,0.788996666833427,0.972042380725181,"Eola1","ns"
0.152801063516853,0.937509652129066,0.991940903808069,"1110032A03Rik","ns"
0.224314906155333,0.48713886263909,0.897916620759632,"1110038F14Rik","ns"
0.0142030159725683,0.838581096015583,0.975665375563718,"1110051M20Rik","ns"
-0.121148976842367,0.87479465373112,0.98384160066753,"1110059G10Rik","ns"
0.505505138041268,0.000867779718146679,0.0679754908120261,"1110065P20Rik","ns"
-0.276802487949259,0.37121146961481,0.852179068474605,"1190007I07Rik","ns"
0.217174452797567,0.0062192722362797,0.203151032072412,"1500009C09Rik","ns"
0.476648700727123,0.0208195699174637,0.357260406739429,"1520401A03Rik","ns"
-0.00606100107824159,0.837891865324717,0.975665375563718,"1600014C10Rik","ns"
-0.181874820270558,0.498729863810614,0.901911404551712,"1700001L19Rik","ns"
-0.375584760163122,0.427813082848065,0.874149906028076,"1700001O22Rik","ns"
-0.471399969701183,0.514406072308564,0.909167345051908,"1700001P01Rik","ns"
0.0233761379981148,0.812858543135194,0.972042380725181,"1700003E16Rik","ns"
-0.205721013984425,0.728758912152566,0.9655412456893,"1700010I14Rik","ns"
-0.136985818878849,0.445101105107262,0.883450261713253,"1700012A03Rik","ns"
-0.0167032361683439,0.848543726827782,0.978695608857197,"1700012B09Rik","ns"
-0.116682136311952,0.73845881564436,0.966848389930146,"1700013F07Rik","ns"
-0.462871676817728,0.0338180500110007,0.427102792500743,"1700013G24Rik","ns"
-0.504476860481493,0.0731596188403167,0.565164804583775,"1700015G11Rik","ns"
-0.0384280803159047,0.949668289156065,0.995351869948558,"1700016D06Rik","ns"
-0.376400090131523,0.105660680412253,0.631932690290181,"1700016K19Rik","ns"
-0.316796990187909,0.342856527820898,0.844102356110195,"1700019A02Rik","ns"
-0.381323365058653,0.432669876929159,0.87590497019224,"1700019D03Rik","ns"
-0.380474417618842,0.250527428363927,0.79285979770585,"1700019N19Rik","ns"
0.130161948120745,0.38147296508219,0.854356551041643,"1700020L24Rik","ns"
-0.0663568799380618,0.657296798012586,0.953419577564694,"1700022I11Rik","ns"
-0.0562559328678331,0.622102144339221,0.947118041639889,"1700028J19Rik","ns"
-0.347612404543528,0.622918460979006,0.947118041639889,"1700034J05Rik","ns"
0.00841823768073557,0.924119727520535,0.990743469517124,"1700066M21Rik","ns"
