"","DSP-1001660019915-A-A02.dcc","DSP-1001660019915-A-A03.dcc","DSP-1001660019915-A-A04.dcc","DSP-1001660019915-A-A05.dcc","DSP-1001660019915-A-A06.dcc","DSP-1001660019915-A-A07.dcc","DSP-1001660019915-A-A08.dcc","DSP-1001660019915-A-A09.dcc","DSP-1001660019915-A-A10.dcc","DSP-1001660019915-A-A11.dcc","DSP-1001660019915-A-A12.dcc","DSP-1001660019915-A-B01.dcc","DSP-1001660019915-A-B02.dcc","DSP-1001660019915-A-B03.dcc","DSP-1001660019915-A-B04.dcc","DSP-1001660019915-A-B05.dcc","DSP-1001660019915-A-B06.dcc","DSP-1001660019915-A-B07.dcc","DSP-1001660019915-A-B08.dcc","DSP-1001660019915-A-B09.dcc","DSP-1001660019915-A-B10.dcc","DSP-1001660019915-A-B11.dcc","DSP-1001660019915-A-B12.dcc","DSP-1001660019915-A-C01.dcc","DSP-1001660019915-A-C02.dcc","DSP-1001660019915-A-C03.dcc","DSP-1001660019915-A-C04.dcc","DSP-1001660019915-A-C05.dcc","DSP-1001660019915-A-C07.dcc","DSP-1001660019915-A-C08.dcc","DSP-1001660019915-A-C09.dcc","DSP-1001660019915-A-C10.dcc","DSP-1001660019915-A-C11.dcc","DSP-1001660019915-A-C12.dcc","DSP-1001660019915-A-D02.dcc","DSP-1001660019915-A-D03.dcc","DSP-1001660019915-A-D04.dcc","DSP-1001660019915-A-D05.dcc","DSP-1001660019915-A-D06.dcc","DSP-1001660019915-A-D07.dcc","DSP-1001660019915-A-D08.dcc","DSP-1001660019915-A-D11.dcc","DSP-1001660019915-A-D12.dcc"
"9930111J21Rik1",1.07943357586845,0.0152083124410215,0.637740183866163,1.42203758745465,0.0152083124410215,-1.04901695098641,0.637740183866163,-1.04901695098641,0.0152083124410215,-0.426485079561268,-0.426485079561268,0.339642259775165,0.980344195452357,2,-1.4907103429887,-1.04901695098641,1.07943357586845,1.93864108047464,-0.426485079561268,-0.426485079561268,-1.4907103429887,0.637740183866163,-0.0838810679750739,0.196046791863873,0.637740183866163,0.637740183866163,-1.4907103429887,-1.4907103429887,-1.04901695098641,0.637740183866163,0.637740183866163,0.980344195452357,0.196046791863873,0.637740183866163,-1.04901695098641,-1.4907103429887,-1.4907103429887,0.637740183866163,0.196046791863873,1.49694768847235,-1.04901695098641,-0.426485079561268,-0.426485079561268
"AA467197",2,1.35046335370495,-0.693497830838958,1.99526131694191,-0.693497830838958,-0.693497830838958,0.596098095634957,-0.693497830838958,-0.0486998676020007,-0.961113165040916,-0.316315201803959,-0.16513248380897,2,2,0.973280724669955,-0.693497830838958,1.35046335370495,1.76147686822399,0.0608674272310394,0.0608674272310394,-0.316315201803959,-0.961113165040916,-0.316315201803959,-0.961113165040916,-0.0486998676020007,-0.961113165040916,-0.316315201803959,-0.961113165040916,0.328482761432998,-0.961113165040916,0.328482761432998,-0.961113165040916,-0.961113165040916,-0.316315201803959,0.596098095634957,-0.961113165040916,-0.316315201803959,-0.146711152661086,0.328482761432998,-0.961113165040916,-0.693497830838958,-0.316315201803959,-0.316315201803959
"Actb",1.45840508923536,1.08926355720212,0.188917097649808,1.30650175852624,0.277058795470842,-0.364835644215195,0.277058795470842,-0.364835644215195,-0.115835027499205,-0.298201828765755,-0.508728850469253,-2,2,1.64301629906712,1.38456427920085,1.08926355720212,1.80561832260785,1.74870499164234,0.0450238913957509,-0.757729467185242,0.493669222798823,0.493669222798823,-1.77442842823984,0.598776633260754,-0.669587769364209,-0.203976725320239,-0.757729467185242,-0.627562228774651,-0.669587769364209,-0.508728850469253,-0.669587769364209,0.118864701430261,0.118864701430261,-0.0330386292788581,-0.851954570630759,-1.4553754153043,-0.9016226734393,-0.115835027499205,-0.298201828765755,-1.4553754153043,-0.234668405804604,0.0450238913957509,-0.508728850469253
"Actg1",0.99036627949038,0.899700847349393,0.697927169665126,1.23089962034352,0.584571737063862,0.524140559970736,0.173627651980421,0.091209834433709,0.524140559970736,-0.139764106457236,0.360149508303774,-1.55559735814829,2,1.19365132768711,1.3024675986893,0.99036627949038,1.43520491446877,1.46645865035626,0.251333237301586,-1.08208219684276,0.19347439330504,0.306829825906304,-1.00857901868844,0.19347439330504,0.173627651980421,-1.42373854167948,-0.690984853083935,0.0698002953327376,-0.299887509325113,-0.582168582081747,-0.0903231075351389,0.46089763909156,0.684263962838614,0.00347115829059508,-1.03264119792066,-1.42373854167948,-0.582168582081747,-0.690984853083935,-0.690984853083935,-0.690984853083935,-1.03264119792066,-0.690984853083935,-2
"Ankfy1",1.59462210253023,1.11880723041471,1.59462210253023,1.59462210253023,0.448183833838169,-0.698254434853891,1.11880723041471,-0.698254434853891,-0.698254434853891,-1.17406930696941,-0.0276310382773501,0.855720460049467,-0.0276310382773501,-0.0276310382773501,-1.17406930696941,-0.698254434853891,1.11880723041471,1.96369279027623,0.64299235829919,-0.0276310382773501,-0.0276310382773501,-1.17406930696941,0.775379859511478,0.64299235829919,-0.698254434853891,-1.17406930696941,-1.17406930696941,-1.17406930696941,-0.698254434853891,0.64299235829919,0.448183833838169,-1.17406930696941,-0.0276310382773501,-1.17406930696941,1.59462210253023,-1.17406930696941,-1.17406930696941,-0.396701726023351,-1.17406930696941,1.11880723041471,-0.698254434853891,-0.0276310382773501,1.11880723041471
"Anxa2",1.68931844744646,1.21246402103332,-0.417912031535043,2,-0.417912031535043,-0.417912031535043,-0.417912031535043,-0.417912031535043,0.397275994749138,-0.756245631406086,-1.57143365769027,-0.128128458330774,1.76061710837853,1.89142598779208,0.321374323154751,0.659707923025794,1.35098484757542,1.0554220601721,-1.57143365769027,-1.57143365769027,0.321374323154751,-1.57143365769027,0.717088460301053,-0.279391204992948,-0.417912031535043,-0.756245631406086,0.0589423948780955,0.0589423948780955,-1.23310005781922,-0.279391204992948,0.874130421162277,-1.57143365769027,0.321374323154751,-0.279391204992948,0.0589423948780953,-0.279391204992948,-1.57143365769027,0.0589423948780951,0.535796821291234,0.717088460301053,-1.23310005781922,0.535796821291234,0.535796821291234
"Aqp4",1.36935141966034,0.709284786523202,0.709284786523202,1.07254566810551,1.83767614891548,0.491905744565615,-0.0558456942867756,0.709284786523202,0.240960057268063,-0.227364671987077,-0.887431305124218,-0.986123619721388,2,0.604220938850365,1.46804373425751,0.491905744565615,1.49965491435009,0.240960057268063,0.901026690405204,0.240960057268063,-0.227364671987077,0.023581015310476,-0.607672040455079,0.023581015310476,-1.54749793826136,-0.227364671987077,-2,-0.227364671987077,-0.0558456942867756,-1.35575603437936,-1.54749793826136,0.759378727348294,-0.887431305124218,0.759378727348294,0.491905744565615,-2,-0.524170423541915,-1.71901691596166,-0.227364671987077,-0.227364671987077,-0.0558456942867756,-0.887431305124218,-0.227364671987077
"Arel1",1.13076487243632,0.147732096953972,0.147732096953972,-0.835300678528371,-0.835300678528371,0.147732096953972,0.147732096953972,-0.835300678528371,-0.835300678528371,-0.26026336789136,-1.2432961433737,0.395836948951435,2,1.03923527621385,-0.26026336789136,1.13076487243632,0.147732096953972,1.44723074105918,-0.26026336789136,-1.2432961433737,-1.2432961433737,-1.2432961433737,0.428291832290948,0.31477394274565,-0.835300678528371,0.31477394274565,-0.26026336789136,0.31477394274565,0.147732096953972,0.31477394274565,0.722769407590983,-0.26026336789136,-0.26026336789136,-0.26026336789136,-0.835300678528371,-1.2432961433737,-1.2432961433737,-0.576729236514227,1.03923527621385,-0.26026336789136,0.147732096953972,1.70580218307333,-0.26026336789136
"Arpc1b",0.768380467469635,1.82535512807665,1.20706458740908,0.768380467469635,0.150089926802059,0.150089926802059,-0.906884733804959,0.150089926802059,-0.906884733804959,-0.288594193137382,-0.288594193137382,0.35930683327417,1.82535512807665,1.62173416220088,-0.288594193137382,0.768380467469635,0.768380467469635,2,-1.3455688537444,-1.3455688537444,-1.3455688537444,-0.288594193137382,-0.727278313076824,0.329696347530194,0.768380467469635,-0.288594193137382,-1.3455688537444,-0.288594193137382,0.150089926802059,-0.288594193137382,-0.906884733804959,-1.3455688537444,-0.288594193137382,0.329696347530194,1.20706458740908,-1.3455688537444,0.768380467469635,-1.68583869257783,-0.288594193137382,0.768380467469635,-0.906884733804959,-0.288594193137382,-0.288594193137382
"Arpc4",1.2720194928692,0.301970548369938,0.479605630276029,1.04688904701104,0.786995020619567,1.2720194928692,0.301970548369938,0.786995020619567,-0.381633050560489,0.889206552089879,0.561864574761414,-1.40769957053373,1.60554853740869,1.53942343779334,0.155271635766747,0.921944938478267,1.37423102433951,0.10339142168914,0.436920466228638,-0.183053923879691,0.301970548369938,0.889206552089879,-0.797832704566768,0.678184756956826,0.479605630276029,-1.55026112174054,-0.866657522810118,0.301970548369938,-0.381633050560489,-1.55026112174054,-0.121739024169013,1.07673007244761,0.155271635766747,-0.606763496418642,-1.55026112174055,-2,-0.00541884197360048,-0.381633050560489,-0.381633050560489,-2,-1.06523664949092,-0.866657522810118,-1.55026112174054
