"","Infection","HSV-1 antigen","Region"
"DSP-1001660019915-A-A02.dcc","Mock","HSV1 negative","TG"
"DSP-1001660019915-A-A04.dcc","Mock","HSV1 negative","TG"
"DSP-1001660019915-A-A05.dcc","Mock","HSV1 negative","TG"
"DSP-1001660019915-A-A06.dcc","Mock","HSV1 negative","TG"
"DSP-1001660019915-A-A07.dcc","Mock","HSV1 negative","TG"
"DSP-1001660019915-A-A08.dcc","Mock","HSV1 negative","TG"
"DSP-1001660019915-A-A09.dcc","Mock","HSV1 negative","TG"
"DSP-1001660019915-A-A10.dcc","Mock","HSV1 negative","TG"
"DSP-1001660019915-A-A11.dcc","Mock","HSV1 negative","TG"
"DSP-1001660019915-A-A12.dcc","Mock","HSV1 negative","TG"
"DSP-1001660019915-A-B01.dcc","Mock","HSV1 negative","TN"
"DSP-1001660019915-A-B02.dcc","Mock","HSV1 negative","TN"
"DSP-1001660019915-A-B03.dcc","Mock","HSV1 negative","TN"
"DSP-1001660019915-A-B04.dcc","Mock","HSV1 negative","TN"
"DSP-1001660019915-A-B05.dcc","Mock","HSV1 negative","TN"
"DSP-1001660019915-A-B06.dcc","Mock","HSV1 negative","TN"
"DSP-1001660019915-A-B07.dcc","Mock","HSV1 negative","TN"
"DSP-1001660019915-A-B08.dcc","Mock","HSV1 negative","TN"
"DSP-1001660019915-A-B09.dcc","Mock","HSV1 negative","TN"
"DSP-1001660019915-A-B10.dcc","HSV","HSV1 positive","TG"
"DSP-1001660019915-A-B11.dcc","HSV","HSV1 positive","TG"
"DSP-1001660019915-A-B12.dcc","HSV","HSV1 positive","TG"
"DSP-1001660019915-A-C01.dcc","HSV","HSV1 positive","TG"
"DSP-1001660019915-A-C02.dcc","HSV","HSV1 negative","TG"
"DSP-1001660019915-A-C03.dcc","HSV","HSV1 negative","TG"
"DSP-1001660019915-A-C04.dcc","HSV","HSV1 negative","TG"
"DSP-1001660019915-A-C05.dcc","HSV","HSV1 negative","TG"
"DSP-1001660019915-A-C07.dcc","HSV","HSV1 negative","TG"
"DSP-1001660019915-A-C08.dcc","HSV","HSV1 negative","TG"
"DSP-1001660019915-A-C09.dcc","HSV","HSV1 negative","TG"
"DSP-1001660019915-A-C10.dcc","HSV","HSV1 negative","TG"
"DSP-1001660019915-A-C11.dcc","HSV","HSV1 positive","TN"
"DSP-1001660019915-A-C12.dcc","HSV","HSV1 positive","TN"
"DSP-1001660019915-A-D01.dcc","HSV","HSV1 negative","TN"
"DSP-1001660019915-A-D02.dcc","HSV","HSV1 negative","TN"
"DSP-1001660019915-A-D03.dcc","HSV","HSV1 positive","TN"
"DSP-1001660019915-A-D04.dcc","HSV","HSV1 positive","TN"
"DSP-1001660019915-A-D05.dcc","HSV","HSV1 negative","TN"
"DSP-1001660019915-A-D06.dcc","HSV","HSV1 negative","TN"
"DSP-1001660019915-A-D07.dcc","HSV","HSV1 negative","TN"
"DSP-1001660019915-A-D08.dcc","HSV","HSV1 negative","TN"
"DSP-1001660019915-A-D12.dcc","HSV","HSV1 negative","TN"
