"","DSP-1001660019915-A-A02.dcc","DSP-1001660019915-A-A04.dcc","DSP-1001660019915-A-A05.dcc","DSP-1001660019915-A-A06.dcc","DSP-1001660019915-A-A07.dcc","DSP-1001660019915-A-A08.dcc","DSP-1001660019915-A-A09.dcc","DSP-1001660019915-A-A10.dcc","DSP-1001660019915-A-A11.dcc","DSP-1001660019915-A-A12.dcc","DSP-1001660019915-A-B01.dcc","DSP-1001660019915-A-B02.dcc","DSP-1001660019915-A-B03.dcc","DSP-1001660019915-A-B04.dcc","DSP-1001660019915-A-B05.dcc","DSP-1001660019915-A-B06.dcc","DSP-1001660019915-A-B07.dcc","DSP-1001660019915-A-B08.dcc","DSP-1001660019915-A-B09.dcc","DSP-1001660019915-A-B10.dcc","DSP-1001660019915-A-B11.dcc","DSP-1001660019915-A-B12.dcc","DSP-1001660019915-A-C01.dcc","DSP-1001660019915-A-C02.dcc","DSP-1001660019915-A-C03.dcc","DSP-1001660019915-A-C04.dcc","DSP-1001660019915-A-C05.dcc","DSP-1001660019915-A-C07.dcc","DSP-1001660019915-A-C08.dcc","DSP-1001660019915-A-C09.dcc","DSP-1001660019915-A-C10.dcc","DSP-1001660019915-A-C11.dcc","DSP-1001660019915-A-C12.dcc","DSP-1001660019915-A-D01.dcc","DSP-1001660019915-A-D02.dcc","DSP-1001660019915-A-D03.dcc","DSP-1001660019915-A-D04.dcc","DSP-1001660019915-A-D05.dcc","DSP-1001660019915-A-D06.dcc","DSP-1001660019915-A-D07.dcc","DSP-1001660019915-A-D08.dcc","DSP-1001660019915-A-D12.dcc"
"Olfr444",0.259780654590605,-1.11453900906896,-1.11453900906896,-1.11453900906896,-0.247439842347822,0.619659324373315,-0.247439842347822,-1.11453900906896,-0.247439842347822,-0.247439842347822,2,0.259780654590605,-1.11453900906896,-1.11453900906896,-1.11453900906896,-1.11453900906896,-1.11453900906896,-0.247439842347822,0.619659324373315,0.259780654590605,0.619659324373315,2,0.259780654590605,0.898802907194269,1.12687982131174,-0.247439842347822,0.259780654590605,-0.247439842347822,0.259780654590605,-1.11453900906896,-0.247439842347822,0.259780654590605,0.898802907194269,2,-0.247439842347822,0.619659324373315,0.619659324373315,-1.11453900906896,-0.247439842347822,0.619659324373315,-1.11453900906896,-0.247439842347822
"Pdpr",-0.175705493791328,-0.986384056592717,-0.175705493791328,0.298511065586005,-0.986384056592717,-0.175705493791328,0.298511065586005,-0.175705493791328,-0.986384056592717,-0.986384056592717,2,-0.986384056592717,-0.986384056592717,-0.986384056592717,-0.986384056592717,0.298511065586005,-0.986384056592717,-0.175705493791328,-0.986384056592717,0.298511065586005,1.10918962838739,2,-0.175705493791328,-0.175705493791328,1.10918962838739,-0.175705493791328,-0.175705493791328,-0.986384056592717,0.634973069010061,-0.986384056592717,-0.986384056592717,0.895953274298737,0.298511065586005,2,0.298511065586005,0.634973069010061,0.634973069010061,-0.175705493791328,0.634973069010061,-0.986384056592717,0.298511065586005,-0.175705493791328
"Bbs5",0.137442137696665,-0.913218018440892,0.137442137696665,-0.477154654645641,0.137442137696665,-0.477154654645641,-0.913218018440892,-0.913218018440892,0.137442137696665,-0.477154654645641,2,-0.913218018440892,0.137442137696665,-0.477154654645641,-0.477154654645641,-0.913218018440892,-0.477154654645641,-0.913218018440892,-1.5278148107832,0.573505501491916,1.18810229383422,1.80269908617653,-0.138917632206218,0.573505501491916,0.573505501491916,-0.477154654645641,-0.913218018440892,-0.913218018440892,0.573505501491916,-0.477154654645641,0.371100993821827,0.137442137696665,0.137442137696665,2,0.137442137696665,1.05621199766391,1.42176114995938,0.911742523931339,-0.138917632206218,0.911742523931339,-2,-0.477154654645641
"Mtx3",-1.25608212846268,0.161489024786917,-1.25608212846268,-0.361694310072905,-1.25608212846268,-0.361694310072905,0.532693508316871,-0.361694310072905,-0.361694310072905,0.532693508316871,2,-0.361694310072905,0.161489024786917,-1.25608212846268,-1.25608212846268,-1.25608212846268,-0.361694310072905,-0.361694310072905,0.161489024786917,0.161489024786917,1.05587684317669,2,0.820622074781555,0.161489024786917,1.57906017803652,-0.361694310072905,-1.25608212846268,-1.25608212846268,0.161489024786917,-0.361694310072905,0.161489024786917,0.820622074781555,-0.361694310072905,2,0.161489024786917,0.820622074781555,0.161489024786917,0.161489024786917,-0.361694310072905,0.532693508316871,-0.361694310072905,-1.25608212846268
"Lipo2",0.865433394913373,-1.35386175168828,-0.398063356600897,-0.398063356600897,0.865433394913373,-1.35386175168828,-0.398063356600897,0.161042862774689,0.161042862774689,-0.398063356600897,2,0.161042862774689,-0.398063356600897,0.161042862774689,-1.35386175168828,-0.398063356600897,-0.398063356600897,-0.398063356600897,-0.398063356600897,1.32940357725505,-0.398063356600897,2,0.557735038486491,0.161042862774689,0.161042862774689,-0.398063356600897,-1.35386175168828,-1.35386175168828,0.161042862774689,-1.35386175168828,0.161042862774689,0.865433394913373,0.161042862774689,2,0.865433394913373,0.161042862774689,0.865433394913373,-0.398063356600897,-0.398063356600897,-0.398063356600897,-0.398063356600897,-1.35386175168828
"2410004B18Rik",-1.46661876723612,-0.505786180063684,-0.505786180063684,-1.46661876723612,1.01709744007551,-0.505786180063684,-0.505786180063684,-1.46661876723612,-0.505786180063684,0.0562648529030804,2,0.0562648529030804,-0.505786180063684,-0.505786180063684,-1.46661876723612,-0.505786180063684,0.764365411402866,-1.46661876723612,-0.505786180063684,-0.505786180063684,1.23077932563576,2,0.455046407108749,0.764365411402866,0.455046407108749,0.0562648529030804,0.0562648529030804,0.0562648529030804,0.0562648529030804,0.0562648529030804,0.764365411402866,0.764365411402866,1.01709744007551,2,0.455046407108749,0.0562648529030804,0.455046407108749,-0.505786180063684,-0.505786180063684,-0.505786180063684,-0.505786180063684,-1.46661876723612
"Dlg5",-0.403695417590607,-1.29563184143417,-0.403695417590607,-1.29563184143417,-1.29563184143417,0.118053943385211,0.118053943385211,0.48824100625296,-1.29563184143417,-1.29563184143417,2,0.118053943385211,-1.29563184143417,-0.403695417590607,-1.29563184143417,-0.403695417590607,-0.403695417590607,-1.29563184143417,0.118053943385211,0.48824100625296,0.775380399941566,2,0.775380399941566,0.118053943385211,1.00999036722878,0.118053943385211,0.48824100625296,0.775380399941566,-1.29563184143417,-0.403695417590607,0.775380399941566,0.118053943385211,1.20835026820552,1.5317397282046,1.38017743009653,-0.403695417590607,1.00999036722878,0.48824100625296,0.118053943385211,-1.29563184143417,0.48824100625296,-1.29563184143417
"Dok6",-0.310576034109223,0.191917260233204,-0.310576034109223,0.191917260233204,0.191917260233204,-1.16959399461599,-0.310576034109223,-1.16959399461599,-1.16959399461599,-0.310576034109223,2,-1.16959399461599,-1.16959399461599,-1.16959399461599,-0.310576034109223,0.191917260233204,0.548441926397546,-0.310576034109223,-1.16959399461599,0.824983941897517,1.24197430494857,1.90995318124674,1.05093522073997,0.548441926397546,0.548441926397546,-1.16959399461599,0.191917260233204,-1.16959399461599,1.05093522073997,-1.16959399461599,0.191917260233204,-0.310576034109223,0.191917260233204,2,0.824983941897517,0.548441926397546,0.548441926397546,1.05093522073997,0.824983941897517,-1.16959399461599,-1.16959399461599,-1.16959399461599
"Iho1",-0.186395144492915,-1.05088664138101,-0.186395144492915,-1.05088664138101,0.31929996337892,-1.05088664138101,-1.05088664138101,-0.186395144492915,-0.186395144492915,-0.186395144492915,2,-1.05088664138101,-0.186395144492915,-0.186395144492915,-1.05088664138101,-1.05088664138101,0.31929996337892,-0.186395144492915,0.31929996337892,-0.186395144492915,-0.186395144492915,2,0.678096352395178,0.31929996337892,-0.186395144492915,0.31929996337892,0.31929996337892,-1.05088664138101,0.31929996337892,-1.05088664138101,-0.186395144492915,0.678096352395178,0.678096352395178,2,0.31929996337892,1.18379146026701,0.678096352395178,-1.05088664138101,0.31929996337892,-1.05088664138101,-0.186395144492915,-1.05088664138101
"Mmp1b",-0.331360914647492,-1.27854753293068,-1.27854753293068,-0.331360914647492,-0.331360914647492,-1.27854753293068,-0.331360914647492,-0.331360914647492,-1.27854753293068,0.222707738233057,2,0.615825703635697,0.222707738233057,0.920751687162407,-0.331360914647492,-0.331360914647492,-0.331360914647492,0.222707738233057,-1.27854753293068,0.222707738233057,-0.331360914647492,2,0.920751687162407,1.16989435651625,0.615825703635697,-0.331360914647492,-0.331360914647492,-0.331360914647492,-1.27854753293068,0.222707738233057,0.222707738233057,0.615825703635697,-0.331360914647492,2,0.615825703635697,0.222707738233057,0.615825703635697,-1.27854753293068,-0.331360914647492,-0.331360914647492,-1.27854753293068,-0.331360914647492
"Cxcr3",-0.631780386483229,-0.631780386483229,-0.631780386483229,-0.631780386483229,0.205888769476934,-1.46944954244339,-0.631780386483229,0.205888769476934,-0.141775342235792,-1.46944954244339,2,-1.46944954244339,0.475558005001094,-1.46944954244339,0.205888769476934,-1.46944954244339,-0.631780386483229,-0.631780386483229,0.205888769476934,0.475558005001094,-0.631780386483229,2,0.695893813724371,0.88218508559721,0.205888769476934,-0.141775342235792,0.205888769476934,-0.631780386483229,-0.631780386483229,0.475558005001094,-0.631780386483229,0.695893813724371,0.205888769476934,2,0.475558005001094,0.475558005001094,0.475558005001094,-0.141775342235792,0.475558005001094,1.31322716096126,-0.631780386483229,-0.631780386483229
"Upk3bl",-1.8294050137372,-0.288210719122899,-1.8294050137372,-0.857019677230464,-1.8294050137372,-0.288210719122899,-0.857019677230464,-0.288210719122899,0.428403818154296,0.115365659276275,2,-0.288210719122899,-0.288210719122899,-0.288210719122899,0.115365659276275,-1.8294050137372,-0.857019677230464,-0.857019677230464,0.115365659276275,-0.857019677230464,0.428403818154296,1.87281108334837,0.900425746841631,0.68417461738384,0.115365659276275,0.115365659276275,0.115365659276275,0.115365659276275,0.115365659276275,-0.857019677230464,0.115365659276275,0.428403818154296,0.115365659276275,2,0.428403818154296,1.2529835754914,0.428403818154296,0.900425746841631,0.428403818154296,-0.288210719122899,-0.288210719122899,0.115365659276275
"Cdc45",-0.34916297572079,-0.34916297572079,-0.34916297572079,-0.983861212640616,0.285535261199037,-0.983861212640616,-0.34916297572079,-0.34916297572079,-0.983861212640616,-0.983861212640616,2,-0.34916297572079,-0.983861212640616,-0.34916297572079,0.0221116921511409,-0.34916297572079,-0.983861212640616,-0.983861212640616,0.0221116921511409,0.285535261199037,-0.983861212640616,1.75925892927866,0.0221116921511409,0.285535261199037,2,-0.34916297572079,0.0221116921511409,-0.34916297572079,0.285535261199037,-0.983861212640616,-0.34916297572079,1.75925892927866,0.0221116921511409,1.12456069235883,0.285535261199037,0.0221116921511409,0.489862455439004,0.0221116921511409,0.489862455439004,0.0221116921511409,0.0221116921511409,-0.983861212640616
"Olfr469",-0.418456066205039,-0.418456066205039,0.0639614404744895,-0.418456066205039,-1.24315424101931,-0.418456066205039,-1.24315424101931,0.0639614404744895,-1.24315424101931,-1.24315424101931,2,-1.24315424101931,0.406242108609231,-0.418456066205039,0.0639614404744895,0.0639614404744895,-1.24315424101931,-0.418456066205039,0.0639614404744895,0.406242108609231,0.0639614404744895,2,0.406242108609231,0.0639614404744895,-0.418456066205039,-0.418456066205039,0.406242108609231,0.0639614404744895,-0.418456066205039,-0.418456066205039,-0.418456066205039,0.406242108609231,0.671735620884274,2,0.0639614404744895,1.49643379569854,0.671735620884274,0.671735620884274,-0.418456066205039,0.888659615288759,-1.24315424101931,-1.24315424101931
