ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0035456,response to interferon-beta,43,0.8438520452338495,3.0400626799747483,1e-10,1.5303333333333334e-8,1.3256140350877194e-8,435,"tags=53%, list=5%, signal=51%",55932/66141/15959/15957/54396/16145/100702/21822/15944/14469/246730/667214/15953/69550/18828/16362/71701/240328/226691/100040462/226695/60440/80876
GO:0034341,response to type II interferon,77,0.7444002951673651,3.007312354144368,1e-10,1.5303333333333334e-8,1.3256140350877194e-8,449,"tags=42%, list=6%, signal=40%",55932/66141/20304/54396/16145/100702/21822/15944/547253/11465/12703/20302/15978/66102/20684/14469/20296/11829/24088/22352/16149/69550/74117/16362/434341/80285/66713/229898/20617/20306/80876/14969
GO:0002181,cytoplasmic translation,113,0.6669244442084596,2.905881370161143,1e-10,1.5303333333333334e-8,1.3256140350877194e-8,1167,"tags=60%, list=15%, signal=52%",16898/269261/67427/225363/20088/66480/67579/76846/12785/67945/19899/14109/267019/19896/20044/67671/20042/51810/20068/20055/218693/26961/19942/66483/56040/27176/26451/75617/20104/20090/19943/20085/270106/54217/20084/268449/319195/54127/65019/19941/67115/27207/67097/68052/27050/11837/20102/22121/229663/234734/19944/19921/20103/19988/100503670/19934/114641/55944/98221/20005/14265/27370/20226/69082/16785/67204/20116/68092
GO:0035458,cellular response to interferon-beta,37,0.8361295120759581,2.8896178131793278,1e-10,1.5303333333333334e-8,1.3256140350877194e-8,411,"tags=51%, list=5%, signal=49%",55932/15959/15957/54396/16145/100702/21822/15944/14469/246730/667214/15953/16362/71701/240328/226691/100040462/226695/60440
GO:0071346,cellular response to type II interferon,60,0.7374190962739607,2.867815586339213,1e-10,1.5303333333333334e-8,1.3256140350877194e-8,269,"tags=37%, list=3%, signal=36%",55932/20304/54396/16145/100702/15944/547253/11465/12703/20302/15978/14469/20296/11829/24088/22352/74117/16362/434341/80285/66713/229898
GO:0009615,response to virus,174,0.6126834071530779,2.865450188633859,1e-10,1.5303333333333334e-8,1.3256140350877194e-8,498,"tags=26%, list=6%, signal=25%",15945/55932/66141/15959/20304/15957/56045/76933/20128/54396/54123/16145/23962/15958/58203/57444/100038882/21822/17857/15944/15978/56048/246730/71586/67775/69550/17454/18828/16362/209200/13205/80285/267019/226691/100040462/142980/19106/231655/74568/78781/226695/80876/12028/27041/12493
GO:0140236,translation at presynapse,46,0.7773452813094716,2.8277246032835572,1e-10,1.5303333333333334e-8,1.3256140350877194e-8,957,"tags=76%, list=12%, signal=67%",269261/20088/66480/67281/267019/19896/20044/67671/20042/20055/26961/19942/27176/26451/19943/270106/54217/268449/110954/319195/54127/65019/19941/67115/27207/67097/22121/19944/20103/19988/100503670/19934/66489/20005/27370
GO:0140241,translation at synapse,47,0.7724013548758661,2.80335808828686,1e-10,1.5303333333333334e-8,1.3256140350877194e-8,957,"tags=74%, list=12%, signal=66%",269261/20088/66480/67281/267019/19896/20044/67671/20042/20055/26961/19942/27176/26451/19943/270106/54217/268449/110954/319195/54127/65019/19941/67115/27207/67097/22121/19944/20103/19988/100503670/19934/66489/20005/27370
GO:0140242,translation at postsynapse,47,0.7724013548758661,2.80335808828686,1e-10,1.5303333333333334e-8,1.3256140350877194e-8,957,"tags=74%, list=12%, signal=66%",269261/20088/66480/67281/267019/19896/20044/67671/20042/20055/26961/19942/27176/26451/19943/270106/54217/268449/110954/319195/54127/65019/19941/67115/27207/67097/22121/19944/20103/19988/100503670/19934/66489/20005/27370
GO:0048525,negative regulation of viral process,59,0.7180532739239618,2.7828283337062594,1e-10,1.5303333333333334e-8,1.3256140350877194e-8,497,"tags=39%, list=6%, signal=37%",66141/20304/20128/23962/57444/100038882/17069/20684/246730/71586/16149/69550/107373/18828/226691/100040462/80750/19106/231655/78781/226695/80876/268373
GO:0019079,viral genome replication,64,0.6962662578684407,2.7577457471421023,1e-10,1.5303333333333334e-8,1.3256140350877194e-8,779,"tags=44%, list=10%, signal=40%",55932/66141/20304/23962/57444/100038882/246730/71586/69550/107373/18828/13205/226691/100040462/80750/19106/231655/67231/78781/226695/80876/268373/18521/15481/23983/15950/30960/77040
GO:0045087,innate immune response,381,0.5286495970240787,2.7374191983579297,1e-10,1.5303333333333334e-8,1.3256140350877194e-8,581,"tags=25%, list=7%, signal=24%",12010/55932/66141/15959/20304/15957/56045/20128/54396/54123/16145/23962/15958/58203/57444/100702/100038882/21822/17857/15944/50909/547253/11465/12703/20302/12266/15978/66102/20684/14469/20296/83490/246730/12260/17476/22177/16854/11829/231712/24088/71586/22352/16173/16149/246746/69550/74117/12262/18828/16362/97165/21354/14109/209200/434341/13205/80285/66713/17164/226691/100040462/73149/11845/229898/142980/71946/80750/15275/19106/231655/107607/17319/20617/78781/11820/226695/60440/11490/20085/20306/80876/14969/54159/68077/12258/27041/12721/75234/18521/224938/69368/12978/16172/80913/14191
GO:0045071,negative regulation of viral genome replication,34,0.7996417135450297,2.7346053493980715,1e-10,1.5303333333333334e-8,1.3256140350877194e-8,435,"tags=53%, list=5%, signal=50%",66141/20304/23962/57444/100038882/246730/71586/69550/107373/18828/226691/100040462/80750/19106/231655/78781/226695/80876
GO:0051607,defense response to virus,138,0.6014122095057289,2.702825919636124,1e-10,1.5303333333333334e-8,1.3256140350877194e-8,539,"tags=26%, list=7%, signal=25%",15945/55932/66141/15959/20304/15957/56045/20128/54123/23962/15958/58203/57444/100038882/15978/246730/71586/67775/69550/17454/18828/16362/209200/80285/226691/100040462/142980/19106/231655/74568/78781/226695/80876/27041/12493/18521
GO:0140546,defense response to symbiont,138,0.6014122095057289,2.702825919636124,1e-10,1.5303333333333334e-8,1.3256140350877194e-8,539,"tags=26%, list=7%, signal=25%",15945/55932/66141/15959/20304/15957/56045/20128/54123/23962/15958/58203/57444/100038882/15978/246730/71586/67775/69550/17454/18828/16362/209200/80285/226691/100040462/142980/19106/231655/74568/78781/226695/80876/27041/12493/18521
GO:0045069,regulation of viral genome replication,50,0.7328393668977562,2.683267375768737,1e-10,1.5303333333333334e-8,1.3256140350877194e-8,497,"tags=42%, list=6%, signal=40%",55932/66141/20304/23962/57444/100038882/246730/71586/69550/107373/18828/13205/226691/100040462/80750/19106/231655/78781/226695/80876/268373
