ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,119,0.7738131374974554,3.381846333833644,1e-10,2.5e-9,1.7368421052631581e-9,480,"tags=44%, list=6%, signal=42%",15945/12010/55932/66141/15959/20304/56045/54123/15958/58203/57444/100038882/74481/547253/12703/17069/667977/24110/672511/209086/22169/14964/20296/17750/19171/65972/231712/71586/12984/67775/16913/19039/14938/16149/69550/16362/71701/20848/21354/434341/99899/59027/19188/19106/12702/231655/107607/20306/80876/66307/14969/12258
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,63,0.8396394202524998,3.279523241931668,1e-10,2.5e-9,1.7368421052631581e-9,328,"tags=54%, list=4%, signal=52%",15945/12010/55932/66141/15959/54123/15958/57444/100038882/74481/547253/17069/24110/209086/22169/14469/246730/65972/231712/71586/67775/16913/19039/16149/69550/17454/16362/71701/21354/80285/99899/19188/19106/231655
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,87,0.5823783785317106,2.43113866872211,1.3162574973935642e-9,2.1937624956559406e-8,1.5240876285609694e-8,581,"tags=29%, list=7%, signal=27%",12010/20304/54123/15040/19073/12703/16414/15978/14469/20296/19171/13040/24088/16173/14938/16149/192176/76846/21354/15163/142980/20085/20306/276770/14191
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,42,0.6140682674941903,2.1994590187601037,7.5280110787788395e-6,9.410013848473549e-5,6.537483305255309e-5,605,"tags=36%, list=8%, signal=33%",15945/12703/24088/12984/21938/15368/16362/20848/12527/12702/20306/19247/16195/16172/19255
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,91,0.4782830371498935,2.0139089829400576,1.0811821205918191e-5,1.0811821205918191e-4,7.511370522006322e-5,1332,"tags=41%, list=17%, signal=34%",15945/20304/15958/65112/20296/17210/24088/71586/16173/16362/21354/59027/20918/11910/12702/17872/216850/16835/75234/17119/16195/17873/18578/18412/22695/12228/19225/12633/192656/12608/18033/18030/19697/20621/20393/12227/15902
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,87,0.4591992173957781,1.9169272335837926,4.6438773340825735e-5,3.869897778402145e-4,2.6885605618372796e-4,480,"tags=21%, list=6%, signal=20%",20304/54123/12266/18643/16784/16854/13040/19141/14938/12313/12262/16362/12759/13039/13007/14693/14678/12258
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,106,0.4209081949034771,1.8246413390423297,1.0096895837779528e-4,7.212068455556807e-4,5.010489663860518e-4,1104,"tags=32%, list=14%, signal=28%",57444/12306/21810/231507/17750/17748/15368/16828/20198/13198/18655/15275/17035/11910/16322/17319/17872/18484/109042/13179/12457/14538/18451/14433/15531/11676/20970/12111/22695/14751/14815/21991/17886/14387
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,100,0.4343066707384002,1.8958113344139542,1.3571054447978812e-4,8.481909029986758e-4,5.892694694517117e-4,1134,"tags=29%, list=14%, signal=25%",15945/20304/54123/17069/20296/24088/67775/16173/21938/69550/16362/59027/142980/19106/20306/16835/17119/18578/14726/320207/18413/54216/26362/192656/16491/109552/18033/20288/64685
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,136,0.37664307996575297,1.6984128195284771,4.442353768649601e-4,0.002467974315916445,0.0017145926826366885,1265,"tags=35%, list=16%, signal=30%",16898/85305/225363/12785/15381/19899/110052/16828/18263/108121/19385/18655/51810/53379/20383/22627/20104/27041/268373/22195/67115/20462/67097/27050/11837/23983/51788/18458/20103/19988/19934/14694/53605/55944/229279/68981/26446/17463/12468/26444/15382/67204/68092/73192/107686/22384/57296
HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,45,0.5095511152947894,1.864835038800433,6.049811886428602e-4,0.003024905943214301,0.002101513602654146,864,"tags=29%, list=11%, signal=26%",11465/66102/16592/16854/19141/12759/12527/11910/16835/107503/12660/11676/20788
