ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
mmu05171,Coronavirus disease - Mus musculus (house mouse),146,0.6351891117475585,2.890341679049016,1e-10,3.2e-8,2.589473684210527e-8,763,"tags=47%, list=10%, signal=44%",15945/100038882/17857/50909/12266/16898/20296/246730/269261/12260/67427/12268/24088/71586/20088/66480/76846/12262/67281/20848/67945/19899/14109/267019/19896/142980/20044/67671/20042/19106/20068/20055/26961/19942/66483/56040/27176/26451/75617/20104/20090/19943/20085/270106/54217/20084/268449/110954/319195/54127/65019/19941/16195/22371/67115/27207/67097/68052/27050/11837/20102/22121/19944/19921/20103/19988/100503670/19934/114641
mmu05168,Herpes simplex virus 1 infection - Mus musculus (house mouse),110,0.5553216891211841,2.4232880754868833,3.6684497440279507e-10,5.869519590444721e-8,4.749677037004611e-8,512,"tags=27%, list=6%, signal=26%",12010/20304/54123/15040/110557/14972/12266/667977/15978/20684/14964/20296/246730/15024/24088/71586/16149/69550/21354/142980/19106/12122/12702/14827/13063/78781/20383/12028/14969/19247
mmu05203,Viral carcinogenesis - Mus musculus (house mouse),103,0.544516197206162,2.352440224123004,9.320356218403317e-9,9.941713299630206e-7,8.044939051674444e-7,626,"tags=27%, list=8%, signal=25%",54123/15040/110557/319183/14972/100041230/12266/667977/20684/319181/14964/15024/20848/319159/69116/13205/17164/19385/19106/97122/22627/11972/107932/12028/11848/15387/16195/11909
mmu03010,Ribosome - Mus musculus (house mouse),130,0.4966989090259557,2.229269710978023,3.804126905385945e-8,3.043301524308756e-6,2.462671628223533e-6,873,"tags=45%, list=11%, signal=41%",16898/269261/67427/20088/66480/76846/67281/67945/19899/14109/267019/19896/66258/20044/67671/20042/20068/20055/26961/19942/66483/56040/27176/26451/75617/20104/20090/19943/20085/270106/54217/20084/268449/110954/319195/54127/75398/65019/19941/67115/27207/67097/68052/27050/66407/11837/20102/22121/19944/19921/20103/19988/100503670/19934/14694/114641/66489/18100/20005
mmu04612,Antigen processing and presentation - Mus musculus (house mouse),54,0.6384358368012357,2.444904686163507,7.303449987952025e-8,4.674207992289296e-6,3.7824183095498915e-6,449,"tags=31%, list=6%, signal=30%",12010/15040/110557/14972/667977/15978/14964/65972/15024/13040/19141/16149/21354/19188/13039/14827/14969
mmu05169,Epstein-Barr virus infection - Mus musculus (house mouse),112,0.4991964120685667,2.194817023650113,1.4497185309033657e-7,7.731832164817951e-6,6.256679975477684e-6,449,"tags=19%, list=6%, signal=18%",15945/12010/54123/15040/100038882/110557/14972/667977/14964/246730/15024/24088/22352/20848/21354/19106/12122/14827/13063/12028/14969
mmu05170,Human immunodeficiency virus 1 infection - Mus musculus (house mouse),117,0.475488518452755,2.121893708422784,4.2119292382361825e-7,1.9254533660508263e-5,1.558097131738498e-5,486,"tags=22%, list=6%, signal=21%",12010/56045/15040/110557/14972/667977/14701/14707/14964/15024/24088/21938/69550/12313/21354/12122/21402/14827/13063/14688/14693/12028/14678/12631/19354/26395
mmu05322,Systemic lupus erythematosus - Mus musculus (house mouse),49,0.6230426797869019,2.3453490890279385,8.467623458382898e-7,3.3870493833531596e-5,2.740836014160781e-5,748,"tags=41%, list=9%, signal=37%",15081/319173/319183/50909/100041230/12266/15978/319181/12260/12268/12262/319159/360198/382523/97122/14969/15270/51788/20638/232440
mmu05163,Human cytomegalovirus infection - Mus musculus (house mouse),134,0.4525892599435492,2.04091787671745,1.296603197573569e-6,4.6101447024838015e-5,3.7305776210888665e-5,486,"tags=19%, list=6%, signal=19%",12010/20304/15040/110557/14972/20302/667977/14701/14707/14964/20296/15024/12313/20848/21354/12122/14827/13063/14688/14693/14683/12028/14678/19354/11848/26395
mmu04621,NOD-like receptor signaling pathway - Mus musculus (house mouse),89,0.5106757428374589,2.1479447911140324,2.500613235028131e-6,8.001962352090019e-5,6.475272166493898e-5,474,"tags=19%, list=6%, signal=18%",55932/20304/54396/54123/15944/14469/20296/246730/16173/56486/22166/229898/59027/107607/170731/22627/11848
