"TF","overlap","odds_ratio","pval","FDR"
"Stat2",48,12.2061156997626,2.66226222484314e-30,9.58414400943529e-29
"Irf1",41,10.7365514592136,1.50017696053682e-24,2.70031852896628e-23
"Etv6",82,4.13864845966358,2.69268346114363e-21,3.23122015337236e-20
"Stat1",43,7.43885668177607,1.67225425769504e-20,1.50502883192553e-19
"Stat3",16,11.1612598930529,7.37594348843979e-11,5.31067931167665e-10
"Cebpb",14,11.5209837166353,7.94261870280868e-10,4.76557122168521e-09
"Mbd2",9,6.30479013820082,4.69171056479711e-05,0.000241287971903851
"Egr1",6,4.5301892426775,0.00370842903554153,0.0166879306599369
"Klf6",9,2.87179709935443,0.00687509207714841,0.0275003683085936
"Tbl1xr1",4,0.339656406834922,0.0194910545143775,0.0701677962517592
"Jun",9,2.16728412943604,0.042695151256793,0.139729585931322
"Junb",5,2.32265256724189,0.0767597363539476,0.212565423749393
"Nfkb1",3,3.31861280348111,0.0744238020904927,0.212565423749393
"Yy1",2,4.61775269495682,0.0854148646820326,0.219638223468084
"Fosb",3,2.93435525573758,0.096398010833955,0.231355226001492
"Jund",4,2.16916176390398,0.127582198247898,0.286169977752132
"Atf3",2,3.38290143310417,0.135135822827396,0.286169977752132
"Fli1",21,0.743413188190769,0.221431978719147,0.442863957438295
"Mef2c",2,1.74834907339729,0.331234219186795,0.627601678459191
"Maf",0,0,0.408943956922931,0.701046783296453
"Ep300",0,0,0.40370655644716,0.701046783296453
"Foxc1",1,1.68790722645146,0.462635310725851,0.724124834179593
"Ikzf1",20,0.812269052341358,0.449350006040945,0.724124834179593
"Zbtb20",1,0.349958030813986,0.529166644319925,0.766975070975794
"Tcf12",4,0.627290107377378,0.532621577066523,0.766975070975794
"Erg",6,1.12660339068306,0.658956448969706,0.912401237034977
"Klf2",3,1.15360276904433,0.74644278803907,0.95652413289589
"Tbx21",2,0.666301613795584,0.770533329277244,0.95652413289589
"Zfp148",9,1.08662250716434,0.721052265892127,0.95652413289589
"Ets1",4,0.950724816751074,1,1
"Lef1",1,0.505056914243845,1,1
"Pbx3",0,0,1,1
"Runx3",1,0.903648732537487,1,1
"Zeb1",0,0,1,1
"Bach2",0,0,1,1
"Cux1",0,0,1,1
