"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.47243864662009e-29,0.678679609510597,0.309,0.181,8.0499423200515e-25,"Transiently Activated Microglia","Sox4"
2.48475388833363e-41,0.596533191319477,0.424,0.243,4.4723085236117e-37,"Transiently Activated Microglia","Ier5"
1.2489691937119e-45,0.570787948707318,0.522,0.32,2.24801965176204e-41,"Transiently Activated Microglia","Sgk1"
3.84857790066144e-47,0.552507739589007,0.559,0.347,6.92705536340053e-43,"Transiently Activated Microglia","Zfand5"
2.6079704783965e-12,0.530928437330711,0.108,0.059,4.69408606406586e-08,"Transiently Activated Microglia","Camk2n1"
3.97847281894337e-40,0.527730257867365,0.474,0.286,7.16085322681618e-36,"Transiently Activated Microglia","Zfp36"
1.50474323075345e-56,0.523827143655699,0.654,0.414,2.70838734103313e-52,"Transiently Activated Microglia","Btg2"
7.02808127923324e-41,0.499780546813893,0.472,0.28,1.26498434944919e-36,"Transiently Activated Microglia","Jund"
1.24651192719132e-10,0.494803159230241,0.13,0.08,2.24359681775166e-06,"Transiently Activated Microglia","Pcna"
3.16346488509365e-13,0.487804422299749,0.18,0.113,5.69392044668006e-09,"Transiently Activated Microglia","Ccl3"
1.25907524346995e-14,0.479361344861929,0.135,0.074,2.26620953072156e-10,"Transiently Activated Microglia","Cacna1a"
8.33701248958307e-12,0.460044274341838,0.144,0.086,1.50057887800006e-07,"Transiently Activated Microglia","Dnajb9"
1.70445043261894e-36,0.456427597114626,0.704,0.504,3.06784033367082e-32,"Transiently Activated Microglia","Glul"
4.84107531824423e-15,0.43096522521834,0.132,0.072,8.71345146530779e-11,"Transiently Activated Microglia","Rgs7bp"
5.45288158663794e-09,0.426694512932844,0.134,0.087,9.81464156778963e-05,"Transiently Activated Microglia","Bag3"
7.84981985074861e-12,0.423840946115853,0.142,0.085,1.41288907493624e-07,"Transiently Activated Microglia","Slc25a25"
9.50265372932261e-12,0.41785953908556,0.115,0.064,1.71038264474078e-07,"Transiently Activated Microglia","Itgb3"
