"ROI","CellState","Score","antigen"
"DSP-1001660019915-A-A02.dcc","Homeostatic Microglia",-0.683903318698887,"positive"
"DSP-1001660019915-A-A03.dcc","Homeostatic Microglia",-0.29471030064566,"positive"
"DSP-1001660019915-A-A04.dcc","Homeostatic Microglia",0.0581791427844267,"positive"
"DSP-1001660019915-A-A05.dcc","Homeostatic Microglia",0.253380331517108,"positive"
"DSP-1001660019915-A-A06.dcc","Homeostatic Microglia",0.112562264639789,"negative"
"DSP-1001660019915-A-A07.dcc","Homeostatic Microglia",0.586154770478474,"negative"
"DSP-1001660019915-A-A08.dcc","Homeostatic Microglia",-0.057129541243036,"negative"
"DSP-1001660019915-A-A09.dcc","Homeostatic Microglia",0.296916822613416,"negative"
"DSP-1001660019915-A-A10.dcc","Homeostatic Microglia",0.203199964913698,"negative"
"DSP-1001660019915-A-A11.dcc","Homeostatic Microglia",-0.0903898240383773,"negative"
"DSP-1001660019915-A-A12.dcc","Homeostatic Microglia",-0.0474749876095123,"negative"
"DSP-1001660019915-A-B01.dcc","Homeostatic Microglia",0.184201064981006,"negative"
"DSP-1001660019915-A-B02.dcc","Homeostatic Microglia",0.521872573180616,"positive"
"DSP-1001660019915-A-B03.dcc","Homeostatic Microglia",-0.479332414811071,"positive"
"DSP-1001660019915-A-B04.dcc","Homeostatic Microglia",-0.100092754999614,"negative"
"DSP-1001660019915-A-B05.dcc","Homeostatic Microglia",0.198664928670652,"negative"
"DSP-1001660019915-A-B06.dcc","Homeostatic Microglia",0.0113913200209109,"positive"
"DSP-1001660019915-A-B07.dcc","Homeostatic Microglia",0.434415256400879,"positive"
"DSP-1001660019915-A-B08.dcc","Homeostatic Microglia",0.244311676596444,"negative"
"DSP-1001660019915-A-B09.dcc","Homeostatic Microglia",-0.172189994102355,"negative"
"DSP-1001660019915-A-B10.dcc","Homeostatic Microglia",0.414051745891919,"negative"
"DSP-1001660019915-A-B11.dcc","Homeostatic Microglia",-0.544962320938198,"negative"
"DSP-1001660019915-A-B12.dcc","Homeostatic Microglia",-0.0256964457022018,"negative"
"DSP-1001660019915-A-C01.dcc","Homeostatic Microglia",0.013101774100616,"negative"
"DSP-1001660019915-A-C02.dcc","Homeostatic Microglia",0.179137570043318,"negative"
"DSP-1001660019915-A-C03.dcc","Homeostatic Microglia",-0.159373701154025,"negative"
"DSP-1001660019915-A-C04.dcc","Homeostatic Microglia",-0.314060795697904,"negative"
"DSP-1001660019915-A-C05.dcc","Homeostatic Microglia",-0.246855919528584,"negative"
"DSP-1001660019915-A-C07.dcc","Homeostatic Microglia",-0.226550194028018,"negative"
"DSP-1001660019915-A-C08.dcc","Homeostatic Microglia",-0.294170647334323,"negative"
"DSP-1001660019915-A-C09.dcc","Homeostatic Microglia",0.0886860466236924,"negative"
"DSP-1001660019915-A-C10.dcc","Homeostatic Microglia",0.00997753942811371,"negative"
"DSP-1001660019915-A-C11.dcc","Homeostatic Microglia",-0.0600321298056616,"negative"
"DSP-1001660019915-A-C12.dcc","Homeostatic Microglia",0.752252839478817,"negative"
"DSP-1001660019915-A-D02.dcc","Homeostatic Microglia",0.233679837807153,"negative"
"DSP-1001660019915-A-D03.dcc","Homeostatic Microglia",-0.549912552356944,"negative"
"DSP-1001660019915-A-D04.dcc","Homeostatic Microglia",-0.0695322287333015,"negative"
"DSP-1001660019915-A-D05.dcc","Homeostatic Microglia",-0.401332051825476,"negative"
"DSP-1001660019915-A-D06.dcc","Homeostatic Microglia",0.398169338235461,"negative"
"DSP-1001660019915-A-D07.dcc","Homeostatic Microglia",-0.152866886018332,"negative"
"DSP-1001660019915-A-D08.dcc","Homeostatic Microglia",-0.299604837828944,"negative"
"DSP-1001660019915-A-D11.dcc","Homeostatic Microglia",0.0886308615471525,"negative"
"DSP-1001660019915-A-D12.dcc","Homeostatic Microglia",-0.012763822853237,"negative"
"DSP-1001660019915-A-A02.dcc","Transiently Activated Microglia",0.142087763745473,"positive"
"DSP-1001660019915-A-A03.dcc","Transiently Activated Microglia",0.343433553908795,"positive"
"DSP-1001660019915-A-A04.dcc","Transiently Activated Microglia",-0.121193730280704,"positive"
"DSP-1001660019915-A-A05.dcc","Transiently Activated Microglia",0.599369742719896,"positive"
"DSP-1001660019915-A-A06.dcc","Transiently Activated Microglia",0.199348369690514,"negative"
"DSP-1001660019915-A-A07.dcc","Transiently Activated Microglia",0.349140366780372,"negative"
"DSP-1001660019915-A-A08.dcc","Transiently Activated Microglia",0.0741408738557193,"negative"
"DSP-1001660019915-A-A09.dcc","Transiently Activated Microglia",-0.28869897807642,"negative"
"DSP-1001660019915-A-A10.dcc","Transiently Activated Microglia",-0.00260258394462385,"negative"
"DSP-1001660019915-A-A11.dcc","Transiently Activated Microglia",-0.448512905776994,"negative"
"DSP-1001660019915-A-A12.dcc","Transiently Activated Microglia",-0.444025987916906,"negative"
"DSP-1001660019915-A-B01.dcc","Transiently Activated Microglia",0.38026490417335,"negative"
"DSP-1001660019915-A-B02.dcc","Transiently Activated Microglia",0.0128280421076166,"positive"
"DSP-1001660019915-A-B03.dcc","Transiently Activated Microglia",-0.080556869715293,"positive"
"DSP-1001660019915-A-B04.dcc","Transiently Activated Microglia",-0.143698065824097,"negative"
"DSP-1001660019915-A-B05.dcc","Transiently Activated Microglia",-0.0678228797343303,"negative"
"DSP-1001660019915-A-B06.dcc","Transiently Activated Microglia",-0.0300193891796174,"positive"
"DSP-1001660019915-A-B07.dcc","Transiently Activated Microglia",0.116154867281259,"positive"
"DSP-1001660019915-A-B08.dcc","Transiently Activated Microglia",-0.21753763606049,"negative"
"DSP-1001660019915-A-B09.dcc","Transiently Activated Microglia",-0.0121836028299106,"negative"
