peak	gene	zscore	pvalue
chr1-3294256-3294997	Xkr4	6.46693002192277	5.00069677698924e-11
chr1-4571313-4572259	Sox17	5.01604570629305	2.63728929360138e-07
chr1-9541074-9541909	Sntg1	4.62393735197214	1.88261813914634e-06
chr1-14309423-14310351	Eya1	5.13148200950189	1.4373485261328e-07
chr1-30584637-30585511	Ptp4a1	4.38535345144831	5.78987983952422e-06
chr1-34028527-34029443	Dst	3.32620550639824	0.000440184971497831
chr1-34283724-34284646	4930568A12Rik	4.73971851062577	1.07007663498261e-06
chr1-34311946-34312836	4930568A12Rik	4.95673825977223	3.584322230033e-07
chr1-34315245-34316177	Ccdc115	4.59722678870447	2.14075753439978e-06
chr1-36273026-36273906	Neurl3	5.86529013316937	2.24174012679577e-09
chr1-36761244-36762110	Zap70	10.9546715993758	3.15534237521082e-28
chr1-38664590-38665423	Aff3	9.08004004951229	5.42674541210521e-20
chr1-39309284-39310332	Cnot11	4.69024684388582	1.36437826340334e-06
chr1-40050905-40051828	Il18r1	3.19326082763399	0.000703379090627114
chr1-40391087-40391966	Mfsd9	6.09834933779637	5.35846695267341e-10
chr1-40393266-40393805	Il18r1	6.39068035723704	8.25746420553948e-11
chr1-40393266-40393805	Il18rap	4.54761421702936	2.71287378586427e-06
chr1-40465281-40466118	Il18r1	4.53358080737811	2.89960327653953e-06
chr1-40473451-40474359	Il18r1	4.55608080818553	2.6058446602726e-06
chr1-40475417-40476345	Il18r1	5.53130899698462	1.58924920743351e-08
chr1-40514859-40515736	Il18rap	5.11173084226448	1.59610216998315e-07
chr1-43163473-43164299	Fhl2	4.55592654382013	2.60775809479512e-06
chr1-43698277-43699192	Gm8251	6.22234660373169	2.4488677680439e-10
chr1-44950755-44951712	Gulp1	6.475557682574	4.72311955665232e-11
chr1-51584682-51585595	Stat4	16.4025618432876	9.16703734120951e-61
chr1-51593553-51594616	Stat4	5.80732910326414	3.17386443496517e-09
chr1-52010813-52011680	Stat4	3.97262685812857	3.55421784947832e-05
chr1-52019467-52020343	Stat4	5.55655777374306	1.37573338895217e-08
chr1-52076159-52077020	Stat4	6.68265901058378	1.17322565940499e-11
chr1-52100241-52101144	Stat4	3.2995933321715	0.000484125125990493
chr1-52225374-52226228	Gm553	5.6417038866229	8.41877484420195e-09
chr1-52434970-52435792	Gm553	4.81265462344741	7.44692783589022e-07
chr1-53070134-53071086	1700019D03Rik	6.09024907644883	5.63675761437949e-10
chr1-55087625-55088547	Hspe1	6.71627846888698	9.32121875668876e-12
chr1-55450488-55451508	Mob4	5.29961735241327	5.80228144441325e-08
chr1-55474737-55475640	Plcl1	3.47066646231895	0.000259584218631575
chr1-58726881-58727830	Tmem237	4.62165435092448	1.9034596462673e-06
chr1-59487278-59488275	Mpp4	5.17957880125099	1.11193728081924e-07
chr1-59515876-59516452	Mpp4	3.8252877061699	6.53097263921252e-05
chr1-59516476-59517309	Mpp4	4.94813215487227	3.74645155235711e-07
chr1-59820225-59821054	Carf	4.41833116680259	4.97329671060509e-06
chr1-60745632-60746524	Cd28	7.17213766543872	3.69178183359766e-13
chr1-60875036-60876011	Cd28	5.99670787426254	1.00678903879082e-09
chr1-60908527-60909433	Cd28	5.85701721000639	2.3562715411839e-09
chr1-60731816-60732711	Ctla4	6.36922385973181	9.49935711720818e-11
chr1-60745632-60746524	Ctla4	6.62325815616503	1.75683292552811e-11
chr1-60745632-60746524	Icos	4.92663137821349	4.18296844203401e-07
chr1-60875036-60876011	Ctla4	5.50333284198988	1.8633893816837e-08
chr1-60875036-60876011	Icos	4.60003522077726	2.11209756274301e-06
chr1-60908527-60909433	Ctla4	7.75742583086975	4.33352670204238e-15
chr1-61049953-61050857	Ctla4	6.14209745160655	4.07194328856336e-10
chr1-61054877-61055671	Ctla4	6.32711665993338	1.2489225733111e-10
chr1-60908527-60909433	Icos	6.07791184343913	6.08788287453755e-10
chr1-66174828-66175722	Map2	7.87893532333748	1.65091168643904e-15
chr1-72117611-72118459	Mreg	6.21466468069436	2.57171833557034e-10
chr1-82787060-82788001	Slc19a3	8.96162828467803	1.59959362814309e-19
chr1-84722724-84723244	Dner	8.26009875267889	7.27759991182121e-17
chr1-86524925-86525679	Ptma	3.81079782132697	6.92595110322626e-05
chr1-86532106-86532980	Ptma	4.49991468227574	3.3990370829602e-06
chr1-86533606-86534416	Ptma	6.02622522694461	8.39166308241154e-10
chr1-87626204-87627055	Inpp5d	3.77784439306188	7.90958321840259e-05
chr1-87638108-87638769	Inpp5d	3.31360744825728	0.000460503560779071
chr1-87640054-87640936	Inpp5d	4.26290394496565	1.00893636864015e-05
chr1-87650418-87651316	Inpp5d	4.02202772649344	2.88496319128873e-05
chr1-88697833-88698627	Mroh2a	4.13145222941087	1.80239305461762e-05
chr1-88587114-88587989	Arl4c	4.38351717254256	5.83892194735844e-06
chr1-88694835-88695719	Arl4c	5.24962510681341	7.62045311375318e-08
chr1-88697833-88698627	Arl4c	6.90396955822975	2.52845705031912e-12
chr1-88699144-88700033	Arl4c	5.7791769741072	3.75334661210067e-09
chr1-88701792-88702692	Arl4c	5.41852232812817	3.00468176407092e-08
chr1-90207445-90208523	Ackr3	5.43914629675482	2.67682405946588e-08
chr1-90370437-90371342	Ackr3	5.64563740439931	8.22851853678456e-09
chr1-90650546-90651446	Mlph	4.11918686372155	1.90105863426822e-05
chr1-90917341-90918144	Mlph	3.93106522775085	4.22851607491809e-05
chr1-119879019-119879989	Steap3	6.18000611061557	3.20495602686767e-10
chr1-123781955-123782800	Dpp10	7.84931367627569	2.09160076624449e-15
chr1-127625430-127626351	Tmem163	6.92484038421175	2.18233680969143e-12
chr1-127677252-127678159	Tmem163	3.26058851374123	0.000555906297441266
chr1-127679522-127680397	Tmem163	3.3740055130841	0.000370414419986422
chr1-128549391-128549934	Cxcr4	8.85029518345781	4.36440580234501e-19
chr1-128786728-128787654	Cxcr4	9.67397046515325	1.94493481830315e-22
chr1-130872788-130873680	Cd55	10.6645810711751	7.45346533634339e-27
chr1-130682363-130683146	Eif2d	4.50180983482004	3.36886268832208e-06
chr1-131482032-131482923	Srgap2	3.31756660732762	0.000454026309404416
chr1-131492132-131493044	Srgap2	3.39843920151642	0.000338857622799853
chr1-133689645-133690544	Lax1	3.42204209974445	0.000310763445789929
chr1-133705240-133706003	Lax1	5.1068626841413	1.63775798008567e-07
chr1-134110885-134111680	Lax1	7.94589489242389	9.63969237102127e-16
chr1-133815754-133816769	Atp2b4	5.90832150758202	1.72805504354434e-09
chr1-134072790-134073652	Btg2	8.52955231822526	7.3457571965055e-18
chr1-134077311-134078141	Btg2	5.1595949501526	1.23742343079413e-07
chr1-134078752-134079666	Btg2	4.13346574390023	1.78666788314745e-05
chr1-134082978-134083439	Btg2	3.32271448585386	0.00044573053827868
chr1-134110885-134111680	Klhl12	4.56512054707404	2.4960369819806e-06
chr1-134344306-134345207	Chil1	5.15039906294085	1.29966396726488e-07
chr1-134361492-134362381	Kdm5b	3.23156208029996	0.000615577886168825
chr1-136683552-136684400	Gm19705	6.56193197777542	2.65575231533819e-11
chr1-139061711-139062528	Aspm	3.72416016850676	9.79832436695941e-05
chr1-139828595-139829404	Gm4788	8.04163024318111	4.43255263444378e-16
chr1-143916324-143917246	Rgs2	4.78461456969759	8.56578781854303e-07
chr1-143999195-144000066	Rgs2	10.9358427271093	3.88404270389048e-28
chr1-144001014-144001887	Rgs2	6.18738275149231	3.05856566204458e-10
chr1-144003807-144004699	Rgs2	5.13607108510493	1.40270790002926e-07
chr1-144200243-144201153	Rgs1	4.73753873237599	1.08164759852771e-06
chr1-144243216-144244106	Rgs1	9.97157854946917	1.01488405857821e-23
