row_id	row_cor	gene	peak	zscore	pvalue
Gimap4 | chr6-48727587-48728414	0.99988349632042	Gimap4	chr6-48727587-48728414	4.86915242625361	5.60389660433706e-07
Eomes | chr9-118357159-118358023	0.99984490139973	Eomes	chr9-118357159-118358023	8.95438122338479	1.70823182914472e-19
Gimap3 | chr6-48727587-48728414	0.999784284345084	Gimap3	chr6-48727587-48728414	3.76980279072169	8.16882955570088e-05
Hsd11b1 | chr1-193263786-193264548	0.999767454862045	Hsd11b1	chr1-193263786-193264548	3.56446161360345	0.000182301901604504
Ifng | chr10-118440490-118441361	0.999718419187771	Ifng	chr10-118440490-118441361	8.46210566464306	1.31296212349104e-17
Stat4 | chr1-52019467-52020343	0.99971575806479	Stat4	chr1-52019467-52020343	5.55655777374306	1.37573338895217e-08
P2ry10 | chrX-107178405-107179358	0.999658302055311	P2ry10	chrX-107178405-107179358	4.17999830937735	1.45755631523225e-05
Mctp2 | chr7-72275178-72276013	0.999630627441396	Mctp2	chr7-72275178-72276013	8.9098667706163	2.55469622756296e-19
Cxcr6 | chr9-123509670-123510502	0.999600838614803	Cxcr6	chr9-123509670-123510502	10.180196385286	1.21535163005694e-24
Sh2d2a | chr3-87846344-87847204	0.999550911951236	Sh2d2a	chr3-87846344-87847204	8.17272915550366	1.50745153350627e-16
Txk | chr5-72752413-72753367	0.999526721826555	Txk	chr5-72752413-72753367	10.92668119948	4.29670406668841e-28
Cd3d | chr9-44532992-44533794	0.999472732154977	Cd3d	chr9-44532992-44533794	3.86622028503838	5.52675530092735e-05
Stat4 | chr1-51584682-51585595	0.999446678927307	Stat4	chr1-51584682-51585595	16.4025618432876	9.16703734120951e-61
Cxcr6 | chr9-123754096-123754969	0.999439869649694	Cxcr6	chr9-123754096-123754969	13.9403154330471	1.80172059410981e-44
Txk | chr5-72634493-72635343	0.999403174770218	Txk	chr5-72634493-72635343	6.91723172004545	2.30277218615889e-12
Tbx21 | chr11-96666651-96667588	0.999323646564754	Tbx21	chr11-96666651-96667588	11.0394878815075	1.23216836057923e-28
