peak	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
chr18-60803227-60804127	5.24311180841318e-16	1.44128726711782	0.162	0.058	6.33488498027905e-11
chr11-86586609-86587531	1.05477111340975e-15	1.22034998930471	0.207	0.083	1.27440610235506e-10
chr17-74667639-74668592	9.96575307272166e-14	2.29943458992138	0.066	0.014	1.20409218350545e-08
chr1-173742116-173742742	8.28134894745875e-11	1.87604062829836	0.074	0.02	1.00057742387881e-05
chr4-124738516-124739346	8.58478054371656e-11	2.08431147049529	0.059	0.014	1.03723893963347e-05
chr5-17854205-17855083	8.97867386300842e-11	1.78478725169803	0.082	0.022	1.08483031215027e-05
chr15-74989258-74989791	1.54099608585541e-10	1.2895672295723	0.12	0.049	1.86187770081308e-05
chr9-120001786-120002705	1.8086648263437e-10	1.24752269526276	0.132	0.055	2.18528310313325e-05
chr1-173766620-173767502	2.51911057209221e-10	1.33746171133186	0.114	0.045	3.04366496651897e-05
chr6-129229890-129230809	6.80580675477647e-10	2.16971547690215	0.05	0.011	8.22297989532357e-05
chr14-59297126-59298057	1.59594256345865e-09	1.72455333467019	0.072	0.022	0.000192826568344765
chr15-59830883-59831864	1.85462695455457e-09	1.64862148993693	0.078	0.024	0.000224081592530147
chr5-100636626-100637577	1.93486103992815e-09	1.71316985359722	0.07	0.021	0.000233775715427238
chr1-144214971-144215885	3.34734675292341e-09	1.82864923284248	0.065	0.017	0.000404436476728465
chr16-10774391-10775331	6.24443928927867e-09	1.74046619822847	0.064	0.019	0.000754471888248516
chr5-105139182-105140093	6.9652207683123e-09	1.36363015209452	0.096	0.036	0.000841558868889797
chr13-52914285-52915231	1.19698709774076e-07	1.68126795141119	0.059	0.018	0.0144623572110331
chr4-130801776-130802704	1.36861342433176e-07	1.22636851842343	0.093	0.039	0.0165359979768037
chr7-19817282-19818088	1.58800530697357e-07	1.27003696576457	0.089	0.036	0.0191867565204467
chr9-123936496-123937283	1.72148702468049e-07	1.58365659065725	0.062	0.02	0.0207995226782971
chr7-141265945-141266891	2.60913387013312e-07	0.940314085848767	0.143	0.073	0.0315243381591095
chr17-27825846-27826736	4.79295537714714e-07	0.664898643314425	0.254	0.151	0.0579099247533049
chr2-71326930-71327766	4.94186326170208e-07	1.49640460393413	0.064	0.023	0.0597090744868631
chr16-10452254-10453171	5.89785574517951e-07	0.782058926348166	0.186	0.103	0.0712596624699824
chr5-114922865-114923724	5.97013361782567e-07	1.40616287579503	0.072	0.026	0.0721329454106551
chr3-121490640-121491567	6.38917019510091e-07	1.68669541249558	0.053	0.016	0.0771958710482677
chr17-34261232-34262121	6.80507357505088e-07	0.990563848983768	0.124	0.061	0.0822209404558373
chr11-118401532-118402445	8.7414219542568e-07	0.906989672206857	0.145	0.075	0.105616482477917
chr16-23609442-23610372	8.839485651267e-07	1.11680075520764	0.098	0.044	0.106801317484303
chr2-167804688-167805456	1.05115694569942e-06	0.757264612207025	0.194	0.111	0.127003935650241
chr17-34295803-34296717	2.45099559799715e-06	0.854227750911003	0.139	0.077	0.29613664113681
chr11-86624001-86624886	2.47344986505851e-06	1.14135878260791	0.089	0.038	0.298849633045964
chr2-119243197-119243972	2.8903755785912e-06	1.25958158561922	0.073	0.03	0.349223848532124
chr16-24891195-24892114	3.08053007176584e-06	0.897612583594896	0.135	0.07	0.372198884860964
chr15-41831982-41832902	3.64899956665358e-06	1.05527742075339	0.098	0.044	0.440883074641786
chr4-46269639-46270604	4.31701032790109e-06	1.20503933114336	0.081	0.034	0.521594138847993
chr2-181241558-181242481	4.57428731729968e-06	1.21653304908142	0.075	0.032	0.552679116538099
chr3-9725133-9726020	4.75601369349281e-06	1.03289811154879	0.101	0.047	0.574635842488881
chr14-58322973-58323873	5.46368784739711e-06	1.33968417886054	0.06	0.024	0.660139156786061
chr19-4408850-4409778	6.0353507574338e-06	1.43698026959904	0.053	0.019	0.729209184565424
chr19-34569786-34570704	8.62532623157606e-06	1.11544495688944	0.087	0.038	1
chr14-55603717-55604641	1.00422769192205e-05	0.584119555220697	0.251	0.163	1
chr2-129314692-129315504	1.13109808468948e-05	1.16203200612733	0.078	0.034	1
chr4-133182377-133183289	1.13330347327727e-05	1.14306479884454	0.078	0.035	1
chr14-76760227-76761160	1.13673155470155e-05	1.38880019287436	0.051	0.019	1
chr2-173218503-173219396	1.151226713105e-05	0.952932826801959	0.103	0.052	1
chrX-38641927-38642818	1.23270254993131e-05	1.4549597957754	0.05	0.018	1
chr15-83560817-83561722	1.48034598880263e-05	1.3147187058851	0.063	0.025	1
chr12-85979794-85980699	1.49547912063062e-05	1.0152651605181	0.083	0.04	1
chr11-34033739-34034651	1.57965680069304e-05	1.01864542255832	0.088	0.042	1
chr16-93246624-93247503	2.37699733258537e-05	1.19243710627968	0.064	0.029	1
chr7-19933071-19933962	2.56099759914846e-05	1.01471608362229	0.087	0.042	1
chr5-43048158-43049110	2.70683017158954e-05	1.218124043933	0.059	0.026	1
chr15-73148440-73149182	3.21989384631542e-05	0.7932133655598	0.132	0.074	1
chr11-119392707-119393561	3.33521578047195e-05	0.94371155482456	0.106	0.054	1
chr5-117159651-117160384	3.93026389406774e-05	1.13882753757313	0.069	0.03	1
chr7-144990344-144991206	3.99648526973185e-05	1.36646397889837	0.053	0.02	1
chr11-46529933-46530830	4.30087439702819e-05	1.22141562902114	0.06	0.025	1
chr15-30468587-30469464	4.30584181659164e-05	1.10226249361407	0.068	0.031	1
chr13-100182844-100183741	4.32124469263804e-05	0.98182580779016	0.091	0.044	1
chr18-70643482-70644080	4.47269686224196e-05	1.20551008330509	0.056	0.024	1
chr1-6406046-6406972	5.57794135506923e-05	1.00465229081716	0.085	0.041	1
chr4-150075925-150076848	5.80173029585741e-05	0.867139213279501	0.116	0.061	1
chr7-38189191-38190122	6.03617575767775e-05	0.631773172655615	0.186	0.115	1
chr1-156674041-156674980	6.96848052482363e-05	0.667707413591302	0.167	0.099	1
chr1-134261369-134262232	6.99929626617088e-05	1.10718964543313	0.07	0.031	1
chr12-103433788-103434657	7.14890678327652e-05	0.849422761986888	0.112	0.058	1
chr5-92353305-92354210	7.30333526928344e-05	0.814451397434887	0.115	0.064	1
chr12-79812718-79813280	7.55704141616654e-05	1.21050689863619	0.057	0.024	1
chr10-62948282-62949180	8.1404663583232e-05	0.823213834333154	0.121	0.065	1
chr3-67556932-67557840	8.25583181066735e-05	0.810628813962675	0.125	0.069	1
chr18-60499721-60500644	8.89528799777484e-05	0.614691617061352	0.195	0.123	1
chr7-117470096-117471028	9.00681781094113e-05	0.913476417815172	0.093	0.049	1
chr2-168049983-168050845	9.13368537320424e-05	1.20630521600682	0.054	0.023	1
chr16-94723899-94724766	9.30991766241633e-05	0.703301028713883	0.138	0.084	1
chr8-94433864-94434739	9.9266989078276e-05	0.733640456204175	0.139	0.078	1
chr19-6156918-6157823	0.00011046230876451	1.25893987927583	0.053	0.022	1
chr9-56097525-56098477	0.000114881190893013	0.907810782356993	0.091	0.047	1
chr7-19815990-19816839	0.000119145537427371	0.778822944793516	0.126	0.071	1
chr1-173418672-173419546	0.00012394971759399	0.893897568707651	0.089	0.048	1
chr4-126305176-126306063	0.000123959014581583	1.07049731376709	0.068	0.031	1
chr16-4677795-4678632	0.000128507954391676	1.16995045604573	0.059	0.026	1
chr13-10210513-10211435	0.000137944148085159	1.26233426244982	0.051	0.022	1
chr15-4816525-4817486	0.000140043883835476	1.1599563805383	0.062	0.027	1
chr2-43738274-43739187	0.000146863580008092	0.749719634987333	0.122	0.071	1
chr1-131188371-131189275	0.000155788643267177	1.0006837537838	0.076	0.037	1
chr3-142620100-142620842	0.000161568601870505	1.02130771736836	0.07	0.033	1
chr17-46162729-46163612	0.000180135335471782	0.942793814974644	0.081	0.042	1
chr14-7986687-7987603	0.000181670770361145	1.17905519183744	0.054	0.023	1
chr8-70374464-70374987	0.000198084355246328	0.828176663064543	0.104	0.056	1
chr1-183094602-183095496	0.000203626490301371	1.20496430986367	0.056	0.023	1
chr18-60804456-60805258	0.000224656591515506	0.896169039012334	0.097	0.049	1
chr14-75044856-75045768	0.000225671141797503	0.894535957207256	0.089	0.046	1
chr4-124741334-124742267	0.000235491285593207	0.842442394092699	0.103	0.056	1
chr8-88282373-88283322	0.000235569756337868	1.190650440477	0.05	0.021	1
chr3-28098961-28099744	0.000236473005779652	1.09319261329169	0.056	0.026	1
chr17-5025118-5026004	0.000240428383247725	1.24377217550731	0.05	0.02	1
chr14-50833699-50834621	0.000243486951798515	1.04079078992035	0.062	0.03	1
chr12-40554764-40555692	0.000245803643522059	0.96926758378147	0.077	0.038	1
chr7-104314809-104315686	0.000248367651029008	0.825219669027065	0.102	0.055	1
chr3-9030718-9031618	0.000249210471626667	1.08526638753117	0.064	0.029	1
chr11-82101201-82102106	0.000256851806896436	0.497576334044393	0.233	0.16	1
chr10-68377870-68378781	0.0002616134240283	0.953098827315959	0.082	0.041	1
chr7-99698837-99699743	0.000273439586974371	1.01272662811713	0.07	0.035	1
chr8-126847417-126848315	0.000280059298754585	0.836963672899836	0.096	0.052	1
chr5-100643902-100644461	0.000310752912308545	0.983844852117551	0.075	0.036	1
chr19-10943705-10944650	0.000319302381061117	1.04585698947434	0.064	0.03	1
chr11-69041507-69042028	0.000322708103078516	0.677931437225062	0.141	0.085	1
chr16-23492503-23493418	0.000341404124003425	1.04505430816546	0.058	0.028	1
chr9-35421025-35421925	0.000349131369649302	0.594843911765162	0.161	0.104	1
chr1-93071157-93072047	0.000349263811006889	0.572507132111014	0.185	0.119	1
chr18-50087426-50088255	0.000349839647516448	0.879832255490552	0.085	0.045	1
