"seqnames","start","end","region_id","cluster_assignment"
"chr10",4611177,4612007,"region_1","Homeostatic.Microglia"
"chr10",7207099,7208033,"region_2","Homeostatic.Microglia"
"chr10",8021822,8022492,"region_3","Homeostatic.Microglia"
"chr10",8777496,8778375,"region_4","Homeostatic.Microglia"
"chr10",9896637,9897530,"region_5","Homeostatic.Microglia"
"chr10",13682258,13683108,"region_6","Homeostatic.Microglia"
"chr10",13832382,13833298,"region_7","Homeostatic.Microglia"
"chr10",13837441,13838284,"region_8","Homeostatic.Microglia"
"chr10",14017581,14018444,"region_9","Homeostatic.Microglia"
"chr10",15299843,15300721,"region_10","Homeostatic.Microglia"
"chr10",17518298,17519229,"region_11","Homeostatic.Microglia"
"chr10",17521810,17522722,"region_12","Homeostatic.Microglia"
"chr10",17732786,17733700,"region_13","Homeostatic.Microglia"
"chr10",18886663,18887588,"region_14","Homeostatic.Microglia"
"chr10",19009017,19009920,"region_15","Homeostatic.Microglia"
"chr10",19053335,19054249,"region_16","Homeostatic.Microglia"
"chr10",19064575,19065439,"region_17","Homeostatic.Microglia"
"chr10",19068073,19068978,"region_18","Homeostatic.Microglia"
"chr10",20724613,20725525,"region_19","Homeostatic.Microglia"
"chr10",20834910,20835703,"region_20","Homeostatic.Microglia"
"chr10",21200330,21201232,"region_21","Homeostatic.Microglia"
"chr10",21465116,21466016,"region_22","Homeostatic.Microglia"
"chr10",21523837,21524747,"region_23","Homeostatic.Microglia"
"chr10",21990996,21991861,"region_24","Homeostatic.Microglia"
"chr10",21998481,21999406,"region_25","Homeostatic.Microglia"
"chr10",22000173,22001117,"region_26","Homeostatic.Microglia"
"chr10",22058257,22059167,"region_27","Homeostatic.Microglia"
"chr10",22718222,22719139,"region_28","Homeostatic.Microglia"
"chr10",23796617,23797545,"region_29","Homeostatic.Microglia"
"chr10",24311913,24312835,"region_30","Homeostatic.Microglia"
"chr10",24622389,24623207,"region_31","Homeostatic.Microglia"
"chr10",24641310,24642220,"region_32","Homeostatic.Microglia"
"chr10",24642707,24643526,"region_33","Homeostatic.Microglia"
"chr10",25439755,25440647,"region_34","Homeostatic.Microglia"
"chr10",25464036,25464912,"region_35","Homeostatic.Microglia"
"chr10",26799303,26800216,"region_36","Homeostatic.Microglia"
"chr10",28074303,28075236,"region_37","Homeostatic.Microglia"
"chr10",34127268,34128047,"region_38","Homeostatic.Microglia"
"chr10",34129387,34130237,"region_39","Homeostatic.Microglia"
"chr10",34235164,34236070,"region_40","Homeostatic.Microglia"
"chr10",34249298,34250193,"region_41","Homeostatic.Microglia"
"chr10",37249677,37250461,"region_42","Homeostatic.Microglia"
"chr10",37320929,37321842,"region_43","Homeostatic.Microglia"
"chr10",37342284,37343190,"region_44","Homeostatic.Microglia"
"chr10",37358685,37359601,"region_45","Homeostatic.Microglia"
"chr10",39450882,39451802,"region_46","Homeostatic.Microglia"
"chr10",39893617,39894493,"region_47","Homeostatic.Microglia"
"chr10",40515099,40516030,"region_48","Homeostatic.Microglia"
"chr10",41473680,41474594,"region_49","Homeostatic.Microglia"
"chr10",41575847,41576782,"region_50","Homeostatic.Microglia"
"chr10",42636804,42637717,"region_51","Homeostatic.Microglia"
"chr10",43578473,43579401,"region_52","Homeostatic.Microglia"
"chr10",43640934,43641825,"region_53","Homeostatic.Microglia"
"chr10",43750589,43751419,"region_54","Homeostatic.Microglia"
"chr10",43995991,43996919,"region_55","Homeostatic.Microglia"
"chr10",44218818,44219726,"region_56","Homeostatic.Microglia"
"chr10",44659341,44660237,"region_57","Homeostatic.Microglia"
"chr10",51490312,51491276,"region_58","Homeostatic.Microglia"
"chr10",51584618,51585438,"region_59","Homeostatic.Microglia"
"chr10",52232153,52232866,"region_60","Homeostatic.Microglia"
"chr10",52425878,52426707,"region_61","Homeostatic.Microglia"
"chr10",53343619,53344518,"region_62","Homeostatic.Microglia"
"chr10",53442683,53443543,"region_63","Homeostatic.Microglia"
"chr10",53615698,53616582,"region_64","Homeostatic.Microglia"
"chr10",53925163,53926032,"region_65","Homeostatic.Microglia"
"chr10",54032067,54032979,"region_66","Homeostatic.Microglia"
"chr10",54052178,54053093,"region_67","Homeostatic.Microglia"
"chr10",58350273,58351184,"region_68","Homeostatic.Microglia"
"chr10",59265530,59266198,"region_69","Homeostatic.Microglia"
"chr10",59974072,59974869,"region_70","Homeostatic.Microglia"
"chr10",59977714,59978629,"region_71","Homeostatic.Microglia"
"chr10",60106390,60107366,"region_72","Homeostatic.Microglia"
"chr10",60218565,60219492,"region_73","Homeostatic.Microglia"
"chr10",60268659,60269450,"region_74","Homeostatic.Microglia"
"chr10",60288880,60289780,"region_75","Homeostatic.Microglia"
"chr10",60388098,60388968,"region_76","Homeostatic.Microglia"
"chr10",60752386,60753294,"region_77","Homeostatic.Microglia"
"chr10",60779495,60780356,"region_78","Homeostatic.Microglia"
"chr10",60957666,60958577,"region_79","Homeostatic.Microglia"
"chr10",61272950,61273903,"region_80","Homeostatic.Microglia"
"chr10",61275522,61276432,"region_81","Homeostatic.Microglia"
"chr10",61602093,61603044,"region_82","Homeostatic.Microglia"
"chr10",62230797,62231694,"region_83","Homeostatic.Microglia"
"chr10",62491193,62492131,"region_84","Homeostatic.Microglia"
"chr10",62549503,62550408,"region_85","Homeostatic.Microglia"
"chr10",62553263,62554295,"region_86","Homeostatic.Microglia"
"chr10",62739681,62740587,"region_87","Homeostatic.Microglia"
"chr10",62944833,62945762,"region_88","Homeostatic.Microglia"
"chr10",62948282,62949180,"region_89","Homeostatic.Microglia"
"chr10",67126750,67127518,"region_90","Homeostatic.Microglia"
"chr10",67129369,67130265,"region_91","Homeostatic.Microglia"
"chr10",67290532,67291459,"region_92","Homeostatic.Microglia"
"chr10",67311150,67312084,"region_93","Homeostatic.Microglia"
"chr10",67538736,67539448,"region_94","Homeostatic.Microglia"
"chr10",67689613,67690487,"region_95","Homeostatic.Microglia"
"chr10",67702624,67703567,"region_96","Homeostatic.Microglia"
"chr10",67721548,67722449,"region_97","Homeostatic.Microglia"
"chr10",67997762,67998684,"region_98","Homeostatic.Microglia"
"chr10",68249139,68250057,"region_99","Homeostatic.Microglia"
"chr10",68377870,68378781,"region_100","Homeostatic.Microglia"
"chr10",69308856,69309769,"region_101","Homeostatic.Microglia"
"chr10",70197343,70198240,"region_102","Homeostatic.Microglia"
"chr10",70242802,70243688,"region_103","Homeostatic.Microglia"
"chr10",71305971,71306852,"region_104","Homeostatic.Microglia"
"chr10",71326539,71327449,"region_105","Homeostatic.Microglia"
"chr10",71361866,71362440,"region_106","Homeostatic.Microglia"
"chr10",75222377,75223243,"region_107","Homeostatic.Microglia"
"chr10",75436403,75437303,"region_108","Homeostatic.Microglia"
"chr10",75780820,75781716,"region_109","Homeostatic.Microglia"
"chr10",75931990,75932881,"region_110","Homeostatic.Microglia"
"chr10",76961599,76962518,"region_111","Homeostatic.Microglia"
"chr10",77371513,77372423,"region_112","Homeostatic.Microglia"
"chr10",77880079,77880980,"region_113","Homeostatic.Microglia"
"chr10",77892405,77893141,"region_114","Homeostatic.Microglia"
"chr10",78018473,78019384,"region_115","Homeostatic.Microglia"
"chr10",78105250,78106170,"region_116","Homeostatic.Microglia"
"chr10",78363876,78364793,"region_117","Homeostatic.Microglia"
"chr10",78395976,78396880,"region_118","Homeostatic.Microglia"
"chr10",78439426,78440324,"region_119","Homeostatic.Microglia"
"chr10",78457494,78458423,"region_120","Homeostatic.Microglia"
"chr10",79697605,79698518,"region_121","Homeostatic.Microglia"
"chr10",79729131,79730045,"region_122","Homeostatic.Microglia"
"chr10",79811953,79812853,"region_123","Homeostatic.Microglia"
"chr10",79892513,79893390,"region_124","Homeostatic.Microglia"
"chr10",79928090,79928913,"region_125","Homeostatic.Microglia"
"chr10",80086644,80087165,"region_126","Homeostatic.Microglia"
"chr10",80087264,80087969,"region_127","Homeostatic.Microglia"
"chr10",80160895,80161551,"region_128","Homeostatic.Microglia"
"chr10",80270920,80271861,"region_129","Homeostatic.Microglia"
"chr10",80663252,80664159,"region_130","Homeostatic.Microglia"
"chr10",80664492,80665302,"region_131","Homeostatic.Microglia"
"chr10",80679715,80680679,"region_132","Homeostatic.Microglia"
"chr10",80701726,80702599,"region_133","Homeostatic.Microglia"
"chr10",81289112,81289961,"region_134","Homeostatic.Microglia"
"chr10",81341297,81342194,"region_135","Homeostatic.Microglia"
"chr10",81633236,81634157,"region_136","Homeostatic.Microglia"
"chr10",82795016,82795912,"region_137","Homeostatic.Microglia"
"chr10",83722455,83723433,"region_138","Homeostatic.Microglia"
"chr10",84387012,84387908,"region_139","Homeostatic.Microglia"
"chr10",84450384,84451261,"region_140","Homeostatic.Microglia"
"chr10",85873789,85874764,"region_141","Homeostatic.Microglia"
"chr10",85951617,85952567,"region_142","Homeostatic.Microglia"
"chr10",88356711,88357625,"region_143","Homeostatic.Microglia"
"chr10",88389867,88390806,"region_144","Homeostatic.Microglia"
"chr10",88420368,88421285,"region_145","Homeostatic.Microglia"
"chr10",88440961,88441880,"region_146","Homeostatic.Microglia"
"chr10",88622304,88623195,"region_147","Homeostatic.Microglia"
"chr10",89731866,89732776,"region_148","Homeostatic.Microglia"
"chr10",91179669,91180487,"region_149","Homeostatic.Microglia"
"chr10",91270012,91270877,"region_150","Homeostatic.Microglia"
"chr10",93049069,93049966,"region_151","Homeostatic.Microglia"
"chr10",93050738,93051608,"region_152","Homeostatic.Microglia"
"chr10",93432221,93433171,"region_153","Homeostatic.Microglia"
"chr10",93833526,93834364,"region_154","Homeostatic.Microglia"
"chr10",94059335,94060184,"region_155","Homeostatic.Microglia"
"chr10",94353712,94354517,"region_156","Homeostatic.Microglia"
"chr10",94623325,94624233,"region_157","Homeostatic.Microglia"
"chr10",95297550,95298435,"region_158","Homeostatic.Microglia"
"chr10",95313293,95314160,"region_159","Homeostatic.Microglia"
