Region	Gene	importance_R2G	rho_R2G	importance_x_rho	importance_x_abs_rho	TF	is_extended	eRegulon_name	Gene_signature_name	Region_signature_name	importance_TF2G	regulation	rho_TF2G	triplet_rank
chr19:36349235-36349735	Pcgf5	0.0905098081262145	0.0802600718715254	0.0072643237052879	0.0072643237052879	Cebpb	True	Cebpb_extended_+/+	Cebpb_extended_+/+_(46g)	Cebpb_extended_+/+_(52r)	1.5004426403044937	1	0.0713526502906373	5026
chr19:11464806-11465306	Ms4a6d	0.1093398704241318	0.0588820573348432	0.006438156519298	0.006438156519298	Cebpb	True	Cebpb_extended_+/+	Cebpb_extended_+/+_(46g)	Cebpb_extended_+/+_(52r)	0.6593090681049201	1	0.0673431004479187	1778
chr5:121400091-121400591	Trafd1	0.1002521390939327	0.1003086233216277	0.0100561540575607	0.0100561540575607	Cebpb	True	Cebpb_extended_+/+	Cebpb_extended_+/+_(46g)	Cebpb_extended_+/+_(52r)	0.5290378035857681	1	0.0857629136571243	2134
chr12:26469044-26469544	Rsad2	0.0643647217002522	0.0773517232009654	0.004978722136865	0.004978722136865	Cebpb	True	Cebpb_extended_+/+	Cebpb_extended_+/+_(46g)	Cebpb_extended_+/+_(52r)	4.088027221219057	1	0.1498917579408598	2006
chr6:129349830-129350330	Clec12a	0.0756201819736205	0.1453146510999283	0.0109887203596097	0.0109887203596097	Cebpb	True	Cebpb_extended_+/+	Cebpb_extended_+/+_(46g)	Cebpb_extended_+/+_(52r)	1.091977338892986	1	0.0528994668627905	266
chr11:82845617-82846117	Slfn5	0.0404490224763266	0.0790946773946761	0.003199302383695	0.003199302383695	Cebpb	True	Cebpb_extended_+/+	Cebpb_extended_+/+_(46g)	Cebpb_extended_+/+_(52r)	1.8920977818200004	1	0.1165010043067085	4004
chr11:83039116-83039616	Slfn4	0.0724684353217252	0.0923619511800688	0.0066933260852811	0.0066933260852811	Cebpb	True	Cebpb_extended_+/+	Cebpb_extended_+/+_(46g)	Cebpb_extended_+/+_(52r)	1.4875007190943044	1	0.1283191601672914	4732
chr17:34746414-34746914	Cfb	0.0201978851288044	0.071238231432039	0.0014388616152435	0.0014388616152435	Cebpb	True	Cebpb_extended_+/+	Cebpb_extended_+/+_(46g)	Cebpb_extended_+/+_(52r)	1.533159862828943	1	0.1320648674151355	6603
chr10:88380008-88380508	Dram1	0.0285489655969734	0.0566612663267891	0.0016176205430444	0.0016176205430444	Cebpb	True	Cebpb_extended_+/+	Cebpb_extended_+/+_(46g)	Cebpb_extended_+/+_(52r)	0.7169710531753121	1	0.0679605368642363	10602
chr19:11431130-11431630	Ms4a6c	0.0407994165331178	0.1505334851756073	0.0061416783638615	0.0061416783638615	Cebpb	True	Cebpb_extended_+/+	Cebpb_extended_+/+_(46g)	Cebpb_extended_+/+_(52r)	0.9184612831168116	1	0.0975126806590912	4518
chr6:108659234-108659734	Itpr1	0.0315190470442305	0.113228861372806	0.0035688658083741	0.0035688658083741	Cebpb	True	Cebpb_extended_+/+	Cebpb_extended_+/+_(46g)	Cebpb_extended_+/+_(52r)	0.9044914345824224	1	0.0675236887968945	8619
chr15:66969586-66970086	St3gal1	0.0447982947611958	0.0927703374679351	0.0041559529229841	0.0041559529229841	Cebpb	True	Cebpb_extended_+/+	Cebpb_extended_+/+_(46g)	Cebpb_extended_+/+_(52r)	2.5842357700358747	1	0.0524299587192783	2369
